Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Revenue,412.5,333.85,264.83,204.27,152.16,112.14,73.54
Revenue Growth (YoY),30.72%,26.06%,29.65%,34.25%,35.68%,52.49%,-
Cost of Revenue,171.77,137.22,120.72,95.95,68.35,52.99,43.11
Gross Profit,240.73,196.63,144.11,108.32,83.81,59.16,30.44
"Selling, General & Admin",171.81,143.42,121.46,108.06,74.57,47.03,40.25
Research & Development,112.56,96.21,84.66,69.33,48.8,40.21,32.72
Amortization of Goodwill & Intangibles,4.34,1.44,1.44,1.16,0.37,0.09,-
Operating Expenses,288.7,241.06,207.55,178.54,123.74,87.33,72.97
Operating Income,-47.97,-44.43,-63.44,-70.22,-39.93,-28.17,-42.54
Interest Expense,-7.1,-0.46,-7.38,-3.85,-1.19,-0.49,-0.11
Interest & Investment Income,4.36,4.56,8.1,2.7,0.49,0.06,0.27
Other Non Operating Income (Expenses),-,-,0.53,-0.2,-3.04,-15.82,0.51
EBT Excluding Unusual Items,-50.72,-40.33,-62.2,-71.57,-43.67,-44.43,-41.87
Merger & Restructuring Charges,-3.14,-0.2,-0.26,12.53,-2.98,-0.84,-
Other Unusual Items,-,-,-0.41,-0.02,-,-6.09,-
Pretax Income,-55.51,-40.53,-62.87,-59.06,-46.65,-51.36,-41.87
Income Tax Expense,-11.66,0.31,0.04,-0.46,0.17,-,-
Net Income,-43.85,-40.84,-62.91,-58.6,-46.82,-51.36,-41.87
Preferred Dividends & Other Adjustments,-,-,-,-,0.28,5.29,1.21
Net Income to Common,-43.85,-40.84,-62.91,-58.6,-47.1,-56.65,-43.08
Shares Outstanding (Basic),103,99,94,91,65,5,4
Shares Outstanding (Diluted),103,99,94,91,65,5,4
Shares Change (YoY),5.35%,5.12%,3.44%,40.99%,1241.30%,10.64%,-
EPS (Basic),-0.43,-0.41,-0.67,-0.64,-0.73,-11.78,-9.91
EPS (Diluted),-0.43,-0.41,-0.67,-0.64,-0.73,-11.78,-9.91
Free Cash Flow,31.1,17.4,-18.56,-39.1,-30.08,-40.29,-42.77
Free Cash Flow Per Share,0.30,0.18,-0.20,-0.43,-0.47,-8.38,-9.84
Gross Margin,58.36%,58.90%,54.42%,53.03%,55.08%,52.75%,41.38%
Operating Margin,-11.63%,-13.31%,-23.96%,-34.38%,-26.24%,-25.12%,-57.84%
Profit Margin,-10.63%,-12.23%,-23.76%,-28.69%,-30.95%,-50.51%,-58.58%
Free Cash Flow Margin,7.54%,5.21%,-7.01%,-19.14%,-19.77%,-35.93%,-58.16%
EBITDA,-39.36,-39.32,-58.21,-66.04,-37.19,-25.5,-40.31
EBITDA Margin,-9.54%,-11.78%,-21.98%,-32.33%,-24.44%,-22.74%,-54.81%
D&A For EBITDA,8.61,5.11,5.23,4.18,2.74,2.68,2.23
EBIT,-47.97,-44.43,-63.44,-70.22,-39.93,-28.17,-42.54
EBIT Margin,-11.63%,-13.31%,-23.96%,-34.38%,-26.24%,-25.12%,-57.84%
