Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2019
Cash & Equivalents,57.32,94.36,40.93,108.72,308.58,166.79,Upgrade
Short-Term Investments,33.6,21.38,51.2,87.64,-,-,Upgrade
Cash & Short-Term Investments,90.91,115.73,92.12,196.36,308.58,166.79,Upgrade
Cash Growth,-9.98%,25.63%,-53.08%,-36.37%,85.01%,1292.00%,Upgrade
Accounts Receivable,50.68,38.74,35.5,25.5,19.47,13.4,Upgrade
Other Receivables,-,-,-,0.75,1.36,0.7,Upgrade
Receivables,50.68,38.74,35.5,26.25,20.82,14.1,Upgrade
Prepaid Expenses,18.41,13.7,10.63,8.09,6.11,6.2,Upgrade
Restricted Cash,-,-,-,3.62,3.37,-,Upgrade
Other Current Assets,14.87,13.21,10.33,7.86,6.27,6.15,Upgrade
Total Current Assets,174.87,181.38,148.59,242.17,345.16,193.24,Upgrade
"Property, Plant & Equipment",39.29,36.64,32.7,28.23,11.83,10.46,Upgrade
Goodwill,403.4,148.05,148.05,148.02,48.09,16.22,Upgrade
Other Intangible Assets,165.56,29.02,35.81,42.59,11.16,8.27,Upgrade
Long-Term Accounts Receivable,2.9,1.9,1.5,0.5,0.7,0.8,Upgrade
Long-Term Deferred Charges,42.58,37.18,30.73,24.78,17.99,14.86,Upgrade
Other Long-Term Assets,6.57,3.11,2.45,2.6,1.58,5.33,Upgrade
Total Assets,835.18,437.28,399.83,488.89,436.51,249.17,Upgrade
Accounts Payable,7.26,6.13,7.48,4.29,3.65,0.36,Upgrade
Accrued Expenses,37.9,23.44,17.94,16.6,12.73,8.72,Upgrade
Current Portion of Long-Term Debt,-,-,-,3.19,1.56,0.31,Upgrade
Current Portion of Leases,1.58,1.34,1.21,3.66,-,-,Upgrade
Current Income Taxes Payable,0.65,0.63,1.17,1.15,3.72,2.39,Upgrade
Current Unearned Revenue,31.15,13.58,10.98,8.84,8.2,6.12,Upgrade
Other Current Liabilities,2.09,0.44,0.66,3.9,3.33,2.58,Upgrade
Total Current Liabilities,80.63,45.57,39.43,41.61,33.2,20.48,Upgrade
Long-Term Debt,360.72,-,-,81.39,23.05,24.57,Upgrade
Long-Term Leases,16.15,17.11,18.05,15.82,-,-,Upgrade
Long-Term Unearned Revenue,24.88,15.53,15.38,13.9,13.87,14.42,Upgrade
Long-Term Deferred Tax Liabilities,2.45,1.82,1.71,1.71,0.09,-,Upgrade
Other Long-Term Liabilities,0.23,0.22,0.31,0.4,21.69,9.95,Upgrade
Total Liabilities,485.06,80.25,74.88,154.84,91.9,69.43,Upgrade
Common Stock,0.11,0.1,0.1,0.09,0.09,0.01,Upgrade
Additional Paid-In Capital,862.42,833.13,760.21,706.41,658.37,-,Upgrade
Retained Earnings,-512.41,-476.2,-435.37,-372.45,-313.85,-263.53,Upgrade
Total Common Equity,350.12,357.03,324.94,334.05,344.61,-263.52,Upgrade
Shareholders' Equity,350.12,357.03,324.94,334.05,344.61,179.74,Upgrade
Total Liabilities & Equity,835.18,437.28,399.83,488.89,436.51,249.17,Upgrade
Total Debt,378.44,18.45,19.26,104.05,24.62,24.88,Upgrade
Net Cash (Debt),-287.53,97.28,72.87,92.3,283.97,141.91,Upgrade
Net Cash Growth,-,33.51%,-21.06%,-67.50%,100.10%,1085.46%,Upgrade
Net Cash Per Share,-2.80,0.98,0.77,1.01,4.40,29.51,Upgrade
Filing Date Shares Outstanding,105,102.23,96.76,92.3,90.22,4.91,Upgrade
Total Common Shares Outstanding,105,102.09,96.72,92.11,89.95,4.91,Upgrade
Working Capital,94.24,135.81,109.16,200.55,311.96,172.75,Upgrade
Book Value Per Share,3.33,3.50,3.36,3.63,3.83,-53.68,Upgrade
Tangible Book Value,-218.85,179.96,141.08,143.44,285.36,-288.01,Upgrade
Tangible Book Value Per Share,-2.08,1.76,1.46,1.56,3.17,-58.66,Upgrade
Machinery,3.07,2.74,10.35,9.59,8.83,7.75,Upgrade
Leasehold Improvements,10.24,10.23,12.31,11.72,11.71,11.65,Upgrade
