Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"4,476","2,756","2,158","1,507","1,408","3,059","3,850","3,320","2,540",-,-
Market Cap Growth,72.88%,27.74%,43.14%,7.05%,-53.97%,-20.55%,15.96%,30.70%,-,-,-
Enterprise Value,"4,695","3,121","2,551","1,697",161,"4,223","5,696","5,546","5,601",-,-
Last Close Price,29.91,18.29,13.71,9.13,10.13,6.77,8.19,7.09,6.31,-,-
PE Ratio,22.32,9.30,20.05,21.66,7.32,-,4.10,8.71,-,-,-
Forward PE,15.37,13.75,11.92,9.21,16.77,22.40,17.88,21.98,32.67,-,-
PS Ratio,2.81,1.76,1.45,1.21,1.30,2.98,3.18,2.90,0.76,-,-
PB Ratio,3.94,2.88,2.27,1.94,1.23,1.35,1.37,1.61,1.27,-,-
P/TBV Ratio,13.17,11.10,18.07,36.68,3.12,2.07,2.34,-,-,-,-
P/FCF Ratio,18.73,17.13,11.10,12.01,-,16.54,20.91,20.91,-,-,-
P/OCF Ratio,14.35,11.84,8.60,8.46,-,11.78,11.33,8.37,13.22,-,-
PEG Ratio,0.82,1.39,1.39,1.39,1.39,1.39,1.39,2.48,2.97,-,-
EV/Sales Ratio,2.96,1.99,1.72,1.37,0.15,4.12,4.70,4.85,1.68,-,-
EV/EBITDA Ratio,10.54,7.06,6.20,5.15,0.95,21.61,29.47,41.70,10.36,-,-
EV/EBIT Ratio,12.49,8.35,7.46,6.28,2.37,37.60,51.17,114.54,16.49,-,-
EV/FCF Ratio,19.55,19.40,13.13,13.53,-,22.83,30.94,34.92,-,-,-
Debt / Equity Ratio,0.39,0.45,0.61,0.84,0.50,0.67,0.61,1.31,1.55,3.74,11.13
Debt / EBITDA Ratio,0.83,0.82,1.19,1.63,2.32,5.73,6.34,20.31,5.74,7.80,7.13
Debt / FCF Ratio,1.83,2.66,3.00,5.16,-,8.19,9.29,17.01,-,-,-
Asset Turnover,0.78,0.79,0.72,0.59,0.30,0.18,0.18,0.16,0.46,0.46,0.54
Quick Ratio,0.73,0.52,0.43,0.52,1.36,1.09,0.14,0.53,0.49,0.58,0.52
Current Ratio,0.81,0.62,0.50,0.59,1.46,1.80,0.88,1.02,0.94,0.78,0.73
Return on Equity (ROE),20.36%,31.00%,13.57%,6.33%,-16.62%,-12.62%,-6.17%,-9.41%,1.08%,46.59%,-41.90%
Return on Assets (ROA),11.62%,11.72%,10.43%,8.07%,1.18%,1.22%,1.05%,0.43%,2.94%,2.50%,2.79%
Return on Capital (ROIC),15.90%,16.02%,14.46%,10.78%,1.54%,1.69%,1.50%,0.61%,4.27%,3.71%,4.18%
Return on Capital Employed (ROCE),22.70%,25.00%,20.40%,17.00%,3.70%,2.70%,2.00%,0.90%,5.60%,5.20%,6.00%
Earnings Yield,4.53%,10.76%,4.99%,4.62%,13.67%,-20.05%,24.38%,11.15%,3.60%,-,-
FCF Yield,5.34%,5.84%,9.01%,8.33%,-14.67%,6.05%,4.78%,4.78%,-3.22%,-,-
Payout Ratio,-,-,-,-,-,-,-,3.00%,21.18%,0.40%,-
Buyback Yield / Dilution,3.76%,2.52%,6.17%,11.29%,9.55%,5.50%,-4.30%,-23.41%,-28.27%,-1.09%,-0.25%
