Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Cash & Equivalents,"5,288","4,452","4,178","7,166","6,116","4,418","2,108","1,446",468.55,6.17
Short-Term Investments,"4,905","3,394",15,57,-,-,-,-,-,-
Cash & Short-Term Investments,"10,193","7,846","4,193","7,223","6,116","4,418","2,108","1,446",468.55,6.17
Cash Growth,53.77%,87.14%,-41.95%,18.09%,38.43%,109.59%,45.81%,208.57%,7490.26%,-
Accounts Receivable,"2,319","2,223","2,955","3,263","3,935","2,577","2,790","2,274",416.99,0.04
Other Receivables,2.76,-,-,-,-,11.1,21.46,1.55,0.4,-
Receivables,"37,249","28,937","27,559","18,611","13,779","10,088","12,051","3,087","1,610",0.04
Prepaid Expenses,"1,562","1,465",329.92,379.39,383.94,401.22,652.55,109.02,33.91,4.69
Restricted Cash,"2,925","2,353","3,381","3,347","2,644","2,356","1,728",567.79,487.88,-
Other Current Assets,"2,207","2,179","4,333","4,538","4,834","4,612","2,964","2,132",417.53,68.12
Total Current Assets,"54,135","42,781","39,796","34,097","27,757","21,876","19,503","7,342","3,018",79.03
"Property, Plant & Equipment",496.83,398.41,276.61,103.07,67.55,68.35,72.48,6.87,5.99,1.98
Goodwill,42.39,42.41,41.21,-,-,-,-,-,-,-
Other Intangible Assets,957.4,968.56,990.9,"1,003","1,024",3.4,3.51,0.85,0.26,0.21
Long-Term Accounts Receivable,16.11,27.18,151.24,294.56,364.33,307.94,19.51,-,-,-
Long-Term Deferred Tax Assets,"1,289","1,206","1,068","1,019",834.72,"1,399",697.35,-,75.54,8.3
Other Long-Term Assets,310.63,171.41,596.84,689.03,597.97,645.33,59.27,-,-,-
Total Assets,"59,755","48,133","45,819","40,343","33,505","24,387","20,356","7,350","3,099",89.52
Accounts Payable,-,-,-,-,-,-,41.91,15.33,14.63,-
Accrued Expenses,"2,856","1,366","1,348","1,256","1,606",851.37,728.28,626.26,595.94,19.99
Short-Term Debt,"1,464","1,370",798.59,150,397.58,186.8,200,13.98,740.05,77.05
Current Portion of Leases,-,27.26,29.14,30.7,25.78,28.53,21.02,-,-,-
Current Income Taxes Payable,885.59,"1,041",742.21,661.02,624.11,"1,227","1,056",432.07,115.33,-
Current Unearned Revenue,-,525.76,146.87,-,-,-,-,-,-,-
Other Current Liabilities,"10,364","13,143","16,835","14,652","11,490","11,090","7,620","1,806",899.27,14.32
Total Current Liabilities,"15,569","17,472","19,900","16,750","14,143","13,385","9,667","2,894","2,365",111.35
Long-Term Debt,"5,384",247.46,90.62,17.85,-,-,-,-,-,-
Long-Term Leases,-,7.69,11.85,21.66,13.18,14.97,31.18,-,-,-
Long-Term Deferred Tax Liabilities,588.63,439.44,224.82,100.84,121.43,37.84,-,15.76,-,-
Other Long-Term Liabilities,"14,106","5,720","3,582","4,522","4,011","1,469","3,443",-,-,-
Total Liabilities,"35,647","23,886","23,809","21,412","18,288","14,906","13,141","2,910","2,365",111.35
Common Stock,"24,058",0.02,0.02,0.02,0.02,0.02,0.02,0.02,590,-
Additional Paid-In Capital,-,"4,339","6,059","6,095","5,672","5,417","5,117","4,867",-,-
Retained Earnings,-,"20,952","16,297","12,804","9,643","4,138","2,071",-430.26,144.15,-21.83
Treasury Stock,-,"-1,114",-384.64,-,-,-,-,-,-,-
Comprehensive Income & Other,-,11.88,-34.66,-51.78,-110.93,-74.39,24.91,3.68,-,-
Total Common Equity,"24,058","24,190","21,937","18,847","15,204","9,481","7,213","4,440",734.15,-21.83
Minority Interest,49.09,56.18,72.37,84.14,12.75,0.51,1.29,-,-,-
Shareholders' Equity,"24,107","24,246","22,010","18,931","15,217","9,481","7,215","4,440",734.15,-21.83
Total Liabilities & Equity,"59,755","48,133","45,819","40,343","33,505","24,387","20,356","7,350","3,099",89.52
Total Debt,"6,848","1,652",930.2,220.22,436.53,230.3,252.2,13.98,740.05,77.05
Net Cash (Debt),"3,345","6,194","3,263","7,002","5,680","4,188","1,856","1,432",-271.5,-70.88
Net Cash Growth,-38.05%,89.85%,-53.41%,23.29%,35.62%,125.66%,29.62%,-,-,-
Net Cash Per Share,23.33,40.82,19.86,43.49,35.34,27.31,12.33,14.12,-2.74,-0.71
Filing Date Shares Outstanding,132.43,140.31,155.25,161.46,155.26,152.4,166.7,143.83,99.17,99.17
Total Common Shares Outstanding,132.43,141.99,157.61,161.4,155.24,152.23,146.71,143.83,99.17,99.17
Working Capital,"38,566","25,308","19,896","17,348","13,614","8,492","9,836","4,448",652.36,-32.32
Book Value Per Share,181.67,170.36,139.19,116.78,97.94,62.28,49.17,30.87,7.40,-0.22
Tangible Book Value,"23,059","23,179","20,905","17,844","14,180","9,477","7,210","4,439",733.89,-22.04
Tangible Book Value Per Share,174.12,163.24,132.64,110.56,91.34,62.26,49.14,30.87,7.40,-0.22
Machinery,-,-,-,-,-,-,-,-,4.48,1.38
Leasehold Improvements,-,-,-,-,-,-,-,-,2.99,0.79
