Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Market Capitalization,"3,000","5,959","2,554","2,871","3,544","1,793","1,479","2,230",-,-
Market Cap Growth,-41.12%,133.27%,-11.02%,-19.00%,97.62%,21.28%,-33.70%,-,-,-
Enterprise Value,"2,509","5,093","2,005","1,958","2,942","1,114","1,436","2,673",-,-
Last Close Price,22.21,36.70,14.39,17.78,19.07,9.68,8.02,12.73,-,-
PE Ratio,3.14,6.94,4.23,4.92,3.89,3.35,4.12,-,-,-
Forward PE,2.88,6.13,3.69,4.53,3.86,3.13,2.60,-,-,-
PS Ratio,1.19,2.53,1.11,1.20,1.35,0.86,1.12,3.45,-,-
PB Ratio,0.88,1.79,0.82,1.05,1.48,1.24,1.43,3.46,-,-
P/TBV Ratio,0.92,1.88,0.87,1.11,1.59,1.24,1.43,3.46,-,-
P/FCF Ratio,1.98,4.73,2.58,3.36,3.91,2.21,3.49,55.46,-,-
P/OCF Ratio,1.96,4.66,2.55,3.34,3.89,2.20,3.46,53.80,-,-
EV/Sales Ratio,0.96,2.17,0.87,0.82,1.12,0.54,1.08,4.13,-,-
EV/EBITDA Ratio,1.93,4.60,1.78,1.52,1.88,0.84,3.45,11.16,-,-
EV/EBIT Ratio,1.95,4.64,1.80,1.53,1.90,0.85,3.46,11.18,-,-
EV/FCF Ratio,1.67,4.05,2.02,2.29,3.24,1.37,3.39,66.48,-,-
Debt / Equity Ratio,0.28,0.07,0.04,0.01,0.03,0.02,0.04,0.00,1.01,-3.53
Debt / EBITDA Ratio,0.73,0.20,0.12,0.02,0.04,0.03,0.09,0.01,3.49,-
Debt / FCF Ratio,0.64,0.18,0.13,0.04,0.08,0.04,0.09,0.05,-,-
Asset Turnover,0.35,0.37,0.38,0.45,0.57,0.61,0.67,0.85,0.49,-
Quick Ratio,0.80,0.58,0.36,0.63,0.71,0.52,0.51,1.29,0.38,0.06
Current Ratio,3.48,2.45,2.00,2.04,1.96,1.63,2.02,2.54,1.28,0.71
Return on Equity (ROE),30.97%,27.02%,20.85%,23.46%,46.68%,41.88%,42.92%,46.12%,46.29%,-
Return on Assets (ROA),10.80%,10.65%,11.48%,14.96%,21.30%,23.98%,13.05%,19.67%,8.25%,-
Return on Capital (ROIC),21.03%,20.49%,23.49%,31.75%,48.61%,62.47%,30.34%,34.67%,17.21%,-
Return on Capital Employed (ROCE),20.90%,26.10%,30.50%,37.50%,50.90%,78.00%,27.10%,36.90%,28.70%,314.90%
Earnings Yield,34.03%,14.40%,23.66%,20.32%,25.68%,29.86%,24.30%,7.78%,-,-
FCF Yield,50.58%,21.13%,38.83%,29.78%,25.60%,45.36%,28.63%,1.80%,-,-
Dividend Yield,6.71%,3.54%,7.50%,4.05%,2.83%,-,-,-,-,-
Payout Ratio,20.39%,20.16%,21.98%,24.57%,-,-,-,-,-,-
Buyback Yield / Dilution,10.41%,7.63%,-2.02%,-0.19%,-4.80%,-1.90%,-48.43%,-2.22%,-,-
Total Shareholder Return,17.18%,11.17%,5.49%,3.86%,-1.97%,-1.90%,-48.43%,-2.22%,-,-
