Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,643","2,523","2,069","1,589","1,442",785,737,449,551,435,241
Market Cap Growth,7.39%,21.93%,30.23%,10.16%,83.78%,6.50%,64.28%,-18.59%,26.70%,80.78%,-41.43%
Last Close Price,59.72,52.63,38.56,28.38,25.31,13.65,12.97,7.96,9.88,7.86,6.37
PE Ratio,12.46,11.60,10.76,12.20,13.03,9.80,14.29,5.06,25.42,-,17.91
PS Ratio,5.35,5.09,4.62,4.57,4.62,2.87,3.06,1.66,2.81,3.36,1.44
PB Ratio,3.42,3.19,2.56,2.29,2.21,1.35,1.52,1.10,1.70,1.45,0.75
P/FCF Ratio,6.97,11.33,11.88,13.88,17.51,6.71,11.36,-,-,-,-
P/OCF Ratio,6.92,11.08,11.07,13.28,17.19,6.50,11.02,-,-,-,-
Debt / Equity Ratio,0.54,0.16,0.18,0.18,0.23,0.26,0.11,0.14,0.17,0.93,0.05
Debt / FCF Ratio,1.12,0.56,0.85,1.07,1.84,1.30,0.84,-,-,-,-
Return on Equity (ROE),28.59%,27.24%,25.62%,19.34%,17.90%,15.13%,11.50%,23.95%,5.56%,-18.36%,1.68%
Return on Assets (ROA),2.73%,2.65%,2.46%,1.77%,1.68%,1.35%,1.02%,1.91%,0.36%,-1.18%,0.11%
Earnings Yield,8.64%,8.62%,9.29%,8.20%,7.67%,10.21%,7.00%,19.77%,3.93%,-22.19%,5.58%
FCF Yield,14.35%,8.83%,8.42%,7.21%,5.71%,14.90%,8.80%,-39.32%,-5.19%,-39.10%,-101.40%
Buyback Yield / Dilution,8.59%,7.88%,3.87%,2.65%,-0.72%,-1.87%,-0.47%,-1.59%,-26.05%,-17.05%,0.67%
