Period Ending,"Nov '25Nov 6, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2015 - 2019
Market Capitalization,"3,656","4,630","7,207","8,841","15,190","13,905",Upgrade
Market Cap Growth,-10.27%,-35.75%,-18.49%,-41.79%,9.24%,-0.47%,Upgrade
Enterprise Value,"11,608","20,214","20,948","20,228","28,558","20,642",Upgrade
Last Close Price,10.91,13.14,9.76,10.17,14.70,12.38,Upgrade
PE Ratio,-,2.92,-,6.00,1.13,-,Upgrade
PS Ratio,0.77,1.07,1.75,2.20,1.47,1.20,Upgrade
PB Ratio,0.28,0.37,0.38,0.39,0.59,1.05,Upgrade
P/TBV Ratio,0.47,0.58,0.48,0.82,1.08,17.02,Upgrade
P/FCF Ratio,21.55,4.12,5.79,4.54,7.10,4.81,Upgrade
P/OCF Ratio,2.67,2.28,3.33,3.12,4.28,3.32,Upgrade
EV/Sales Ratio,2.43,4.66,5.09,5.04,2.77,1.79,Upgrade
EV/EBITDA Ratio,10.82,20.46,22.01,15.98,7.81,4.74,Upgrade
EV/EBIT Ratio,187.22,-,-,117.47,21.95,9.70,Upgrade
EV/FCF Ratio,68.40,17.98,16.84,10.39,13.34,7.14,Upgrade
Debt / Equity Ratio,0.74,0.80,0.54,0.72,0.67,1.35,Upgrade
Debt / EBITDA Ratio,8.02,9.14,9.83,12.20,4.36,3.97,Upgrade
Debt / FCF Ratio,56.28,8.93,8.22,8.37,7.97,6.19,Upgrade
Asset Turnover,0.14,0.13,0.10,0.09,0.20,0.21,Upgrade
Quick Ratio,0.85,0.93,0.95,1.43,1.07,0.93,Upgrade
Current Ratio,0.96,1.05,1.30,1.61,1.45,1.29,Upgrade
Return on Equity (ROE),-11.68%,11.85%,-17.60%,3.20%,69.56%,-11.51%,Upgrade
Return on Assets (ROA),0.11%,-0.03%,-0.39%,0.24%,1.53%,2.46%,Upgrade
Return on Capital (ROIC),0.13%,-0.03%,-0.48%,0.26%,2.20%,3.56%,Upgrade
Return on Capital Employed (ROCE),0.30%,-,-,0.40%,3.00%,3.90%,Upgrade
Earnings Yield,-54.07%,34.30%,-56.22%,16.66%,88.39%,-11.71%,Upgrade
FCF Yield,4.64%,24.29%,17.26%,22.02%,14.09%,20.81%,Upgrade
Buyback Yield / Dilution,7.65%,11.86%,14.35%,12.67%,5.48%,14.69%,Upgrade
