Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"4,771","4,342","4,116","4,018","10,311","11,545","11,116","11,958","11,276","13,731","17,063"
Revenue Growth (YoY),170.50%,5.49%,2.45%,-61.04%,-10.69%,3.86%,-7.04%,6.04%,-17.88%,-19.53%,-6.50%
Cost of Revenue,"1,661","1,451","1,286","1,066","3,018","3,321","3,131","3,246","2,974","3,499","3,766"
Gross Profit,"3,110","2,891","2,830","2,951","7,294","8,225","7,985","8,712","8,303","10,232","13,296"
"Selling, General & Admin","1,216","1,140","1,121","1,008","2,156","2,151","2,045","2,049","1,980","2,480","2,929"
Other Operating Expenses,808.5,745.5,746.5,677.7,"1,469","1,710","1,574","1,783","1,686","1,921","2,483"
Operating Expenses,"3,048","2,905","3,095","2,779","5,992","6,097","7,170","7,694","7,462","8,522","11,024"
Operating Income,62,-14.1,-264.5,172.2,"1,301","2,128",815.3,"1,018",840.8,"1,709","2,272"
Interest Expense,-520.8,-574.7,-505,-300.9,-882.1,"-1,187","-1,384","-1,479","-1,416","-1,866","-2,284"
Interest & Investment Income,112.2,199.3,211.7,-,-,-,-,-,-,36.2,33.5
Earnings From Equity Investments,-497.1,-205.6,"-2,018","-1,268",-175.4,-245.3,-198.5,-8.7,-95.2,-111.6,-54.3
Currency Exchange Gain (Loss),"-1,202","1,757",-719.7,"1,299","1,325","-1,409",-95.6,90.4,-181.5,-326.3,-925.8
Other Non Operating Income (Expenses),-123.5,356.3,-180.5,955.4,"11,684","-1,189",-41.1,971.7,"-1,124","1,209",843.9
EBT Excluding Unusual Items,"-2,170","1,518","-3,476",857.2,"13,252","-1,902",-904.1,592.2,"-1,976",650.3,-114.8
Merger & Restructuring Charges,-24.7,-25.3,-20,-,-,-,-,-96.4,-48.4,-135.5,-132.6
Gain (Loss) on Sale of Investments,-269,-67,-298.1,-317,820.6,431.9,34.3,-187,165.7,-118.5,-103.2
Gain (Loss) on Sale of Assets,242.9,242.9,-,700.5,-,-,-,-,-,-,-23.1
Asset Writedown,-,-,-,-62.3,19,-97.4,-155.4,-,-,9.6,-23.1
Legal Settlements,-3.2,-20.7,-,-,-,-,-,-83.1,-,69.8,-
Other Unusual Items,170.6,190.7,348.5,-,-90.6,-233.2,-216.7,-63.9,-252.2,-232.4,-380.1
Pretax Income,"-2,053","1,838","-3,446","1,178","14,001","-1,801","-1,242",161.8,"-2,111",243.3,-776.9
Income Tax Expense,-206.6,-30.8,213.1,406.7,473.3,-275.9,234,"1,573",238.9,"-1,407",324.3
Earnings From Continuing Operations,"-1,846","1,869","-3,659",771.7,"13,528","-1,525","-1,476","-1,412","-2,350","1,650","-1,101"
Earnings From Discontinued Operations,-79.6,-223.2,-214.7,"1,215",82.6,58.4,"13,114","2,262",-370.6,117,51.7
Net Income to Company,"-1,926","1,646","-3,874","1,986","13,610","-1,467","11,638",850,"-2,721","1,767","-1,050"
Minority Interest in Earnings,-51,-57.9,-177.9,-513.1,-183.3,-161.3,-116.8,-124.7,-57.5,-62,-103
Net Income,"-1,977","1,588","-4,052","1,473","13,427","-1,628","11,521",725.3,"-2,778","1,705","-1,153"
Net Income to Common,"-1,977","1,588","-4,052","1,473","13,427","-1,628","11,521",725.3,"-2,778","1,705","-1,153"
Net Income Growth,-,-,-,-89.03%,-,-,1488.50%,-,-,-,-
Shares Outstanding (Basic),347,367,426,490,556,602,706,779,848,"1,001",909
Shares Outstanding (Diluted),347,375,426,497,569,602,706,779,848,"1,011",909
Shares Change (YoY),-7.65%,-11.86%,-14.35%,-12.67%,-5.48%,-14.69%,-9.36%,-8.16%,-16.12%,11.25%,13.74%
EPS (Basic),-5.70,4.33,-9.52,3.01,24.16,-2.70,16.32,0.93,-3.28,1.70,-1.27
EPS (Diluted),-5.71,4.23,-9.52,2.96,23.60,-2.70,16.32,0.93,-3.28,1.69,-1.27
EPS Growth,-,-,-,-87.44%,-,-,1652.17%,-,-,-,-
Free Cash Flow,169.7,"1,124","1,244","1,947","2,141","2,893","3,417","4,510","4,458","4,401","3,460"
Free Cash Flow Per Share,0.49,3.00,2.92,3.92,3.76,4.80,4.84,5.79,5.26,4.35,3.81
Gross Margin,65.18%,66.59%,68.77%,73.46%,70.73%,71.24%,71.84%,72.85%,73.63%,74.52%,77.93%
Operating Margin,1.30%,-0.33%,-6.43%,4.29%,12.62%,18.43%,7.33%,8.51%,7.46%,12.45%,13.32%
Profit Margin,-41.44%,36.57%,-98.44%,36.67%,130.21%,-14.10%,103.65%,6.07%,-24.64%,12.42%,-6.75%
Free Cash Flow Margin,3.56%,25.90%,30.23%,48.45%,20.76%,25.06%,30.74%,37.72%,39.53%,32.05%,20.28%
EBITDA,"1,073",987.9,951.9,"1,266","3,655","4,356","4,362","4,876","4,631","5,827","7,881"
EBITDA Margin,22.48%,22.75%,23.13%,31.51%,35.45%,37.72%,39.24%,40.77%,41.07%,42.44%,46.19%
D&A For EBITDA,"1,011","1,002","1,216","1,094","2,354","2,227","3,546","3,858","3,791","4,118","5,609"
EBIT,62,-14.1,-264.5,172.2,"1,301","2,128",815.3,"1,018",840.8,"1,709","2,272"
EBIT Margin,1.30%,-0.33%,-6.43%,4.29%,12.62%,18.43%,7.33%,8.51%,7.46%,12.45%,13.32%
Effective Tax Rate,-,-,-,34.51%,3.38%,-,-,972.37%,-,-,-
