Period Ending,"Sep '25Sep 28, 2025","Dec '24Dec 29, 2024","Dec '23Dec 31, 2023","Jan '23Jan 1, 2023","Jan '22Jan 2, 2022","Jan '16Jan 3, 2016","Dec '14Dec 28, 2014","Dec '13Dec 29, 2013","Apr '13Apr 28, 2013","Apr '12Apr 29, 2012","May '11May 1, 2011"
Cash & Equivalents,773,943,687,547,-,704.9,433.5,193.4,310.6,324.3,374.7
Cash & Short-Term Investments,773,943,687,547,-,704.9,433.5,193.4,310.6,324.3,374.7
Cash Growth,178.06%,37.26%,25.59%,-,-,62.61%,124.15%,-37.73%,-4.22%,-13.45%,-16.96%
Accounts Receivable,"1,040",558,577,756,-,760,864,810.9,663.2,624.7,709.6
Other Receivables,-,99,27,-,-,87.5,64.4,36.7,79.4,101.7,-
Receivables,"1,040",657,604,756,-,847.5,928.4,847.6,742.6,726.4,709.6
Inventory,"2,468","2,412","2,536","2,934",-,"2,100","2,207","2,275","2,348","2,072","2,020"
Prepaid Expenses,296,152,111,337,-,63.6,41.1,108.2,101.3,39.5,63.8
Restricted Cash,-,-,-,-,-,-,-,-,-,-,20
Other Current Assets,17,38,983,969,-,25.3,73.2,13.7,29.1,79,110.6
Total Current Assets,"4,594","4,202","4,921","5,543",-,"3,741","3,749","3,504","3,552","3,299","3,338"
"Property, Plant & Equipment","3,572","3,511","3,728","3,785",-,"2,867","2,753","2,746","2,298","2,277","2,309"
Long-Term Investments,202,202,191,224,-,142.5,498,496.5,532.4,522.6,582.5
Goodwill,"1,621","1,613","1,627","1,617",-,"1,620","1,626","1,623",782.4,768.2,793.3
Other Intangible Assets,"1,260","1,266","1,274","1,282",-,"1,366","1,381","1,406",390.4,381.8,386.6
Long-Term Deferred Tax Assets,-,-,-,-,-,10.9,-,-,-,3.2,5.6
Other Long-Term Assets,274,260,"1,576","1,396",-,137.1,124.4,180,161,170.2,196.8
Total Assets,"11,523","11,054","13,317","13,847",-,"9,894","10,132","9,955","7,716","7,422","7,612"
Accounts Payable,597,777,789,"1,015",-,686.1,675.1,614.4,429.1,415.8,434.4
Accrued Expenses,627,628,656,681,-,635,561.9,456.6,431.2,420.4,444.9
Current Portion of Long-Term Debt,-,-,27,9,-,29.3,47,47.3,675.1,62.5,143.2
Current Portion of Leases,72,59,63,72,-,1.2,1.2,1.2,1,1,0.5
Current Income Taxes Payable,-,-,8,-,-,-,-,-,-,-,-
Other Current Liabilities,184,242,907,812,-,193.1,183,176.1,209.8,236.6,204.9
Total Current Liabilities,"1,480","1,706","2,450","2,589",-,"1,545","1,468","1,296","1,746","1,136","1,228"
Long-Term Debt,"2,001","1,983","2,006","2,029",-,"2,235","2,655","2,973","1,804","1,875","1,954"
Long-Term Leases,318,302,325,359,-,23.3,23.7,24.6,25.2,26.1,27.1
Pension & Post-Retirement Benefits,215,279,255,276,-,431.5,574.9,504.4,697,581.9,369.6
Long-Term Deferred Tax Liabilities,581,518,474,588,-,668.2,697.5,745.9,205.8,290.8,324.1
Other Long-Term Liabilities,205,207,320,435,-,116.8,122.2,131.1,127.8,122.3,160.7
Total Liabilities,"4,800","4,995","5,830","6,276",-,"5,019","5,541","5,674","4,606","4,032","4,063"
Common Stock,-,-,-,-,-,-,-,-,69.5,78.7,83
Additional Paid-In Capital,"3,333","3,102","4,152","4,188",-,"4,185","4,167","4,157","1,390","1,561","1,639"
Retained Earnings,"3,548","3,184","3,588","3,894",-,"1,013",590.8,34.7,"2,323","2,326","2,060"
Comprehensive Income & Other,-415,-452,-499,-708,-,-377.7,-218.6,39,-685,-578.8,-235.9
Total Common Equity,"6,466","5,834","7,241","7,374",-,"4,821","4,540","4,231","3,097","3,387","3,546"
Minority Interest,257,225,246,197,-,54.4,50.7,49.3,13.4,2.7,3.1
Shareholders' Equity,"6,723","6,059","7,487","7,571",-,"4,875","4,590","4,280","3,110","3,390","3,549"
Total Liabilities & Equity,"11,523","11,054","13,317","13,847",-,"9,894","10,132","9,955","7,716","7,422","7,612"
Total Debt,"2,391","2,344","2,421","2,469",-,"2,288","2,727","3,046","2,505","1,964","2,125"
Net Cash (Debt),"-1,618","-1,401","-1,734","-1,922",-,"-1,584","-2,293","-2,853","-2,195","-1,640","-1,750"
Net Cash Per Share,-4.16,-3.69,-4.56,-5.06,-,-4.17,-6.03,-,-14.99,-10.03,-0.00
Filing Date Shares Outstanding,393.11,393.11,380.07,380.07,-,380.07,380.07,380.07,138.95,154.79,166.08
Total Common Shares Outstanding,393.11,380.07,380.07,380.07,-,380.07,380.07,380.07,138.92,157.41,166.08
Working Capital,"3,114","2,496","2,471","2,954",-,"2,196","2,280","2,209","1,806","2,163","2,110"
Book Value Per Share,16.45,15.35,19.05,-,-,12.68,11.94,11.13,22.29,21.52,21.35
Tangible Book Value,"3,585","2,955","4,340","4,475",-,"1,835","1,532","1,203","1,924","2,237","2,366"
Tangible Book Value Per Share,9.12,7.77,11.42,-,-,4.83,4.03,3.16,13.85,14.21,14.24
Land,-,573,686,660,-,549.1,546.4,551.9,276.1,268.9,271.7
Buildings,-,"1,549","1,561","1,441",-,924.8,866.1,846.3,"1,789","1,691","1,718"
Machinery,-,"3,356","3,281","3,080",-,"1,381","1,160","1,032","2,019","1,929","1,851"
Construction In Progress,-,173,225,290,-,242.6,191.2,106.4,105.5,110.2,133.6
