Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Operating Revenue,"1,216","1,005",772.81,685.41,445.87,91.74,32.31
Other Revenue,29.97,27.7,39.24,63.51,28.72,7.27,3.83
Revenue,"1,246","1,032",812.05,748.93,474.59,99.01,36.14
Revenue Growth (YoY),28.33%,27.12%,8.43%,57.81%,379.33%,173.95%,-
Cost of Revenue,717.33,597.65,508.94,451.08,232.32,49.09,27.97
Gross Profit,528.62,434.6,303.11,297.84,242.26,49.93,8.17
"Selling, General & Admin",233.93,287.09,253.12,398.42,181.86,16.34,6.64
Research & Development,74.74,76.57,74.38,150.93,66.21,12.33,5.43
Operating Expenses,308.67,363.66,327.51,549.35,248.07,28.67,12.08
Operating Income,219.95,70.94,-24.4,-251.51,-5.81,21.25,-3.9
Other Non Operating Income (Expenses),-486.65,-481.86,-156.77,-24.87,-55.84,-0.06,-0.12
EBT Excluding Unusual Items,-266.7,-410.92,-181.17,-276.37,-61.65,21.2,-4.03
Merger & Restructuring Charges,-4.1,-4.1,-,-,-,-,-
Other Unusual Items,-31.36,-6.1,-,-,-,-,-
Pretax Income,-210.99,-421.12,-181.17,-276.37,-61.65,21.2,-4.03
Income Tax Expense,3.81,24.58,15.57,16.4,7.88,1.28,0.17
Earnings From Continuing Operations,-214.8,-445.7,-196.74,-292.77,-69.52,19.92,-4.2
Minority Interest in Earnings,23.97,44.29,68.3,-9.55,-21.63,-5.45,-1.42
Net Income,-190.83,-401.41,-128.44,-302.32,-91.15,14.47,-5.62
Preferred Dividends & Other Adjustments,2.8,-,-,12.21,43.17,9.56,2.75
Net Income to Common,-193.63,-401.41,-128.44,-314.53,-134.32,4.91,-8.37
Shares Outstanding (Basic),76,71,60,38,16,16,16
Shares Outstanding (Diluted),76,71,60,38,16,17,16
Shares Change (YoY),13.23%,18.06%,56.95%,135.03%,-5.61%,8.22%,-
EPS (Basic),-2.53,-5.66,-2.14,-8.22,-8.25,0.31,-0.53
EPS (Diluted),-2.53,-5.66,-2.14,-8.22,-8.25,0.27,-0.54
Free Cash Flow,190.65,48.78,-10.61,-62.41,43.19,3.16,-8.61
Free Cash Flow Per Share,2.49,0.69,-0.18,-1.63,2.65,0.18,-0.54
Gross Margin,42.43%,42.10%,37.33%,39.77%,51.05%,50.42%,22.61%
Operating Margin,17.65%,6.87%,-3.00%,-33.58%,-1.22%,21.47%,-10.80%
Profit Margin,-15.54%,-38.89%,-15.82%,-42.00%,-28.30%,4.96%,-23.15%
Free Cash Flow Margin,15.30%,4.73%,-1.31%,-8.33%,9.10%,3.19%,-23.83%
EBITDA,253.28,99.69,-5.27,-245.21,-4.99,21.54,-3.81
EBITDA Margin,20.33%,9.66%,-0.65%,-32.74%,-1.05%,21.76%,-10.55%
D&A For EBITDA,33.33,28.75,19.13,6.29,0.82,0.29,0.09
EBIT,219.95,70.94,-24.4,-251.51,-5.81,21.25,-3.9
EBIT Margin,17.65%,6.87%,-3.00%,-33.58%,-1.22%,21.47%,-10.80%
Effective Tax Rate,-,-,-,-,-,6.02%,-
Revenue as Reported,"1,246","1,032",812.05,748.93,474.59,99.01,36.14
