Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Market Capitalization,"1,754",684,980,845,357,-,-
Market Cap Growth,108.18%,-30.17%,16.03%,136.66%,-,-,-
Enterprise Value,"2,338","1,368","1,356",917,586,-,-
Last Close Price,21.82,9.29,16.56,14.88,119.16,-,-
Forward PE,7.11,6.13,16.73,-,-,-,-
PS Ratio,1.34,0.66,1.21,1.13,0.75,-,-
PB Ratio,3.99,1.33,1.32,1.10,0.74,-,-
P/TBV Ratio,4.32,2.36,1.79,1.53,276.21,-,-
P/FCF Ratio,9.20,14.03,-,-,8.26,-,-
P/OCF Ratio,8.54,10.29,102.32,-,7.16,-,-
EV/Sales Ratio,1.88,1.33,1.67,1.22,1.24,-,-
EV/EBITDA Ratio,9.23,13.72,-,-,-,-,-
EV/EBIT Ratio,10.63,19.28,-,-,-,-,-
EV/FCF Ratio,12.26,28.04,-,-,13.58,-,-
Debt / Equity Ratio,1.42,1.32,0.56,0.28,0.08,-,-
Debt / EBITDA Ratio,3.08,6.30,103.93,-,-,-,-
Debt / FCF Ratio,4.21,13.96,-,-,0.88,-,-
Asset Turnover,0.88,0.83,0.72,0.92,1.20,0.75,-
Quick Ratio,4.55,1.65,3.69,3.04,8.18,17.87,11.71
Current Ratio,5.11,1.80,4.05,3.28,8.60,18.04,12.75
Return on Equity (ROE),-36.31%,-70.98%,-26.14%,-46.85%,-20.49%,15.87%,-
Return on Assets (ROA),9.73%,3.55%,-1.35%,-19.22%,-0.91%,10.11%,-
Return on Capital (ROIC),10.29%,3.77%,-1.43%,-20.96%,-1.01%,10.58%,-
Return on Capital Employed (ROCE),16.00%,6.50%,-2.20%,-27.40%,-1.00%,10.60%,-6.90%
Earnings Yield,-11.04%,-58.66%,-13.11%,-35.80%,-25.54%,-,-
FCF Yield,10.87%,7.13%,-1.08%,-7.39%,12.10%,-,-
Buyback Yield / Dilution,-13.23%,-18.06%,-56.95%,-135.03%,5.61%,-8.22%,-
