Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Interest Income on Loans,"2,908","3,080","2,887","1,828","1,257","1,285","1,199","1,034",734.47,680.88,633.2
Interest Income on Investments,343.76,277.63,251.96,148.21,76.84,99.01,122.09,125.26,99.68,81.01,73.82
Total Interest Income,"3,252","3,357","3,139","1,977","1,334","1,384","1,321","1,159",834.15,761.89,707.02
Interest Paid on Deposits,"1,375","1,559","1,275",256.4,67.97,182.24,311.87,190.35,97.85,77.56,60.26
Interest Paid on Borrowings,154.56,169.86,198.64,64.64,56.35,82.58,111.08,111.69,76.26,71.21,96.5
Total Interest Expense,"1,530","1,729","1,473",321.04,124.33,264.82,422.95,302.05,174.11,148.77,156.75
Net Interest Income,"1,722","1,629","1,665","1,656","1,210","1,119",898.05,857.2,660.05,613.11,550.27
Net Interest Income Growth (YoY),7.41%,-2.21%,0.59%,36.84%,8.13%,24.59%,4.76%,29.87%,7.66%,11.42%,15.90%
Trust Income,61.65,62.62,44.16,34.71,14.91,12.42,12.65,12.63,11.54,10.35,10.02
Gain (Loss) on Sale of Assets,0.1,3.73,6.81,0.9,0.9,-,78.33,-2.4,-0.1,1.36,2.78
Gain (Loss) on Sale of Investments,-28.27,-18.85,-16.91,-13.64,-9.15,-12.81,-23.47,-20.01,-41.77,-33.97,-24.83
Other Non-Interest Income,117.72,108.29,126.3,129.07,89.35,109.59,84.07,72.3,57.94,52.87,43.1
Total Non-Interest Income,208.65,198.22,207.72,194.39,144.1,169.7,194.13,109.85,69.96,73.52,56.49
Non-Interest Income Growth (YoY),5.96%,-4.57%,6.86%,34.89%,-15.08%,-12.58%,76.72%,57.02%,-4.84%,30.14%,5.75%
Revenues Before Loan Losses,"1,930","1,827","1,873","1,850","1,354","1,289","1,092",967.06,730.01,686.63,606.76
Provision for Loan Losses,226.17,308.83,50.18,56.82,32.63,125.72,24.22,32.5,9.94,11.87,8.1
Revenue,"1,704","1,518","1,823","1,793","1,321","1,163","1,068",934.55,720.06,674.76,598.66
Revenue Growth (YoY),8.06%,-16.73%,1.66%,35.71%,13.63%,8.89%,14.27%,29.79%,6.71%,12.71%,13.75%
Salaries and Employee Benefits,542.23,527.57,516.42,497.95,354.98,314.65,312.71,311.68,251.13,233.19,212.97
Occupancy Expenses,54.55,53.87,54.43,49.55,43.44,42.89,83.46,79.76,64.54,59.44,58.82
Federal Deposit Insurance,51.24,52.72,37.86,22.84,14.18,18.95,21.71,28.27,19.82,20.1,16.87
Amortization of Goodwill & Intangibles,31.36,35.05,39.77,37.83,21.83,23.83,18.12,18.8,10.45,10.72,9.47
"Selling, General & Administrative",279.7,282.67,297.88,317.97,182.36,164.39,75.32,94.72,75.66,65.51,67.7
Other Non-Interest Expense,130.03,124.25,120.42,86.42,53.34,53.19,63.06,69.36,46.15,51.5,55.11
Total Non-Interest Expense,"1,089","1,076","1,067","1,013",670.13,617.89,574.37,602.59,467.76,440.46,420.94
EBT Excluding Unusual Items,615.08,441.98,756.24,780.67,651.25,544.99,493.59,331.97,252.31,234.31,177.72
Asset Writedown,-,-,-,-,-,-0.82,0.04,0.39,0.43,-0.61,0.3
Legal Settlements,-1.01,7.33,-3.54,-,-2.1,-,-,-,-,-,-
Other Unusual Items,2.9,-8.76,-50.3,-,-8.41,-12.04,-32,-,-,-0.32,-51.13
Pretax Income,611.23,438.52,678.33,780.67,640.74,530.07,456.8,329.69,252.74,233.38,126.9
Income Tax Expense,92.94,58.25,179.82,211.82,166.9,139.46,147,68.27,90.83,65.23,23.94
Net Income,518.29,380.27,498.51,568.85,473.84,390.61,309.79,261.43,161.91,168.15,102.96
Preferred Dividends & Other Adjustments,28.57,21.37,16.14,13.15,12.69,12.69,12.69,12.69,9.45,7.19,3.81
Net Income to Common,489.72,358.9,482.38,555.71,461.15,377.92,297.11,248.74,152.46,160.96,99.14
Net Income Growth,54.20%,-23.72%,-12.37%,20.05%,21.31%,26.09%,18.50%,61.47%,-3.71%,63.32%,-11.38%
Basic Shares Outstanding,554,516,508,485,407,404,338,331,264,255,234
Diluted Shares Outstanding,558,518,509,488,410,405,340,333,265,255,234
Shares Change (YoY),9.31%,1.72%,4.39%,18.98%,1.23%,19.09%,2.23%,25.60%,3.77%,8.89%,13.96%
EPS (Basic),0.88,0.70,0.95,1.14,1.13,0.94,0.88,0.75,0.58,0.63,0.42
EPS (Diluted),0.88,0.69,0.95,1.14,1.12,0.93,0.87,0.75,0.58,0.63,0.42
EPS Growth,40.78%,-27.37%,-16.67%,1.79%,20.43%,6.90%,16.00%,29.89%,-8.35%,50.00%,-25.00%
Dividend Per Share,0.440,0.440,0.440,0.440,0.440,0.440,0.440,0.440,0.440,0.440,0.440
Effective Tax Rate,15.20%,13.28%,26.51%,27.13%,26.05%,26.31%,32.18%,20.71%,35.94%,27.95%,18.86%
