Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"6,028","5,061","5,513","5,727","5,811","3,938","3,799","2,944","2,966","3,070","2,501"
Market Cap Growth,22.16%,-8.21%,-3.73%,-1.46%,47.58%,3.65%,29.06%,-0.76%,-3.38%,22.77%,11.25%
Last Close Price,10.81,8.74,9.93,9.86,11.55,7.92,8.80,6.55,7.98,7.97,6.45
PE Ratio,12.29,14.10,11.43,10.31,12.60,10.42,12.79,11.83,19.46,19.07,25.22
PS Ratio,3.52,3.33,3.02,3.19,4.40,3.39,3.56,3.15,4.12,4.55,4.18
PB Ratio,0.83,0.68,0.82,0.90,1.14,0.86,0.87,0.88,1.17,1.29,1.13
P/OCF Ratio,11.18,9.23,14.58,4.01,6.94,24.08,14.51,9.68,4.79,7.32,16.14
Debt / Equity Ratio,0.47,0.56,0.63,0.42,0.49,0.86,0.83,1.15,1.24,1.09,1.35
Return on Equity (ROE),7.07%,5.38%,7.61%,9.91%,9.79%,8.70%,8.01%,8.89%,6.59%,7.34%,5.06%
Return on Assets (ROA),0.83%,0.62%,0.84%,1.13%,1.13%,1.00%,0.89%,0.94%,0.69%,0.76%,0.51%
Earnings Yield,8.12%,7.51%,9.04%,9.93%,8.15%,9.92%,8.15%,8.88%,5.46%,5.48%,4.12%
Dividend Yield,4.07%,5.03%,4.43%,4.46%,3.81%,5.55%,5.00%,6.71%,5.52%,5.52%,6.82%
Payout Ratio,50.03%,65.64%,48.09%,38.52%,40.59%,48.81%,51.40%,59.18%,75.45%,70.77%,103.05%
Buyback Yield / Dilution,-9.31%,-1.72%,-4.39%,-18.98%,-1.23%,-19.09%,-2.23%,-25.60%,-3.77%,-8.89%,-13.96%
Total Shareholder Return,-5.24%,3.31%,0.04%,-14.51%,2.58%,-13.54%,2.77%,-18.88%,1.75%,-3.36%,-7.14%
