Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"5,695",983.2,"1,167","1,332",500.45,487.46,94.11,"1,546",472.26,532.14,230.29
Investment Securities,"27,088","23,241","21,024","13,242","13,472","8,119","4,165",492.83,383.91,248.26,119.09
Trading Asset Securities,2.49,"1,374","1,483","1,459",823.79,43.59,2.21,2.02,4.09,0.33,-
Mortgage-Backed Securities,-,-,-,203.35,360.6,160.77,113.4,37.24,0.36,-,-
Total Investments,"27,091","24,615","22,507","14,904","14,657","8,324","4,281",532.09,388.36,248.58,119.09
Gross Loans,-,"41,217","31,052","24,576","17,540","8,806","4,773","3,000","2,496","2,362","2,140"
Allowance for Loan Losses,-,"-2,274","-1,885","-1,321",-682.41,-205.79,-145.39,-87.3,-82.3,-116.11,-76.96
Other Adjustments to Gross Loans,-,-,-,-,-,-,-,-0.71,-,-,-
Net Loans,-,"38,943","29,167","23,255","16,858","8,600","4,628","2,912","2,414","2,246","2,063"
"Property, Plant & Equipment",367.32,369.94,167.55,188.02,163.48,29.9,22.47,13.83,5.54,5.22,5.13
Goodwill,-,798.28,635.74,632.8,90.7,37.33,-,-,-,-,-
Other Intangible Assets,"2,007",712.4,467.86,420.27,224.39,118.04,79.25,26.43,0.96,-,-
Other Receivables,-,"1,580","1,126",610.8,370.81,269.26,76.78,368.51,127.58,32.8,7.36
Restricted Cash,"7,073","5,285","2,664","2,855","2,399",842.8,315.5,18.5,-,-,-
Other Current Assets,313.78,528.5,381.32,345.74,218.29,311.76,121.56,165.67,69.63,59.91,62.73
Long-Term Deferred Tax Assets,"1,703","1,705","1,034",978.15,695.53,156.38,9.28,1.12,-,33.4,22.45
Other Real Estate Owned & Foreclosed,-,234.61,174.36,166.94,129.79,130,136.11,-,-,33.45,17.73
Other Long-Term Assets,"3,169",377.88,618.34,468.97,203.64,419.76,203.51,21.21,99.97,0.28,-
Total Assets,"91,809","76,458","60,352","46,343","36,626","19,796","10,020","5,641","3,578","3,192","2,528"
Accrued Expenses,112.7,318.32,215.04,129.76,81.33,-,31.11,8.03,7.22,3.35,3.75
Interest Bearing Deposits,"51,496","41,905","31,727","12,809","8,401","5,714","2,904","1,772","1,326","1,477","1,135"
Non-Interest Bearing Deposits,-,"1,415","2,573","11,567","9,933","6,703","2,088",618.29,230.39,43.45,21.23
Total Deposits,"51,496","43,320","34,299","24,375","18,334","12,418","4,993","2,391","1,556","1,520","1,156"
Short-Term Borrowings,23.47,"1,796","1,026","1,941",66.55,"1,667",661.57,266.08,-,"1,186",906.4
Current Portion of Long-Term Debt,-,"15,616","11,990","6,851","3,463",586.5,"1,067","1,179",813.92,-,-
Current Portion of Leases,-,1.01,6.02,-,-,-,-,-,-,-,-
Current Income Taxes Payable,547.64,462.5,287.98,114.49,41.76,1.86,4.32,9.98,7.16,2.61,4.48
Other Current Liabilities,-,-,-,-,17.7,522.85,343.86,212.62,172.74,16.44,48.04
Long-Term Debt,"27,172","3,480","3,076","4,659","5,475","1,170",694.7,597.04,621.9,48.62,65.63
Long-Term Leases,-,112.68,114.38,146.71,137.09,-,-,-,-,-,-
Long-Term Unearned Revenue,-,38.21,41.79,45.36,48.94,-,-,10.33,-,-,-
Long-Term Deferred Tax Liabilities,46.92,61.5,32.54,30.07,89.24,-,-,-,-,-,-
Other Long-Term Liabilities,"2,601","2,180","1,666",961.52,421.78,78.95,19.65,18.94,14.75,60.88,6.65
Total Liabilities,"82,000","67,386","52,755","39,254","28,177","16,445","7,820","4,692","3,194","2,838","2,191"
Common Stock,0.01,0.01,0.01,0.01,0.01,"3,216","2,068",848.76,311.87,298.11,281.25
Retained Earnings,-,-,-,-,-,82.98,124.89,102.5,73.34,57.41,56.39
Treasury Stock,-,-,-,-,-,-117.52,-,-0.43,-2.28,-2,-1.36
Comprehensive Income & Other,"9,680","8,895","7,472","6,992","2,656",119.99,2.58,-2.05,0.17,-0.36,-0.12
Total Common Equity,"9,680","8,895","7,472","6,992","2,656","3,302","2,196",948.78,383.09,353.17,336.16
Minority Interest,128.32,177.13,124.88,96.72,"5,794",48.58,4.18,0.25,0.98,0.41,0.99
Shareholders' Equity,"9,808","9,072","7,597","7,089","8,450","3,350","2,200",949.03,384.07,353.57,337.14
Total Liabilities & Equity,"91,809","76,458","60,352","46,343","36,626","19,796","10,020","5,641","3,578","3,192","2,528"
Total Debt,"27,196","21,005","16,213","13,597","9,142","3,424","2,423","2,042","1,436","1,235",972.03
Net Cash (Debt),"-21,498","-17,943","-8,019","-8,424","-6,088",3.29,"1,004",-268.25,-954.35,-702.27,-740.64
Net Cash Growth,-,-,-,-,-,-99.67%,-,-,-,-,-
Net Cash Per Share,-48.40,-40.87,-19.89,-21.00,-2.40,0.00,-,-0.16,-0.74,-3.28,-3.47
Filing Date Shares Outstanding,442.56,439.7,402.19,401.8,"2,575","2,282",-,"1,823",212.24,211.56,212.41
Total Common Shares Outstanding,442.56,439.7,402.19,401.8,"2,575","2,282",-,"1,823",212.24,211.56,212.41
Book Value Per Share,21.87,20.23,18.58,17.40,1.03,1.45,-,0.52,1.81,1.67,1.58
Tangible Book Value,"7,673","7,385","6,368","5,939","2,341","3,147","2,117",922.36,382.13,353.17,336.16
Tangible Book Value Per Share,17.34,16.79,15.83,14.78,0.91,1.38,-,0.51,1.80,1.67,1.58
