Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Interest Income on Loans,"7,499","5,139","4,550","2,803","1,435",942.81,644.19,559.02,444.78,525.9,453.67
Interest Income on Investments,"3,442","2,629","1,635","1,506",-,-,202.03,85.94,101.71,51.81,26.81
Total Interest Income,"10,940","7,768","6,184","4,308","1,435",942.81,846.22,644.96,546.48,577.7,480.48
Interest Paid on Deposits,"5,198","3,312","2,888","1,973",543.24,184.34,253.63,215.5,272.2,-,-
Interest Paid on Borrowings,-,-,-,-,-,-,2.05,1.79,2.95,315.7,220.47
Total Interest Expense,"5,198","3,312","2,888","1,973",543.24,184.34,255.68,217.28,275.15,315.7,220.47
Net Interest Income,"5,742","4,457","3,297","2,335",892.19,758.47,590.54,427.68,271.34,262,260.01
Net Interest Income Growth (YoY),38.92%,35.18%,41.16%,161.77%,17.63%,28.44%,38.08%,57.62%,3.56%,0.77%,84.96%
Gain (Loss) on Sale of Assets,39.03,55.54,41.79,66.36,29.33,-,39.92,-3.18,-1.6,-,-
Gain (Loss) on Sale of Investments,-,-,-,-,601.83,-5.09,-,-0.01,-0.66,-5.14,-16.52
Other Non-Interest Income,"2,066","1,888","1,414","1,161",698.48,367.36,135.12,42.43,41.18,-18.41,-39.66
Total Non-Interest Income,"2,105","1,943","1,456","1,227","1,330",362.27,175.04,39.25,38.92,-23.54,-56.19
Non-Interest Income Growth (YoY),21.33%,33.50%,18.62%,-7.70%,267.03%,106.97%,345.98%,0.84%,-,-,-
Revenues Before Loan Losses,"7,848","6,400","4,753","3,563","2,222","1,121",765.58,466.93,310.26,238.46,203.82
Provision for Loan Losses,"2,219","1,799","1,542","1,083",595.58,213.69,130.96,57.61,50.67,-,-
Revenue,"5,628","4,601","3,211","2,479","1,626",907.06,634.62,409.32,259.59,238.46,203.82
Revenue Growth (YoY),34.63%,43.28%,29.50%,52.46%,79.29%,42.93%,55.04%,57.68%,8.86%,16.99%,91.65%
Salaries and Employee Benefits,"1,062",908.97,758.05,686.05,443.33,229.1,169.1,117.63,82.46,70.15,59.76
Occupancy Expenses,289.15,208.83,160.44,163.97,94.25,43.66,-,-,-,-,-
"Selling, General & Administrative","2,095","1,749","1,455","1,542","1,164",571.65,322.63,166.38,91.08,102.44,83.11
Other Non-Interest Expense,670.92,477.04,326.58,248.59,146.76,69.68,51.37,16.62,17.66,36.81,15.67
Total Non-Interest Expense,"4,117","3,346","2,733","2,658","1,857",914.08,543.1,300.43,191.19,209.4,158.54
EBT Excluding Unusual Items,"1,511","1,255",478.45,-178.57,-231.03,-7.02,91.52,108.89,68.4,29.06,45.28
Legal Settlements,-11.86,-49.12,-38.61,-,-,-,-8.41,-15.01,-8.64,-,-
Pretax Income,"1,499","1,206",439.84,-178.57,-231.06,-7.02,83.11,93.88,59.76,29.06,45.28
Income Tax Expense,209.35,232.71,87.58,-164.49,-175.99,-37.71,1.54,24.05,5.96,3.23,11.58
Earnings From Continuing Operations,"1,290",972.84,352.26,-14.08,-55.07,30.69,81.57,69.84,53.8,25.83,33.71
Minority Interest in Earnings,-76.72,-65.71,-49.92,2.99,-17.6,-12.78,-2.69,-2.09,-5.64,-0.47,-0.81
Net Income,"1,213",907.13,302.34,-11.09,-72.66,17.91,78.88,67.74,48.16,25.36,32.9
Preferred Dividends & Other Adjustments,-,-,-,-,-36.32,8.26,-,-,-0,-,-
Net Income to Common,"1,213",907.13,302.34,-11.09,-36.35,9.65,78.88,67.74,48.16,25.36,32.9
Net Income Growth,54.97%,200.03%,-,-,-,-77.29%,16.44%,40.67%,89.91%,-22.91%,48.42%
Basic Shares Outstanding,441,436,402,401,"2,541","2,234",-,"1,568","1,285",213,213
Diluted Shares Outstanding,444,439,403,401,"2,541","2,234",-,"1,648","1,295",214,213
Shares Change (YoY),3.30%,8.89%,0.49%,-84.21%,13.73%,-,-,27.32%,503.96%,0.48%,0.00%
EPS (Basic),2.75,2.08,0.75,-0.03,-0.01,0.00,-,0.04,0.04,0.12,0.15
EPS (Diluted),2.75,2.07,0.75,-0.03,-0.01,0.00,-,0.04,0.04,0.12,0.15
EPS Growth,52.40%,176.00%,-,-,-,-,-,10.48%,-68.56%,-23.28%,48.42%
Dividend Per Share,-,-,0.146,-,-,-,0.028,0.011,0.118,0.092,0.042
Dividend Growth,-,-,-,-,-,-,149.55%,-90.58%,28.18%,119.33%,88.74%
Effective Tax Rate,13.96%,19.30%,19.91%,-,-,-,1.85%,25.61%,9.98%,11.11%,25.56%
