Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,967","1,853","2,234",951,-,-,-,-,-,-,-
Market Cap Growth,37.80%,-17.08%,134.97%,-,-,-,-,-,-,-,-
Last Close Price,8.88,4.16,5.45,2.32,-,-,-,-,-,-,-
PE Ratio,17.45,12.63,35.85,-,-,-,-,-,-,-,-
PS Ratio,3.71,2.49,3.38,2.03,-,-,-,-,-,-,-
PB Ratio,2.16,1.26,1.43,0.71,-,-,-,-,-,-,-
Debt / Equity Ratio,2.77,2.32,2.13,1.92,1.08,1.02,1.10,2.15,3.74,3.49,2.88
Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,3.38,-
Return on Equity (ROE),13.81%,11.67%,4.80%,-0.18%,-0.93%,1.11%,5.18%,10.48%,14.59%,7.48%,10.50%
Return on Assets (ROA),1.59%,1.42%,0.66%,-0.03%,-0.19%,0.21%,1.04%,1.52%,1.59%,0.90%,1.54%
Earnings Yield,5.70%,7.92%,2.79%,-0.22%,-,-,-,-,-,-,-
FCF Yield,-10.69%,-56.51%,-13.68%,-64.33%,-,-,-,-,-,-,-
Dividend Yield,0.89%,-,0.55%,-,-,-,-,-,-,-,-
Payout Ratio,15.51%,7.59%,-,-,-,211.42%,-,34.56%,14.87%,29.03%,10.11%
Buyback Yield / Dilution,-3.30%,-8.89%,-0.49%,84.21%,-13.73%,-,-,-27.32%,-503.96%,-0.48%,-0.00%
Total Shareholder Return,-2.41%,-8.89%,0.06%,84.21%,-13.73%,-,-,-27.32%,-503.96%,-0.48%,-0.00%
