Period Ending,"Jul '25Jul 27, 2025","Jan '25Jan 26, 2025","Jan '24Jan 28, 2024","Jan '23Jan 29, 2023","Jan '22Jan 30, 2022","Jan '21Jan 31, 2021","Jan '20Jan 26, 2020","Jan '19Jan 27, 2019","Jan '18Jan 28, 2018","Jan '17Jan 29, 2017","Jan '16Jan 31, 2016"
Cash & Equivalents,168.56,151.74,128.59,235.51,279.6,268.89,293.32,312.12,307.92,297.13,211.81
Short-Term Investments,-,12.72,14.55,12.56,-,-,-,-,1.96,1.43,-
Trading Asset Securities,-,-,-,-,0.06,-,-,-,-,-,-
Cash & Short-Term Investments,168.56,164.46,143.13,248.07,279.66,268.89,293.32,312.12,309.88,298.56,211.81
Cash Growth,24.86%,14.90%,-42.30%,-11.30%,4.01%,-8.33%,-6.02%,0.72%,3.79%,40.96%,-8.04%
Accounts Receivable,153.51,162.52,134.32,161.7,71.51,70.43,61.93,79.22,53.18,51.44,44.13
Other Receivables,-,25.6,17.3,12.53,-,-,-,-,-,-,-
Receivables,153.51,188.12,151.62,174.22,71.51,70.43,61.93,79.22,53.18,51.44,44.13
Inventory,183.3,198.43,189.76,263.86,114,87.49,73.01,63.68,71.07,65.87,63.88
Prepaid Expenses,12.38,28.14,37.03,27.51,5.98,22.08,10.72,8.41,11.81,5.56,5.24
Other Current Assets,97.13,6.31,12.66,9.13,31.14,25.83,21.76,21.88,15.29,16.99,16.17
Total Current Assets,614.87,585.46,534.2,722.79,502.3,474.73,460.74,485.3,461.23,438.43,341.22
"Property, Plant & Equipment",139.02,147.92,177.49,201.1,134.94,147.27,135.38,118.49,124.59,108.91,101.01
Long-Term Investments,-,39.1,43.08,43.2,37.67,27.2,22.7,19.4,41.5,29.1,21.3
Goodwill,492.2,533.09,541.23,"1,282",351.14,351.14,351.14,351.14,341.9,329.7,329.7
Other Intangible Assets,30.3,29.92,34.57,215.1,6.8,11.75,20.01,36.56,60.21,61.77,88.43
Long-Term Deferred Tax Assets,36.53,41.13,18.01,63.78,27.8,25.48,20.09,14.26,4.24,5.49,7.35
Long-Term Deferred Charges,4.35,3.19,1,-,-,-,-,-,-,-,-
Other Long-Term Assets,88.62,39.46,24.17,41.95,70.26,44.53,42.37,37.63,52.12,38.14,22.5
Total Assets,"1,406","1,419","1,374","2,570","1,131","1,082","1,052","1,063","1,086","1,012",911.52
Accounts Payable,70.87,59.24,45.05,100.68,50.7,50.19,48.01,43.18,37.21,41.96,35.49
Accrued Expenses,165.13,116.13,108.5,175,49.61,39.33,32.74,49.57,40.22,40.31,32.44
Current Portion of Long-Term Debt,-,45.59,-,43.1,-,0.85,-,18.27,15.41,14.43,18.57
Current Portion of Leases,6.61,6.01,6.56,6.21,3.98,3.98,3.27,-,-,-,-
Current Income Taxes Payable,-,-,2.92,8.52,-,-,-,2.11,1.47,11.38,8.77
Current Unearned Revenue,-,15.87,19.09,26.78,13.05,3.92,3.93,13.51,15.87,12.06,8.63
Other Current Liabilities,0.5,40.19,35.03,36.57,11.07,11.31,10.69,3.28,16.04,2.83,-
Total Current Liabilities,243.11,283.03,217.16,396.86,128.4,109.57,98.64,129.91,126.21,122.98,103.89
Long-Term Debt,518.94,505.93,"1,371","1,303",171.68,180.13,194.74,192.85,211.11,226.52,239.18
Long-Term Leases,20.4,18.5,22.03,26.48,16.58,13.17,8.19,-,-,-,-
Long-Term Deferred Tax Liabilities,1.02,0.75,0.83,5.07,1.13,0.98,3.6,3.36,14.68,6.88,6.8
Other Long-Term Liabilities,69.52,68.62,69.92,81.79,75.35,79.3,70.06,54.08,68.76,49.9,33.6
Total Liabilities,852.99,876.84,"1,681","1,814",393.14,383.15,375.23,380.2,420.76,406.28,383.47
Common Stock,0.99,0.99,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79
