Period Ending,"Nov '25Nov 14, 2025","Jan '25Jan 26, 2025","Jan '24Jan 28, 2024","Jan '23Jan 29, 2023","Jan '22Jan 30, 2022","Jan '21Jan 31, 2021","Jan '20Jan 26, 2020","Jan '19Jan 27, 2019","Jan '18Jan 28, 2018","Jan '17Jan 29, 2017","Jan '16Jan 31, 2016"
Market Capitalization,"5,680","6,293","1,324","2,116","4,371","4,612","3,479","3,275","2,419","2,212","1,305"
Market Cap Growth,61.21%,375.42%,-37.45%,-51.58%,-5.23%,32.56%,6.23%,35.41%,9.34%,69.57%,-27.81%
Enterprise Value,"6,058","7,356","2,581","1,969","4,282","4,538","3,403","3,176","2,358","2,162","1,375"
Last Close Price,65.46,73.02,20.59,33.15,67.83,70.95,52.52,49.77,36.45,33.70,20.10
PE Ratio,227.09,-,-,34.48,34.78,76.99,109.17,47.03,69.81,40.47,113.47
Forward PE,36.25,46.27,69.92,16.13,22.40,33.91,31.96,21.44,18.33,21.41,19.20
PS Ratio,5.42,6.92,1.52,2.80,5.90,7.75,6.36,5.22,4.12,4.06,2.66
PB Ratio,10.27,11.60,-4.31,2.80,5.92,6.60,5.14,4.80,3.64,3.66,2.47
P/TBV Ratio,186.88,-,-,-,11.51,13.73,11.38,11.11,9.20,10.35,11.87
P/FCF Ratio,44.50,125.54,-,21.51,24.70,53.51,36.41,19.67,31.82,26.12,14.65
P/OCF Ratio,41.99,108.52,-,16.70,21.52,38.78,29.33,17.84,21.70,18.81,12.78
PEG Ratio,-,2.31,4.66,1.01,1.45,2.19,2.06,1.07,0.76,4.28,3.84
EV/Sales Ratio,6.08,8.09,2.97,2.60,5.78,7.63,6.22,5.06,4.01,3.97,2.80
EV/EBITDA Ratio,39.76,69.68,56.98,10.20,24.34,42.59,37.07,22.94,18.45,20.08,20.49
EV/EBIT Ratio,54.04,117.95,-,12.23,29.53,60.76,65.65,35.77,29.93,35.66,75.68
EV/FCF Ratio,47.46,146.76,-,20.01,24.20,52.65,35.61,19.07,31.01,25.53,15.44
Debt / Equity Ratio,0.99,1.06,-4.55,1.82,0.26,0.28,0.30,0.31,0.34,0.40,0.49
Debt / EBITDA Ratio,3.43,5.12,25.50,6.88,1.05,1.76,2.13,1.53,1.77,2.24,3.84
Debt / FCF Ratio,4.28,11.49,-,14.02,1.09,2.30,2.16,1.27,2.98,2.85,2.89
Asset Turnover,0.72,0.65,0.44,0.41,0.67,0.56,0.52,0.58,0.56,0.57,0.53
Inventory Turnover,2.77,2.29,1.97,1.44,2.73,2.89,3.09,3.71,3.45,3.38,2.87
Quick Ratio,1.33,1.25,1.36,1.06,2.74,3.10,3.60,3.01,2.88,2.85,2.46
Current Ratio,2.53,2.07,2.46,1.82,3.91,4.33,4.67,3.74,3.66,3.57,3.29
Return on Equity (ROE),11.59%,-137.68%,-486.66%,8.22%,17.49%,8.70%,4.69%,10.33%,5.46%,9.65%,2.13%
Return on Assets (ROA),5.05%,2.79%,-1.04%,5.44%,8.19%,4.37%,3.06%,5.17%,4.70%,3.94%,1.23%
Return on Capital (ROIC),6.44%,3.53%,-1.27%,6.56%,9.92%,5.24%,3.65%,6.22%,5.67%,4.64%,1.43%
Return on Capital Employed (ROCE),9.60%,5.50%,-2.80%,7.40%,14.50%,7.70%,5.40%,9.50%,8.20%,6.80%,2.20%
Earnings Yield,0.42%,-2.57%,-82.50%,2.90%,2.88%,1.30%,0.92%,2.13%,1.43%,2.47%,0.88%
FCF Yield,2.25%,0.80%,-9.30%,4.65%,4.05%,1.87%,2.75%,5.08%,3.14%,3.83%,6.83%
Buyback Yield / Dilution,-27.64%,-11.66%,-0.18%,2.37%,0.75%,2.02%,1.55%,-1.30%,-2.26%,-0.22%,2.55%
