Period Ending,"Jul '25Jul 27, 2025","Jan '25Jan 26, 2025","Jan '24Jan 28, 2024","Jan '23Jan 29, 2023","Jan '22Jan 30, 2022","Jan '21Jan 31, 2021","Jan '20Jan 26, 2020","Jan '19Jan 27, 2019","Jan '18Jan 28, 2018","Jan '17Jan 29, 2017","Jan '16Jan 31, 2016"
Revenue,996.48,909.29,868.76,756.53,740.86,595.12,547.51,627.2,587.85,544.27,490.22
Revenue Growth (YoY),22.22%,4.67%,14.83%,2.12%,24.49%,8.70%,-12.71%,6.69%,8.01%,11.03%,-12.13%
Cost of Revenue,470.65,443.65,446.14,271.1,274.78,231.57,210.83,250.17,235.88,219.41,197.11
Gross Profit,525.83,465.63,422.62,485.44,466.08,363.55,336.68,377.02,351.97,324.86,293.11
"Selling, General & Admin",219.23,222.37,220.22,162.08,168.21,163.07,160.94,152.55,140.25,136.43,136.15
Research & Development,184.95,170.91,186.45,155.94,147.93,117.53,107.37,109.05,105.07,102.5,113.74
Amortization of Goodwill & Intangibles,9.56,9.99,48.63,6.48,4.94,8.27,16.55,26.65,27.87,25.3,25.06
Operating Expenses,413.73,403.27,455.3,324.5,321.08,288.86,284.85,288.25,273.18,264.23,274.95
Operating Income,112.1,62.37,-32.68,160.94,145,74.69,51.83,88.78,78.79,60.64,18.16
Interest Expense,-50.08,-90.07,-95.81,-17.65,-5.09,-5.34,-9.11,-9.2,-7.96,-9.3,-7.82
Interest & Investment Income,2.23,2.3,3.05,5.8,1.47,2.54,-,-,-,-,-
Earnings From Equity Investments,0.39,-0.55,0.05,0.25,2.12,0.33,0.11,-0.13,-0.25,-,-
Other Non Operating Income (Expenses),-3.23,0.27,-0.54,-1.33,-0.99,-2.41,3.39,3.82,3.35,-1.72,-1.8
EBT Excluding Unusual Items,61.41,-25.68,-125.94,148.01,142.51,69.8,46.23,83.27,73.92,49.61,8.54
Merger & Restructuring Charges,-3.82,-4.94,-24.63,-86.46,-,0.24,-2.17,-0.7,-7.9,-2.28,-4.53
Impairment of Goodwill,-49.48,-7.49,-755.62,-,-,-,-,-,-,-,-
Gain (Loss) on Sale of Investments,-,-1.11,-3.93,-1.16,-1.34,-6.77,-1.21,-30,-4.25,-,-
Gain (Loss) on Sale of Assets,-,-,-,18.31,-,-,-,-,-0.38,25.51,-
Asset Writedown,-,-,-131.39,-,-,-,-,-,-,-,-
Legal Settlements,-,-,-,-,-,-,-,8,-,-,-
Other Unusual Items,-,-144.69,-,-,0.01,0.03,1.85,9.42,-3.89,0.22,16.36
Pretax Income,8.1,-183.91,"-1,042",78.72,141.18,63.3,44.69,69.99,57.5,73.06,20.38
Income Tax Expense,-15.74,-22.01,50.52,17.34,15.54,3.44,12.83,0.36,22.85,18.4,8.88
Earnings From Continuing Operations,23.84,-161.9,"-1,092",61.37,125.65,59.87,31.87,69.64,34.65,54.66,11.5
Minority Interest in Earnings,-,-,-0,0.01,0.02,0.04,0.01,-,-,-,-
Net Income,23.84,-161.9,"-1,092",61.38,125.66,59.9,31.87,69.64,34.65,54.66,11.5
Net Income to Common,23.84,-161.9,"-1,092",61.38,125.66,59.9,31.87,69.64,34.65,54.66,11.5
Net Income Growth,-,-,-,-51.15%,109.78%,87.96%,-54.23%,100.98%,-36.61%,375.44%,-58.86%
Shares Outstanding (Basic),82,72,64,64,65,65,66,66,66,65,66
Shares Outstanding (Diluted),82,72,64,64,66,66,67,68,68,66,66
Shares Change (YoY),27.64%,11.66%,0.18%,-2.37%,-0.75%,-2.02%,-1.55%,1.30%,2.26%,0.22%,-2.55%
EPS (Basic),0.29,-2.26,-17.03,0.96,1.94,0.92,0.48,1.06,0.52,0.84,0.18
EPS (Diluted),0.29,-2.26,-17.03,0.96,1.92,0.91,0.47,1.02,0.51,0.83,0.17
EPS Growth,-,-,-,-50.00%,110.99%,93.62%,-53.92%,100.00%,-38.55%,388.24%,-58.54%
Free Cash Flow,127.64,50.13,-123.11,98.39,176.94,86.2,95.56,166.51,76.02,84.69,89.05
Free Cash Flow Per Share,1.55,0.70,-1.92,1.54,2.70,1.30,1.42,2.43,1.13,1.28,1.35
Gross Margin,52.77%,51.21%,48.65%,64.17%,62.91%,61.09%,61.49%,60.11%,59.88%,59.69%,59.79%
Operating Margin,11.25%,6.86%,-3.76%,21.27%,19.57%,12.55%,9.47%,14.15%,13.40%,11.14%,3.71%
Profit Margin,2.39%,-17.80%,-125.70%,8.11%,16.96%,10.07%,5.82%,11.10%,5.89%,10.04%,2.34%
Free Cash Flow Margin,12.81%,5.51%,-14.17%,13.00%,23.88%,14.48%,17.45%,26.55%,12.93%,15.56%,18.16%
EBITDA,152.36,105.58,45.29,193.09,175.9,106.55,91.78,138.41,127.79,107.69,67.1
EBITDA Margin,15.29%,11.61%,5.21%,25.52%,23.74%,17.90%,16.76%,22.07%,21.74%,19.79%,13.69%
D&A For EBITDA,40.26,43.21,77.97,32.15,30.89,31.87,39.95,49.64,49,47.06,48.93
EBIT,112.1,62.37,-32.68,160.94,145,74.69,51.83,88.78,78.79,60.64,18.16
EBIT Margin,11.25%,6.86%,-3.76%,21.27%,19.57%,12.55%,9.47%,14.15%,13.40%,11.14%,3.71%
Effective Tax Rate,-,-,-,22.03%,11.01%,5.43%,28.70%,0.51%,39.74%,25.18%,43.58%
Advertising Expenses,-,0.9,1.5,1.5,1.8,1,0.9,0.6,0.6,0.4,0.2
