Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,567","4,145","2,804","1,695","3,104","4,290","4,015","2,250",-,-,-
Market Cap Growth,-6.18%,47.82%,65.44%,-45.38%,-27.66%,6.86%,78.47%,-,-,-,-
Enterprise Value,"4,197","4,372","3,092","2,080","3,479","4,782","4,619","2,923",-,-,-
Last Close Price,49.10,54.67,35.22,20.80,36.65,50.21,47.42,26.61,-,-,-
PE Ratio,14.31,17.64,16.40,23.87,24.25,38.31,26.24,18.00,-,-,-
Forward PE,11.35,17.89,16.10,16.94,17.70,31.87,25.58,20.95,-,-,-
PS Ratio,1.78,2.25,1.58,1.02,1.94,2.91,2.94,1.79,-,-,-
PB Ratio,11.25,17.34,20.62,27.79,1551.81,-70.33,-22.43,-6.54,-,-,-
P/FCF Ratio,10.26,17.95,16.50,16.62,20.15,24.52,22.56,13.89,-,-,-
P/OCF Ratio,9.49,15.35,13.88,11.94,16.78,20.73,20.07,11.90,-,-,-
PEG Ratio,-,1.93,2.68,-,1.28,1.90,1.80,2.65,-,-,-
EV/Sales Ratio,2.06,2.37,1.74,1.25,2.17,3.24,3.38,2.32,-,-,-
EV/EBITDA Ratio,8.89,11.54,10.17,11.01,12.74,19.21,16.21,12.54,-,-,-
EV/EBIT Ratio,10.62,12.86,11.58,13.42,14.62,22.24,17.63,13.79,-,-,-
EV/FCF Ratio,12.16,18.93,18.19,20.39,22.59,27.33,25.95,18.04,-,-,-
Debt / Equity Ratio,3.86,5.11,4.50,10.33,336.00,-17.03,-5.75,-2.89,0.01,0.03,-
Debt / EBITDA Ratio,2.58,3.21,1.99,3.26,2.43,4.12,3.56,4.27,0.04,0.07,-
Debt / FCF Ratio,3.53,5.29,3.60,6.18,4.36,5.94,5.79,6.15,0.05,0.10,-
Asset Turnover,1.19,1.15,1.64,1.55,1.30,1.11,1.19,1.02,0.86,-,-
Quick Ratio,1.62,1.21,1.00,0.83,0.71,1.49,1.23,0.92,1.01,0.88,-
Current Ratio,1.73,1.32,1.10,0.91,0.78,1.55,1.27,0.96,1.05,0.93,-
Return on Equity (ROE),90.81%,125.33%,173.60%,225.40%,-,-,-,78.86%,26.21%,-,-
Return on Assets (ROA),14.34%,13.30%,15.37%,9.01%,12.03%,10.12%,14.29%,10.79%,11.00%,-,-
Return on Capital (ROIC),20.56%,19.25%,23.19%,14.19%,18.01%,14.69%,21.79%,20.04%,23.81%,-,-
Return on Capital Employed (ROCE),21.60%,19.60%,35.20%,21.60%,34.40%,21.50%,29.60%,30.50%,33.40%,30.20%,-
Earnings Yield,7.40%,5.67%,6.10%,4.19%,4.12%,2.61%,3.81%,5.56%,-,-,-
FCF Yield,9.74%,5.57%,6.06%,6.02%,4.96%,4.08%,4.43%,7.20%,-,-,-
Buyback Yield / Dilution,3.41%,3.58%,1.34%,4.09%,0.12%,-0.71%,-0.24%,-0.24%,-,-,-
