Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Cash & Equivalents,489.78,788.42,368.41,422.41,986.61,250.82,44.39,73.04,-
Short-Term Investments,5.1,5.19,8.92,-,-,-,-,-,-
Trading Asset Securities,0.82,1.86,5.96,-,-,-,-,-,-
Cash & Short-Term Investments,495.71,795.47,383.28,422.41,986.61,250.82,44.39,73.04,-
Cash Growth,9.58%,107.54%,-9.26%,-57.19%,293.35%,465.05%,-39.23%,-,-
Accounts Receivable,43.52,48.23,40.49,46.65,-,-,-,-,-
Receivables,"1,350",876.59,"1,212","1,063",260.77,97.53,266.42,510.98,-
Prepaid Expenses,30.56,28.83,17.98,-,-,-,-,-,-
Restricted Cash,347.12,187.84,99.38,110.06,204.63,60.51,35.68,49.2,-
Total Current Assets,"2,224","1,889","1,712","1,596","1,452",408.87,346.49,633.22,-
"Property, Plant & Equipment",40.51,51.47,66.05,103.1,106.88,22.34,20.02,0.1,-
Long-Term Investments,156.1,97.52,41.25,41.25,40,-,-,-,-
Goodwill,67.06,67.06,67.06,67.06,67.06,-,-,-,-
Other Intangible Assets,46.98,40.43,42.66,43.03,33.41,6,2.2,1.4,-
Long-Term Accounts Receivable,-,-,-,-,55.52,11.66,8.32,2.53,-
Other Long-Term Assets,370.57,221.74,87.69,85.89,65.59,28.39,16.43,8.66,-
Total Assets,"2,905","2,367","2,017","1,936","1,820",477.26,393.46,645.91,-
Accounts Payable,11.78,12.38,12.61,18.72,6.56,13.78,6.56,2.92,-
Accrued Expenses,84.19,108.09,64.55,54.15,98.6,34.34,26.4,7.69,-
Short-Term Debt,-,-,-,-,-,-,-,53.17,-
Current Portion of Leases,3.86,15.4,-,-,-,-,-,-,-
Other Current Liabilities,-,-,-,-,-,-,6.8,8.03,-
Total Current Liabilities,99.83,135.87,77.16,72.87,105.16,48.11,39.76,71.81,-
Long-Term Debt,"1,911","1,489","1,182",986.39,695.43,62.63,214.72,448.05,-
Long-Term Leases,36.69,34.88,62.32,100.79,100.37,19.43,17.06,-,-
Other Long-Term Liabilities,113.68,73.5,60.47,103.57,112.42,46.83,21.07,22.79,-
Total Liabilities,"2,161","1,734","1,382","1,264","1,013",177,292.6,542.66,-
Common Stock,0.01,0.01,0.01,0.01,0.01,0.01,0,0,-
Additional Paid-In Capital,"1,120","1,044",917.87,714.87,740.85,369.47,12.49,8.41,-
Retained Earnings,-376.19,-411.16,-282.58,-42.44,66.22,-69.22,-75.21,-75.08,-
Total Common Equity,743.72,633.22,635.31,672.44,807.08,300.25,-62.71,-66.67,-
Minority Interest,-,-,-,-,-,-,1.03,12,-
Shareholders' Equity,743.72,633.22,635.31,672.44,807.08,300.25,100.86,103.25,-
Total Liabilities & Equity,"2,905","2,367","2,017","1,936","1,820",477.26,393.46,645.91,-
Total Debt,"1,951","1,540","1,244","1,087",795.8,82.06,231.78,501.23,-
Net Cash (Debt),"-1,456",-744.3,-860.88,-664.77,190.81,168.76,-187.39,-428.19,-
Net Cash Growth,-,-,-,-,13.06%,-,-,-,-
Net Cash Per Share,-14.20,-8.32,-10.28,-8.03,2.01,9.64,-13.07,-30.31,-
Filing Date Shares Outstanding,97.29,93.71,86.43,81.39,84.06,73.62,14.56,14.13,13.87
Total Common Shares Outstanding,97.28,93.47,86.33,81.26,83.66,73.31,14.56,14.13,13.87
Working Capital,"2,124","1,753","1,635","1,523","1,347",360.75,306.73,561.41,-
Book Value Per Share,7.65,6.77,7.36,8.28,9.65,4.10,-4.31,-4.72,-
Tangible Book Value,629.68,525.73,525.59,562.34,706.61,294.25,-64.91,-68.07,-
Tangible Book Value Per Share,6.47,5.62,6.09,6.92,8.45,4.01,-4.46,-4.82,-
Machinery,10.91,10.86,10.82,10.47,7,3.06,2.31,0.24,-
Leasehold Improvements,15.24,15.07,14.28,13.07,7.45,2.76,1.97,0.02,-
