Period Ending,"Oct '25Oct 4, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Jan '22Jan 1, 2022","Jan '21Jan 2, 2021","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018","Dec '17Dec 30, 2017","Dec '16Dec 31, 2016","Jan '16Jan 2, 2016"
Revenue,742.81,584.39,782.26,"1,024",720.86,510.93,473.79,868.27,768.87,697.63,644.83
Revenue Growth (YoY),47.10%,-25.30%,-23.62%,42.07%,41.09%,7.84%,-45.43%,12.93%,10.21%,8.19%,3.89%
Cost of Revenue,327.68,272.2,321.67,381.55,295.47,216.08,193.57,346.87,314.68,276.12,261.46
Gross Profit,415.13,312.19,460.59,642.56,425.39,294.85,280.21,521.4,454.19,421.5,383.37
"Selling, General & Admin",164.88,145.45,147,190.97,185.02,166.75,163.17,197.84,159.73,155.48,158.79
Research & Development,346.16,332.23,337.74,332.33,273.21,235.19,205.69,238.35,209.49,199.74,188.05
Operating Expenses,511.04,477.68,484.74,523.3,458.23,401.93,368.86,436.19,369.22,355.23,346.84
Operating Income,-95.92,-165.49,-24.15,119.26,-32.84,-107.09,-88.64,85.21,84.97,66.28,36.53
Interest Expense,-1.02,-1.31,-5.55,-6.72,-31.03,-34.14,-20.23,-19.69,-14.13,-2.59,-2.83
Interest & Investment Income,13.65,11.99,19.17,13.92,5.7,8.52,12.65,6.7,6.06,0.9,-
Earnings From Equity Investments,-,-,-16.03,3.4,13.73,2.12,0.32,-,-,-,-
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-0.09,0.94
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-0.08
EBT Excluding Unusual Items,-83.29,-154.81,-26.57,129.85,-44.45,-130.6,-95.91,72.21,76.9,64.5,34.56
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-4.3
Gain (Loss) on Sale of Investments,-,-,-,-,-,0.51,0.22,-0.05,-,-,-
Pretax Income,-83.29,-154.81,-26.57,129.85,-44.45,-130.09,-95.69,72.16,76.9,64.5,30.26
Income Tax Expense,2.76,36.2,7.94,38.45,13.43,-14.6,6.98,-11.43,29.81,3,0.68
Earnings From Continuing Operations,-86.05,-191.01,-34.52,91.4,-57.87,-115.49,-102.68,83.59,47.09,61.49,29.59
Earnings From Discontinued Operations,-,-,-,-,"2,175",128.02,121.94,-,-,-,-
Net Income,-86.05,-191.01,-34.52,91.4,"2,117",12.53,19.27,83.59,47.09,61.49,29.59
Net Income to Common,-86.05,-191.01,-34.52,91.4,"2,117",12.53,19.27,83.59,47.09,61.49,29.59
Net Income Growth,-,-,-,-95.68%,16797.29%,-34.96%,-76.95%,77.51%,-23.42%,107.85%,-22.18%
Shares Outstanding (Basic),33,32,32,35,43,44,43,43,42,42,42
Shares Outstanding (Diluted),33,32,32,36,44,44,43,44,43,42,43
Shares Change (YoY),1.71%,1.22%,-11.76%,-18.67%,1.23%,0.99%,-1.58%,1.64%,2.26%,-1.32%,-1.94%
EPS (Basic),-2.64,-5.93,-1.09,2.61,49.44,0.29,0.44,1.94,1.11,1.47,0.70
EPS (Diluted),-2.64,-5.93,-1.09,2.54,49.44,0.28,0.44,1.90,1.09,1.45,0.69
EPS Growth,-,-,-,-94.86%,17282.52%,-35.83%,-76.68%,74.31%,-24.83%,110.15%,-20.69%
Free Cash Flow,73.58,-25.66,-52.63,45.28,-129.02,117.63,151.22,149.08,177.27,117.98,94.18
Free Cash Flow Per Share,2.26,-0.80,-1.66,1.26,-2.91,2.69,3.49,3.38,4.09,2.78,2.19
Gross Margin,55.89%,53.42%,58.88%,62.74%,59.01%,57.71%,59.14%,60.05%,59.07%,60.42%,59.45%
Operating Margin,-12.91%,-28.32%,-3.09%,11.64%,-4.55%,-20.96%,-18.71%,9.81%,11.05%,9.50%,5.67%
Profit Margin,-11.58%,-32.69%,-4.41%,8.92%,293.73%,2.45%,4.07%,9.63%,6.13%,8.82%,4.59%
Free Cash Flow Margin,9.91%,-4.39%,-6.73%,4.42%,-17.90%,23.02%,31.92%,17.17%,23.06%,16.91%,14.61%
EBITDA,-54.39,-116.91,26.93,175.86,29.72,-48.25,-35.72,145.22,126.99,107.21,78.18
EBITDA Margin,-7.32%,-20.00%,3.44%,17.17%,4.12%,-9.44%,-7.54%,16.73%,16.52%,15.37%,12.13%
D&A For EBITDA,41.53,48.59,51.08,56.6,62.56,58.84,52.93,60.01,42.01,40.93,41.65
EBIT,-95.92,-165.49,-24.15,119.26,-32.84,-107.09,-88.64,85.21,84.97,66.28,36.53
EBIT Margin,-12.91%,-28.32%,-3.09%,11.64%,-4.55%,-20.96%,-18.71%,9.81%,11.05%,9.50%,5.67%
Effective Tax Rate,-,-,-,29.61%,-,-,-,-,38.76%,4.66%,2.24%
Advertising Expenses,-,-,-,-,-,-,-,-,1.4,1.6,1.8
