Period Ending,"Oct '25Oct 4, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Jan '22Jan 1, 2022","Jan '21Jan 2, 2021","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018","Dec '17Dec 30, 2017","Dec '16Dec 31, 2016","Jan '16Jan 2, 2016"
Cash & Equivalents,341.4,281.61,227.5,499.92,"1,075",202.72,227.15,197.04,269.37,141.11,114.09
Short-Term Investments,97.62,100.55,211.72,692.02,964.58,521.96,498.83,416.78,494.66,153.96,128.9
Cash & Short-Term Investments,439.03,382.16,439.22,"1,192","2,039",724.68,725.97,613.82,764.02,295.07,242.99
Cash Growth,18.76%,-12.99%,-63.15%,-41.55%,181.39%,-0.18%,18.27%,-19.66%,158.93%,21.43%,-27.51%
Accounts Receivable,67.31,54.48,29.3,71.44,98.31,95.17,75.64,73.19,71.37,74.4,73.6
Other Receivables,-,5.2,-,-,-,-,-,-,-,-,-
Receivables,67.31,59.68,29.3,71.44,98.31,95.17,75.64,73.19,71.37,74.4,73.6
Inventory,82.19,105.64,194.3,100.42,49.31,47.86,73.06,74.97,73.13,59.58,53.9
Prepaid Expenses,64.04,54.55,75.12,97.57,51.75,-,-,64.65,39.12,-,-
Other Current Assets,-,-,-,-,-,108.11,69.19,-,-,61.81,52.66
Total Current Assets,652.56,602.03,737.93,"1,461","2,239",975.82,943.86,826.64,947.64,490.85,423.14
"Property, Plant & Equipment",128.32,153.67,172.63,176.73,174.41,163.2,152.03,139.05,127.68,129.56,131.13
Long-Term Investments,-,-,-,27.48,29.06,15.4,5.65,5.76,-,1.81,7.22
Goodwill,376.39,376.39,376.39,376.39,376.39,376.39,398.4,397.34,288.23,276.13,272.72
Other Intangible Assets,25.43,36.5,59.53,84.91,118.98,163.48,134.28,170.83,83.14,103.57,121.35
Other Long-Term Assets,70.37,54.08,96.57,42.56,20.89,299.2,40.64,84.73,88.39,79.93,55.9
Total Assets,"1,253","1,223","1,443","2,169","2,958","1,993","1,675","1,624","1,535","1,082","1,011"
Accounts Payable,55.65,42.45,57.5,89.86,47.33,54.95,38.9,41.17,38.85,39.58,42.13
Accrued Expenses,-,18.6,16.89,43.74,42.01,46.63,41.14,37.11,33.63,28.78,52.13
Short-Term Debt,-,-,45,-,-,-,-,-,-,-,-
Current Portion of Long-Term Debt,-,-,-,-,450.6,134.48,-,-,-,-,10
Current Portion of Leases,-,5.88,7.19,6.28,6.65,-,-,-,-,-,-
Current Income Taxes Payable,-,8.68,6.13,11.47,73.77,5.8,-,-,-,-,2.62
Current Unearned Revenue,8.45,3.07,2.12,6.78,13.85,12.99,19.25,22.49,50.12,45.57,35.45
Other Current Liabilities,81.22,19.2,28.75,27.65,34.62,29.65,38.41,44.07,39.73,25.77,-
Total Current Liabilities,145.31,97.88,163.57,185.78,668.83,284.5,137.7,144.85,162.33,139.7,142.32
Long-Term Debt,-,-,-,529.57,-,428.95,368.26,354.77,341.88,72.5,67.5
Long-Term Leases,-,15.55,19.83,18.01,22.52,29.02,17.89,-,-,-,-
Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,-,13.12,13.74
Other Long-Term Liabilities,37.04,29.22,50.97,31.06,54.53,51.19,35.95,57.45,77.86,29.57,26.79
Total Liabilities,182.35,142.65,234.37,764.42,745.87,793.65,559.8,557.06,582.07,254.89,250.35
Common Stock,0,0,0,0,0,0,0,0,0,0,0
Additional Paid-In Capital,130.98,78.23,16.97,-,-,204.36,133.79,107.52,102.86,24.46,13.87
Retained Earnings,939.5,"1,002","1,193","1,416","2,215",993.66,980.61,961.34,851.31,802,747.75
Comprehensive Income & Other,0.23,0.07,-1.03,-10.69,-2.42,1.81,0.65,-1.57,-1.16,0.49,-0.51
Shareholders' Equity,"1,071","1,080","1,209","1,405","2,212","1,200","1,115","1,067",953.02,826.96,761.11
Total Liabilities & Equity,"1,253","1,223","1,443","2,169","2,958","1,993","1,675","1,624","1,535","1,082","1,011"
Total Debt,-,21.43,72.02,553.86,479.77,592.44,386.15,354.77,341.88,72.5,77.5
Net Cash (Debt),439.03,360.73,367.21,638.08,"1,559",132.24,339.82,259.05,422.14,222.57,165.49
Net Cash Growth,18.76%,-1.76%,-42.45%,-59.08%,1079.24%,-61.09%,31.18%,-38.63%,89.67%,34.49%,-33.19%
Net Cash Per Share,13.47,11.21,11.55,17.70,35.19,3.02,7.84,5.88,9.74,5.25,3.85
Filing Date Shares Outstanding,32.85,32.46,31.9,31.9,38.2,43.93,43.5,43.09,42.71,41.89,41.55
Total Common Shares Outstanding,32.85,32.46,31.9,31.99,38.48,43.93,43.5,43.09,42.71,41.89,41.73
Working Capital,507.25,504.15,574.36,"1,276","1,570",691.32,806.16,681.79,785.32,351.16,280.82
Book Value Per Share,32.59,33.27,37.89,43.91,57.49,27.32,25.64,24.77,22.32,19.74,18.24
Tangible Book Value,668.9,667.13,772.76,943.71,"1,717",659.97,582.37,499.11,581.65,447.26,367.04
Tangible Book Value Per Share,20.36,20.55,24.23,29.50,44.62,15.02,13.39,11.58,13.62,10.68,8.80
Buildings,-,131.1,130.48,125.47,122.16,118.33,112.67,109.03,96.2,94.98,94.61
Machinery,-,134.59,130.03,127.28,108.19,94.17,120.01,113.18,103.13,98.65,89.51
Leasehold Improvements,-,15.03,14.97,14.21,13.43,8.68,8.78,12.01,10.48,10.08,9.2
