Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Jan '22Jan 1, 2022","Jan '21Jan 2, 2021","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018","Dec '17Dec 30, 2017","Dec '16Dec 31, 2016","Jan '16Jan 2, 2016"
Market Capitalization,"3,848","4,146","4,203","4,515","8,295","5,581","5,054","3,387","3,759","2,714","2,018"
Market Cap Growth,14.74%,-1.36%,-6.91%,-45.57%,48.64%,10.43%,49.21%,-9.88%,38.50%,34.48%,0.22%
Enterprise Value,"3,405","3,777","3,831","3,668","6,014","5,421","4,742","3,137","3,378","2,507","1,850"
Last Close Price,117.42,127.78,132.27,135.67,206.42,127.34,116.52,78.50,88.30,65.00,48.54
PE Ratio,-,-,-,49.40,3.92,445.37,262.33,40.52,79.81,44.13,68.21
Forward PE,47.33,280.46,-,37.80,95.62,40.33,34.83,20.90,25.84,24.83,23.30
PS Ratio,5.15,7.10,5.37,4.41,11.51,10.92,10.67,3.90,4.89,3.89,3.13
PB Ratio,3.60,3.84,3.48,3.21,3.75,4.65,4.53,3.17,3.94,3.28,2.65
P/TBV Ratio,5.75,6.22,5.44,4.79,4.83,8.46,8.68,6.79,6.46,6.07,5.50
P/FCF Ratio,52.24,-,-,99.72,-,47.45,33.42,22.72,21.20,23.00,21.43
P/OCF Ratio,39.43,-,-,62.88,-,41.12,30.35,19.52,19.83,21.05,19.14
PEG Ratio,-,-,-,0.65,7.36,2.52,2.18,1.39,1.72,1.99,2.33
EV/Sales Ratio,4.58,6.46,4.90,3.58,8.34,10.61,10.01,3.61,4.39,3.59,2.87
EV/EBITDA Ratio,-,-,142.29,20.86,202.37,-,-,21.60,26.60,23.38,23.66
EV/EBIT Ratio,-,-,-,30.76,-,-,-,36.81,39.76,37.83,50.64
EV/FCF Ratio,46.27,-,-,81.01,-,46.08,31.36,21.04,19.06,21.25,19.64
Debt / Equity Ratio,-,0.02,0.06,0.39,0.22,0.49,0.35,0.33,0.36,0.09,0.10
Debt / EBITDA Ratio,-,-,2.07,3.02,12.93,-,-,2.44,2.69,0.68,0.99
Debt / FCF Ratio,-,-,-,12.23,-,5.04,2.55,2.38,1.93,0.61,0.82
Asset Turnover,0.59,0.44,0.43,0.40,0.29,0.28,0.29,0.55,0.59,0.67,0.63
Inventory Turnover,2.96,1.82,2.18,5.10,6.08,3.57,2.62,4.68,4.74,4.87,4.91
Quick Ratio,3.49,4.51,2.86,6.80,3.20,2.88,5.82,4.74,5.15,2.65,2.22
Current Ratio,4.49,6.15,4.51,7.87,3.35,3.43,6.85,5.71,5.84,3.51,2.97
Return on Equity (ROE),-8.00%,-16.69%,-2.64%,5.05%,-3.39%,-9.98%,-9.41%,8.28%,5.29%,7.74%,3.90%
Return on Assets (ROA),-4.79%,-7.76%,-0.84%,2.91%,-0.83%,-3.65%,-3.36%,3.37%,4.06%,3.96%,2.22%
Return on Capital (ROIC),-5.57%,-8.68%,-0.93%,3.21%,-0.92%,-4.06%,-3.79%,3.92%,4.84%,4.77%,2.71%
Return on Capital Employed (ROCE),-8.70%,-14.70%,-1.90%,6.00%,-1.40%,-6.30%,-5.80%,5.80%,6.20%,7.00%,4.20%
Earnings Yield,-2.24%,-4.61%,-0.82%,2.02%,25.52%,0.22%,0.38%,2.47%,1.25%,2.27%,1.47%
FCF Yield,1.91%,-0.62%,-1.25%,1.00%,-1.55%,2.11%,2.99%,4.40%,4.72%,4.35%,4.67%
Buyback Yield / Dilution,-1.72%,-1.22%,11.76%,18.67%,-1.23%,-0.99%,1.58%,-1.64%,-2.26%,1.32%,1.94%
