Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,012","2,301","1,840","2,161","2,078","1,638","1,934","1,898","1,814","1,870","1,571"
Market Cap Growth,-8.83%,25.07%,-14.86%,3.98%,26.88%,-15.30%,1.91%,4.62%,-3.02%,19.09%,86.54%
Last Close Price,59.02,64.75,50.01,56.77,52.96,39.43,45.08,41.37,41.35,40.44,32.71
PE Ratio,10.75,13.62,10.02,11.06,10.34,14.13,13.22,13.90,29.84,21.91,34.73
PS Ratio,3.18,3.83,3.02,3.50,3.32,3.20,3.58,3.75,3.96,4.20,5.16
PB Ratio,1.06,1.30,1.11,1.48,1.23,0.98,1.21,1.28,1.43,1.43,1.21
P/FCF Ratio,6.25,8.23,7.59,9.68,7.14,14.55,15.48,247.06,5.42,-,378.91
P/OCF Ratio,6.06,7.85,7.15,9.08,6.89,13.06,12.93,61.66,5.23,-,96.85
Debt / Equity Ratio,0.19,0.36,0.45,0.38,0.36,0.38,0.48,0.53,0.16,0.20,0.26
Debt / FCF Ratio,1.11,2.28,3.07,2.46,2.08,5.63,6.13,101.30,0.60,-,81.11
Return on Equity (ROE),10.28%,9.86%,11.81%,12.42%,11.98%,7.11%,9.52%,9.92%,4.71%,6.55%,4.80%
Return on Assets (ROA),1.16%,1.06%,1.17%,1.20%,1.26%,0.84%,1.20%,1.26%,0.62%,0.87%,0.62%
Earnings Yield,9.47%,7.34%,9.98%,9.04%,9.68%,7.08%,7.56%,7.19%,3.35%,4.57%,2.88%
FCF Yield,16.00%,12.14%,13.18%,10.33%,14.01%,6.87%,6.46%,0.40%,18.44%,-4.92%,0.26%
Dividend Yield,3.39%,2.96%,3.84%,3.10%,3.10%,3.12%,3.64%,3.53%,2.42%,2.18%,2.20%
Payout Ratio,35.34%,39.51%,36.36%,31.26%,28.66%,81.15%,38.33%,43.42%,108.20%,33.12%,37.97%
Buyback Yield / Dilution,-0.56%,-0.52%,0.03%,1.31%,1.72%,-1.60%,-6.30%,0.28%,2.56%,-41.84%,-23.01%
Total Shareholder Return,2.82%,2.45%,3.87%,4.42%,4.81%,1.51%,-2.67%,3.81%,4.98%,-39.67%,-20.81%
