Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,672.86,501.86,254.46,243.06,"2,134","1,234",307.74,272.2,261.2,247.72,261.92
Investment Securities,"1,026",868.52,975.86,"1,456","1,557","1,051",390.19,473.77,374.79,413.65,388.47
Trading Asset Securities,10.61,14.84,15.4,48.18,49.36,69.45,41.38,28.95,26.98,31.9,45.32
Mortgage-Backed Securities,"2,157","2,238","2,457","2,751","2,903","1,693","1,397","1,397",804.97,660.66,970.77
Total Investments,"3,194","3,121","3,448","4,255","4,509","2,814","1,829","1,899","1,207","1,106","1,405"
Gross Loans,"11,722","11,374","10,827","10,161","9,103","9,913","9,331","8,712","7,620","7,457","7,320"
Allowance for Loan Losses,-159.71,-155.52,-149.64,-141.47,-132.1,-167.28,-100.56,-96.49,-89.03,-86,-78.01
Other Adjustments to Gross Loans,-19.2,-19,-16.7,-14.7,-18.3,-41.7,-25.44,-27.1,-21.1,-5.8,-5.5
Net Loans,"11,543","11,199","10,661","10,005","8,953","9,704","9,205","8,588","7,510","7,365","7,236"
"Property, Plant & Equipment",149.34,164.59,175.96,188.04,204.02,219.92,239.77,171.81,154.82,166.48,167.6
Goodwill,373.12,373.12,373.12,373.12,373.12,373.12,373.12,339.15,242.66,244.58,247.74
Other Intangible Assets,1.81,3.06,5.68,9.44,14.86,21.43,29.16,32.92,22.66,30.16,37.47
Loans Held for Sale,20.33,32.02,11.17,56.86,96.49,243.8,210.45,171.03,40.73,246.35,44.71
Accrued Interest Receivable,64.91,60.89,63.1,57.28,42.92,46.62,37.96,38.59,31.26,30.18,29.63
Long-Term Deferred Tax Assets,130.44,148.86,153.37,178.13,71.14,65.74,59.64,75.02,71.43,127.69,134.97
Other Real Estate Owned & Foreclosed,5.27,2.67,0.53,0.36,0.87,0.87,0.94,3.2,0.47,11.25,11.9
Other Long-Term Assets,394.04,570.48,499.92,455.09,393.23,292.14,283.09,247.93,211.08,205.4,203.25
Total Assets,"16,563","16,200","15,670","15,833","16,805","15,032","12,604","11,871","9,763","9,794","9,796"
Accrued Expenses,118.92,227.88,198.39,163.5,136.55,119.21,150.43,97.27,66.06,62.75,64.48
Interest Bearing Deposits,"8,910","8,435","7,764","7,265","7,757","6,871","5,915","5,642","4,765","4,820","5,250"
Institutional Deposits,533.79,487.52,473.12,178.32,184.52,203.6,189,176.96,152.94,160.93,185.38
Non-Interest Bearing Deposits,"4,572","4,592","4,792","6,177","6,385","5,493","3,945","3,658","3,266","3,140","2,620"
Total Deposits,"14,016","13,514","13,029","13,620","14,327","12,567","10,049","9,477","8,183","8,121","8,055"
Short-Term Borrowings,20.03,30.19,30.04,37.34,11.76,24.09,11.64,4.79,5.28,8.62,12.03
Current Portion of Long-Term Debt,220.54,415.26,505.88,282.8,314.49,284.79,418.47,659,95.86,154.69,200.93
Current Portion of Leases,-,14.12,-,-,-,-,-,-,-,-,-
Long-Term Debt,-,80.28,92.85,98.95,98.56,98.2,-,-,-,5,5
"Federal Home Loan Bank Debt, Long-Term",-,-,-,-,-,50,150,0.19,0.2,0.22,25.78
Long-Term Leases,38.83,29.36,48.66,55.21,59.76,59.34,65.82,-,-,-,-
Trust Preferred Securities,76.25,67.48,66.41,74.86,119.82,116.97,119.3,114.09,98.71,95.2,92.48
Pension & Post-Retirement Benefits,-,34.8,36.1,37.1,39.4,40.1,41.8,37.5,38.6,38.3,39
Other Long-Term Liabilities,159.7,11.96,9.88,7.19,7.28,5.36,3.89,2.84,2.44,1.77,1.47
Total Liabilities,"14,650","14,426","14,018","14,377","15,115","13,365","11,010","10,393","8,491","8,488","8,496"
Common Stock,"1,296","1,308","1,300","1,294","1,299","1,350","1,374","1,337","1,187","1,214","1,261"
Retained Earnings,837.83,744.09,642.18,525.24,390.76,247.32,186.84,134.06,90.54,95.33,39.62
Comprehensive Income & Other,-220.76,-277.27,-289.14,-362.77,0.18,69.07,33.26,7.1,-5.04,-3.46,-0.73
Shareholders' Equity,"1,913","1,774","1,653","1,456","1,690","1,666","1,594","1,479","1,273","1,306","1,300"
Total Liabilities & Equity,"16,563","16,200","15,670","15,833","16,805","15,032","12,604","11,871","9,763","9,794","9,796"
Total Debt,355.64,636.68,743.84,549.14,604.38,633.39,765.24,778.07,200.05,263.72,336.22
Net Cash (Debt),327.83,-119.98,-473.97,42.09,"1,879",670.24,-416.12,-476.92,88.13,15.9,-28.98
Net Cash Growth,-,-,-,-97.76%,180.39%,-,-,-,454.35%,-,-
Net Cash Per Share,9.44,-3.46,-13.76,1.22,53.82,18.86,-11.90,-14.50,2.67,0.47,-1.21
Filing Date Shares Outstanding,34.09,34.46,34.35,34.19,34.25,35.16,35.75,35.18,32.73,33.19,34.24
Total Common Shares Outstanding,34.34,34.46,34.35,34.19,34.25,35.16,35.75,35.18,32.73,33.19,34.24
Book Value Per Share,55.71,51.49,48.12,42.59,49.35,47.39,44.59,42.03,38.89,39.34,37.97
Tangible Book Value,"1,538","1,398","1,274","1,074","1,302","1,272","1,192","1,107","1,007","1,031","1,015"
Tangible Book Value Per Share,44.79,40.57,37.09,31.41,38.02,36.17,33.33,31.45,30.78,31.06,29.64
