Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Operating Revenue,538.11,507.89,440.35,442.41,525.07,422.4,408.88,372.66,371.56
Other Revenue,4.97,3.85,3.57,3.18,5.11,6.78,6.68,5.84,5.44
Revenue,543.09,511.74,443.92,445.59,530.18,429.17,415.57,378.5,377.01
Revenue Growth (YoY),17.40%,15.28%,-0.38%,-15.95%,23.54%,3.27%,9.79%,0.40%,-
Cost of Revenue,318.51,336.24,356.04,277.31,333.84,388.47,242.97,210.41,217.57
Gross Profit,224.57,175.5,87.87,168.28,196.34,40.71,172.6,168.08,159.43
"Selling, General & Admin",104.86,104.3,100.8,88.91,88.35,84.63,88.46,92.96,86.91
Other Operating Expenses,-2.65,-2.28,-1.08,-0.94,-1.41,-0.81,-0.83,-,-
Operating Expenses,102.21,102.02,99.72,87.97,86.94,83.82,87.63,92.96,86.91
Operating Income,122.36,73.48,-11.85,80.31,109.4,-43.12,84.97,75.13,72.52
Interest Expense,-23.33,-24.16,-23.75,-23.31,-20.08,-23.45,-25.68,-26.47,-23.42
Interest & Investment Income,23.72,18.28,13.66,10.9,52.5,10.74,7.52,16.96,16.99
Other Non Operating Income (Expenses),4.58,-17.24,0.42,21.2,11.92,-21.36,-4.49,-0.54,8.25
EBT Excluding Unusual Items,127.33,50.36,-21.51,89.09,153.74,-77.18,62.32,65.08,74.35
Other Unusual Items,-,-0.2,-,-,-0.68,-1.51,-,-,-
Pretax Income,127.33,50.16,-21.51,89.09,153.06,-78.7,62.32,65.08,74.35
Income Tax Expense,13.03,13.56,7.69,9.61,10.99,4.51,2.32,1.4,1.33
Earnings From Continuing Operations,114.3,36.6,-29.21,79.48,142.07,-83.2,60,63.69,73.02
Minority Interest in Earnings,-80.29,-17.91,41.98,-59.66,-120.59,87.25,-60,-63.69,-19.98
Net Income,34.01,18.7,12.77,19.82,21.48,4.05,-,-,53.04
Net Income to Common,34.01,18.7,12.77,19.82,21.48,4.05,-,-,53.04
Net Income Growth,137.20%,46.35%,-35.55%,-7.74%,430.55%,-,-,-,-
Shares Outstanding (Basic),49,45,43,44,44,40,101,-,-
Shares Outstanding (Diluted),196,191,187,189,189,184,101,-,-
Shares Change (YoY),4.08%,1.68%,-0.60%,-0.26%,2.63%,82.47%,-,-,-
EPS (Basic),0.70,0.42,0.30,0.45,0.49,0.10,-,-,-
EPS (Diluted),0.32,0.03,-0.28,0.28,0.28,-0.58,-,-,-
EPS Growth,-,-,-,-0.11%,-,-,-,-,-
Free Cash Flow,188.1,132.05,88.3,215.73,178.23,66.86,92.2,116.16,125.41
Free Cash Flow Per Share,0.96,0.69,0.47,1.14,0.94,0.36,0.91,-,-
Dividend Per Share,0.450,0.440,0.440,0.420,0.370,0.060,-,-,-
Dividend Growth,2.27%,-,4.76%,13.51%,516.67%,-,-,-,-
Gross Margin,41.35%,34.29%,19.79%,37.77%,37.03%,9.49%,41.53%,44.41%,42.29%
Operating Margin,22.53%,14.36%,-2.67%,18.02%,20.64%,-10.05%,20.45%,19.85%,19.24%
Profit Margin,6.26%,3.65%,2.88%,4.45%,4.05%,0.94%,-,-,14.07%
Free Cash Flow Margin,34.64%,25.80%,19.89%,48.41%,33.62%,15.58%,22.19%,30.69%,33.26%
EBITDA,126.67,76.8,-9.15,84.17,113.42,-33.3,95.31,86.79,84.38
EBITDA Margin,23.33%,15.01%,-2.06%,18.89%,21.39%,-7.76%,22.93%,22.93%,22.38%
D&A For EBITDA,4.32,3.32,2.7,3.86,4.02,9.82,10.34,11.66,11.86
EBIT,122.36,73.48,-11.85,80.31,109.4,-43.12,84.97,75.13,72.52
EBIT Margin,22.53%,14.36%,-2.67%,18.02%,20.64%,-10.05%,20.45%,19.85%,19.24%
Effective Tax Rate,10.23%,27.03%,-,10.79%,7.18%,-,3.72%,2.14%,1.78%
Revenue as Reported,545.73,514.01,445,446.53,531.59,429.98,416.39,378.5,377.01
