Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021"
Cash & Equivalents,421.06,182.13,35.58,64.56,47.25
Trading Asset Securities,0.32,1.13,23.35,23.88,-
Cash & Short-Term Investments,421.37,183.26,58.93,88.44,47.25
Cash Growth,226.43%,210.98%,-33.37%,87.18%,-
Accounts Receivable,145.68,145.24,126.09,107.08,92.23
Other Receivables,-,2.84,6.81,4.35,10.78
Receivables,145.68,148.07,132.9,111.43,103.01
Prepaid Expenses,20.56,14.41,13.3,8.5,8.53
Restricted Cash,24.3,22.45,9.85,8.08,7.25
Other Current Assets,1.68,2.85,7.08,1.45,0.85
Total Current Assets,613.58,371.04,222.05,217.9,166.89
"Property, Plant & Equipment",40.45,42.19,57.99,59.05,52.75
Long-Term Investments,-,0.02,-,15.65,6.65
Goodwill,"3,020","3,020","3,030","3,010","3,010"
Other Intangible Assets,973.71,"1,054","1,201","1,335","1,500"
Long-Term Deferred Charges,90.13,82.92,66.11,51.92,34.24
Other Long-Term Assets,8.48,6.43,6.25,5.25,6.48
Total Assets,"4,746","4,577","4,583","4,694","4,777"
Accounts Payable,51.4,47.37,45.48,28.1,34.83
Accrued Expenses,41.81,39.49,30.7,31.57,27.52
Current Portion of Long-Term Debt,11.67,11.67,17.98,17.98,25.31
Current Portion of Leases,6.66,6.5,5.22,4.77,0.71
Current Income Taxes Payable,13.25,8.03,3.51,2.34,3.27
Current Unearned Revenue,9.02,10.53,10.94,9.9,11.7
Other Current Liabilities,23.85,22.06,9.66,7.56,6.93
Total Current Liabilities,157.65,145.63,123.49,102.21,110.26
Long-Term Debt,"1,215","1,221","2,202","2,208","2,263"
Long-Term Leases,22.4,24.42,26.47,30.72,13.77
Long-Term Unearned Revenue,5.39,5.74,6.17,6.55,6.07
Long-Term Deferred Tax Liabilities,123.03,100.52,174.48,240.76,258.05
Other Long-Term Liabilities,0.28,0.28,0.28,0.01,4.82
Total Liabilities,"1,524","1,497","2,533","2,588","2,656"
Common Stock,1.75,1.72,1.22,2.01,2.01
Additional Paid-In Capital,"3,350","3,298","2,235","2,225","2,219"
Retained Earnings,-128.8,-220.9,-201.78,-150.44,-98.99
Comprehensive Income & Other,-0.54,0.88,15.8,29.84,-0.49
Shareholders' Equity,"3,223","3,080","2,050","2,106","2,121"
Total Liabilities & Equity,"4,746","4,577","4,583","4,694","4,777"
Total Debt,"1,256","1,263","2,252","2,261","2,302"
Net Cash (Debt),-834.37,"-1,080","-2,193","-2,173","-2,255"
Net Cash Per Share,-4.66,-7.20,-18.02,-17.86,-18.57
Filing Date Shares Outstanding,191.32,172.15,121.68,122.11,121.42
Total Common Shares Outstanding,174.67,172.11,121.68,122.11,121.42
Working Capital,455.93,225.41,98.56,115.69,56.63
Book Value Per Share,18.45,17.89,16.85,17.25,17.47
Tangible Book Value,-771.12,-994.62,"-2,181","-2,238","-2,389"
Tangible Book Value Per Share,-4.41,-5.78,-17.92,-18.33,-19.67
Buildings,-,-,19.65,19.65,19.65
Machinery,47.08,43.72,38.2,33.08,30.57
Construction In Progress,-,-,0.02,0.02,0.02
Leasehold Improvements,4.24,3.78,8.26,7.83,13.29
