Period Ending,"Nov '25Nov 6, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021"
Market Capitalization,"6,891","6,316",-,-,-
Enterprise Value,"7,865","7,454",-,-,-
Last Close Price,36.75,36.70,-,-,-
Forward PE,22.36,48.28,-,-,-
PS Ratio,6.12,6.69,-,-,-
PB Ratio,1.99,2.05,-,-,-
P/FCF Ratio,24.71,44.33,-,-,-
P/OCF Ratio,22.84,37.21,-,-,-
PEG Ratio,0.45,0.70,-,-,-
EV/Sales Ratio,7.56,7.90,-,-,-
EV/EBITDA Ratio,21.35,24.84,-,-,-
EV/EBIT Ratio,30.10,52.64,-,-,-
EV/FCF Ratio,27.64,52.31,-,-,-
Debt / Equity Ratio,0.39,0.41,1.10,1.07,1.09
Debt / EBITDA Ratio,3.35,4.13,7.09,7.96,9.84
Debt / FCF Ratio,4.41,8.87,75.20,26.54,25.06
Asset Turnover,0.22,0.21,0.17,0.15,-
Quick Ratio,3.60,2.28,1.55,1.96,1.36
Current Ratio,3.89,2.55,1.80,2.13,1.51
Return on Equity (ROE),3.54%,-0.75%,-2.47%,-2.43%,-
Return on Assets (ROA),3.52%,1.93%,1.93%,1.32%,-
Return on Capital (ROIC),3.71%,2.05%,2.06%,1.43%,-
Return on Capital Employed (ROCE),5.70%,3.20%,3.20%,2.20%,1.30%
Earnings Yield,1.58%,-0.30%,-,-,-
FCF Yield,4.05%,2.26%,-,-,-
Buyback Yield / Dilution,-30.48%,-23.21%,0.01%,-0.22%,-
