Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Market Capitalization,"7,016","5,562","4,609","1,681",919,-,-
Market Cap Growth,10.21%,20.68%,174.21%,82.83%,-,-,-
Enterprise Value,"6,073","4,394","4,196","1,441",617,-,-
Last Close Price,96.50,78.28,73.59,29.78,19.04,-,-
PB Ratio,8.25,5.20,6.58,3.63,3.23,-,-
P/TBV Ratio,8.30,5.20,6.58,3.63,3.23,-,-
Debt / Equity Ratio,-,-,-,-,-,0.55,-0.68
Quick Ratio,10.58,20.70,22.62,24.24,32.79,2.36,0.69
Current Ratio,10.73,20.96,22.83,24.54,33.08,2.43,0.76
Return on Equity (ROE),-38.79%,-29.46%,-21.70%,-21.89%,-32.06%,-3537.30%,-
Return on Assets (ROA),-22.96%,-18.70%,-15.38%,-13.87%,-18.81%,-151.35%,-
Return on Capital (ROIC),-25.32%,-19.80%,-16.06%,-14.39%,-19.66%,-403.96%,-
Earnings Yield,-5.44%,-4.69%,-2.74%,-4.87%,-5.04%,-,-
Buyback Yield / Dilution,-11.73%,-14.06%,-17.22%,-128.01%,-659.75%,-57.23%,-
