Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"4,062","3,278","3,042","3,212","3,244","2,949","3,616","2,991","2,901","2,748","2,613"
Market Cap Growth,23.92%,7.76%,-5.31%,-0.97%,9.98%,-18.42%,20.88%,3.10%,5.56%,5.18%,18.00%
Enterprise Value,"7,301","6,250","5,691","5,769","5,714","5,253","5,811","5,023","4,982","4,787","4,632"
PE Ratio,18.58,14.63,15.67,17.55,17.36,19.00,17.89,15.19,17.83,16.74,17.28
PS Ratio,2.55,2.17,2.14,2.17,2.36,2.46,2.87,2.51,2.22,2.19,2.15
PB Ratio,1.39,1.15,1.09,1.21,1.39,1.42,1.77,1.54,1.61,1.64,1.63
P/FCF Ratio,-,-,-,-,-,-,-,30.52,62.66,-,46.57
P/OCF Ratio,9.98,8.06,6.22,10.46,14.75,8.38,12.19,7.83,8.99,9.58,7.69
EV/Sales Ratio,4.65,4.13,4.00,3.90,4.16,4.38,4.62,4.21,3.82,3.81,3.81
EV/EBITDA Ratio,12.13,11.28,11.22,12.37,12.50,12.62,13.14,11.39,11.65,11.55,11.89
EV/EBIT Ratio,20.44,19.14,19.17,21.25,21.20,22.21,21.58,18.85,19.04,18.77,18.90
EV/FCF Ratio,-,-,-,-,-,-,-,51.25,107.60,-,82.54
Debt / Equity Ratio,1.15,1.09,1.00,0.99,1.09,1.17,1.11,1.09,1.19,1.26,1.27
Debt / EBITDA Ratio,5.49,5.60,5.51,5.64,5.59,5.85,5.10,4.82,5.00,5.12,5.20
Debt / FCF Ratio,-,-,-,-,-,-,-,21.68,46.16,-,36.11
Quick Ratio,0.24,0.24,0.41,0.41,0.53,0.37,0.52,0.49,0.30,0.27,0.29
Current Ratio,0.65,0.52,0.76,0.87,1.15,0.66,0.90,0.80,0.47,0.46,0.50
Asset Turnover,0.19,0.19,0.19,0.21,0.21,0.19,0.22,0.22,0.24,0.23,0.24
Return on Equity (ROE),7.62%,7.94%,7.12%,7.31%,8.46%,7.54%,10.15%,10.53%,9.36%,10.02%,9.83%
Return on Assets (ROA),2.76%,2.62%,2.49%,2.41%,2.56%,2.37%,2.87%,3.01%,3.00%,2.96%,2.99%
Return on Capital (ROIC),3.73%,3.54%,3.41%,3.33%,3.58%,3.36%,4.03%,4.16%,4.23%,4.29%,4.34%
Return on Capital Employed (ROCE),4.70%,4.50%,4.20%,4.10%,4.20%,4.00%,4.70%,5.00%,5.50%,5.20%,5.20%
Earnings Yield,5.42%,6.84%,6.38%,5.70%,5.76%,5.26%,5.59%,6.59%,5.61%,5.97%,5.79%
FCF Yield,-3.05%,-4.35%,-2.55%,-6.47%,-6.61%,-1.82%,-0.53%,3.28%,1.60%,-0.04%,2.15%
Dividend Yield,4.03%,5.04%,5.49%,4.85%,5.18%,5.12%,4.16%,4.96%,4.90%,5.07%,5.28%
Payout Ratio,74.81%,70.76%,79.35%,76.53%,68.77%,77.54%,56.96%,55.44%,62.24%,58.33%,59.56%
Buyback Yield / Dilution,-0.22%,-1.68%,-7.22%,-8.52%,-2.30%,0.09%,-1.02%,-3.25%,-0.37%,-1.63%,-18.18%
Total Shareholder Return,3.84%,3.36%,-1.74%,-3.67%,2.88%,5.21%,3.14%,1.71%,4.53%,3.45%,-12.89%
