Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Market Capitalization,"2,797","1,762","1,119",-,-,-,-
Market Cap Growth,387.49%,57.51%,-,-,-,-,-
Enterprise Value,"1,833","1,490",728,-,-,-,-
Last Close Price,18.32,13.82,8.91,-,-,-,-
Forward PE,27.70,146.15,-,-,-,-,-
PS Ratio,6.30,6.19,4.23,-,-,-,-
PB Ratio,2.01,3.27,2.05,-,-,-,-
P/TBV Ratio,2.25,3.37,2.12,-,-,-,-
P/OCF Ratio,-,202.50,138.51,-,-,-,-
EV/Sales Ratio,4.75,5.24,2.75,-,-,-,-
Debt / Equity Ratio,0.09,0.19,0.14,-0.02,-,-,-
Asset Turnover,0.33,0.36,0.40,0.31,0.27,0.33,-
Inventory Turnover,2.61,2.44,2.13,1.43,1.29,1.60,-
Quick Ratio,5.19,2.48,2.80,2.49,3.42,6.19,4.00
Current Ratio,5.76,2.88,3.29,3.28,3.92,7.25,4.32
Return on Equity (ROE),6.84%,-2.63%,-132.74%,-,-,-10.38%,-
Return on Assets (ROA),1.31%,-2.20%,-7.68%,-6.07%,-6.30%,-4.98%,-
Return on Capital (ROIC),1.54%,-2.82%,-54.76%,-,-,-6.16%,-
Return on Capital Employed (ROCE),1.90%,-4.70%,-13.50%,-13.10%,-8.70%,-8.90%,1.20%
Earnings Yield,2.19%,-0.80%,-6.00%,-,-,-,-
FCF Yield,-,-1.52%,-4.41%,-,-,-,-
Buyback Yield / Dilution,-7.72%,-3.53%,-8.00%,-10.05%,-16.79%,-12.51%,-
