Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"3,137","3,342","2,143","1,146","4,019","3,738",389.66,326.6,528.96,0.55,186.65
Investment Securities,"6,911","6,922","7,380","6,623","5,511","3,234","2,543","2,206","1,518",576.68,486.29
Trading Asset Securities,170.39,162.38,187.9,189.99,54.88,230.88,130.93,22.27,13.77,18.78,20.32
Mortgage-Backed Securities,"2,618","1,962",947.39,971.58,"1,920","1,689","1,464","1,311","1,264",976.63,582.92
Total Investments,"9,699","9,047","8,515","7,784","7,486","5,154","4,138","3,539","2,795","1,572","1,090"
Gross Loans,"37,933","35,489","32,681","29,068","23,449","22,478","19,802","17,715","15,641","8,458","6,547"
Allowance for Loan Losses,-434.45,-414.49,-353.06,-300.67,-263.23,-285.05,-94.78,-83.58,-67.24,-58.98,-65.43
Other Adjustments to Gross Loans,-,-3.7,-4.8,-26.1,-34.3,-53.2,-13.7,-7.4,-7.8,-7.6,-4.2
Net Loans,"37,498","35,071","32,323","28,741","23,151","22,139","19,693","17,624","15,566","8,391","6,478"
"Property, Plant & Equipment",337.55,603.69,554.24,455.97,382.55,375.42,355.5,265.56,266.01,88.9,77.92
Goodwill,"1,849","1,849","1,847","1,847","1,820","1,820","1,820","1,807","1,808",551.59,432.23
Other Intangible Assets,18.11,31.42,38.27,41.16,38.92,46.84,57.13,53.86,66.01,20.8,17.14
Loans Held for Sale,175.4,195.33,113.5,63.33,63.49,119.02,99.41,50.15,129.19,70.3,47.93
Accrued Interest Receivable,218.65,214.08,217.49,161.18,98.81,104.08,84.46,79.66,57.44,28.23,21.57
Restricted Cash,128.83,93.65,86.87,31.45,82.51,223.79,137.05,395.09,250.64,183.1,134.3
Long-Term Deferred Tax Assets,-,135.47,87.21,171.52,101.27,66.61,44.13,84.75,75.77,49.77,30.6
Other Real Estate Owned & Foreclosed,5.13,1.28,3.94,7.95,8.54,12.36,29.49,15.17,28.03,6.09,5.08
Other Long-Term Assets,"2,897","2,005","2,030","1,519","1,218","1,133",957.81,789.64,634.39,232.25,193.78
