Period Ending,"Sep '25Sep 27, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Jan '22Jan 1, 2022","Jan '21Jan 2, 2021","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018","Dec '17Dec 30, 2017","Dec '16Dec 31, 2016","Jan '16Jan 2, 2016"
Revenue,494.89,509.4,737.15,660.36,515.33,408.12,404.09,398.8,385.96,427.05,405.97
Revenue Growth (YoY),-12.03%,-30.90%,11.63%,28.14%,26.27%,1.00%,1.33%,3.33%,-9.62%,5.20%,10.88%
Cost of Revenue,166.13,169,222.48,208.31,193.65,162.81,165.67,179.36,169.38,180.1,179.98
Gross Profit,328.76,340.4,514.67,452.05,321.68,245.31,238.42,219.44,216.58,246.96,225.99
"Selling, General & Admin",147.31,125.44,145.04,122.08,105.62,95.33,82.54,89.65,90.72,98.6,97.35
Research & Development,164.63,150.8,151.97,135.77,110.52,89.22,78.62,82.45,103.36,117.52,136.87
Amortization of Goodwill & Intangibles,0.9,3.48,3.48,3.78,2.61,4.45,13.56,17.69,31.34,33.58,29.58
Operating Expenses,313.33,279.72,300.49,261.62,218.75,189,174.72,189.79,225.42,249.7,263.8
Operating Income,15.43,60.68,214.18,190.43,102.93,56.3,63.71,29.65,-8.84,-2.74,-37.81
Interest Expense,-0.27,-0.27,-2.97,-4.81,-2.74,-3.7,-11.73,-20.6,-18.81,-20.33,-18.39
Interest & Investment Income,3.31,4.21,5.01,0.66,-,-,-,-,-,-,-
Other Non Operating Income (Expenses),-2.18,-2.18,0.55,-1.11,-0.45,-0.21,-0.06,-0.27,-3.03,1.74,-0.25
EBT Excluding Unusual Items,16.03,62.45,216.76,185.17,99.74,52.39,51.91,8.78,-30.68,-21.33,-56.45
Merger & Restructuring Charges,-3.57,-12.29,-1.91,-3.06,-2.11,-3.94,-4.66,-18.88,-10.98,-16.1,-47.77
Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-,-12.7
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,0.05,0.02,-0.25,-1.54,-0.83
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,4.62,2.65,-
Asset Writedown,-13.93,-13.93,-,-,-,-,-,-12.49,-32.43,-7.87,-8.96
Other Unusual Items,-,-,-,-,-,-,-2.24,-1.4,-,-,-
Pretax Income,-1.46,36.23,214.86,182.11,97.63,48.46,45.07,-23.97,-69.71,-44.18,-126.69
Income Tax Expense,-28.71,-24.9,-44.21,3.23,1.7,1.06,1.57,2.35,0.85,9.92,32.54
Net Income,27.24,61.13,259.06,178.88,95.92,47.39,43.49,-26.32,-70.56,-54.1,-159.23
Net Income to Common,27.24,61.13,259.06,178.88,95.92,47.39,43.49,-26.32,-70.56,-54.1,-159.23
Net Income Growth,-80.99%,-76.40%,44.82%,86.49%,102.40%,8.96%,-,-,-,-,-
Shares Outstanding (Basic),137,138,138,137,137,135,132,127,123,120,117
Shares Outstanding (Diluted),138,138,140,141,142,141,137,127,123,120,117
Shares Change (YoY),-0.28%,-1.05%,-0.62%,-1.04%,0.61%,2.92%,8.46%,3.17%,2.24%,2.22%,-2.38%
EPS (Basic),0.20,0.44,1.88,1.30,0.70,0.35,0.33,-0.21,-0.58,-0.45,-1.36
EPS (Diluted),0.20,0.44,1.85,1.27,0.67,0.34,0.32,-0.21,-0.58,-0.45,-1.36
EPS Growth,-80.64%,-76.22%,45.67%,89.55%,97.06%,6.25%,-,-,-,-,-
Free Cash Flow,128.27,119.89,249.49,215.47,157.89,79.57,108.55,43.07,25.66,25.02,-41.09
Free Cash Flow Per Share,0.93,0.87,1.78,1.53,1.11,0.56,0.79,0.34,0.21,0.21,-0.35
Gross Margin,66.43%,66.82%,69.82%,68.45%,62.42%,60.11%,59.00%,55.02%,56.11%,57.83%,55.67%
Operating Margin,3.12%,11.91%,29.05%,28.84%,19.97%,13.80%,15.77%,7.43%,-2.29%,-0.64%,-9.31%
Profit Margin,5.50%,12.00%,35.14%,27.09%,18.61%,11.61%,10.76%,-6.60%,-18.28%,-12.67%,-39.22%
Free Cash Flow Margin,25.92%,23.54%,33.84%,32.63%,30.64%,19.50%,26.86%,10.80%,6.65%,5.86%,-10.12%
EBITDA,51.5,99.41,248.61,219.75,127.36,81.44,96.36,68.31,49.03,59.07,21.5
EBITDA Margin,10.41%,19.52%,33.73%,33.28%,24.71%,19.96%,23.85%,17.13%,12.70%,13.83%,5.29%
D&A For EBITDA,36.07,38.74,34.43,29.32,24.43,25.14,32.66,38.66,57.86,61.81,59.31
EBIT,15.43,60.68,214.18,190.43,102.93,56.3,63.71,29.65,-8.84,-2.74,-37.81
EBIT Margin,3.12%,11.91%,29.05%,28.84%,19.97%,13.80%,15.77%,7.43%,-2.29%,-0.64%,-9.31%
Effective Tax Rate,-,-,-,1.77%,1.75%,2.20%,3.49%,-,-,-,-
Revenue as Reported,-,-,-,-,-,-,-,-,-,427.05,405.97
