Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,717.16,449.67,790.15,"1,008",964.1,442.12,75.93,62.95,229.66,83.95,13.16
Short-Term Investments,-,330,16.3,-,445,744.68,200,200.35,-,-,-
Cash & Short-Term Investments,717.16,779.67,806.45,"1,008","1,409","1,187",275.93,263.3,229.66,83.95,13.16
Cash Growth,16.41%,-3.32%,-20.03%,-28.43%,18.73%,330.10%,4.80%,14.65%,173.57%,537.88%,-
Receivables,105.01,89.41,65.33,48.57,54.81,5.17,3.79,0.09,-,-,-
Inventory,67.14,39.88,44.83,31.62,18.95,13.14,6.01,0,-,-,-
Restricted Cash,100,100,-,-,-,-,-,-,-,-,-
Other Current Assets,43.65,41.53,23,35.67,18.02,10.94,6.74,5.75,0.95,0.14,0.07
Total Current Assets,"1,033","1,050",939.61,"1,124","1,501","1,216",292.46,269.15,230.61,84.09,13.23
"Property, Plant & Equipment",64.62,69.46,68.58,77.38,57.29,46.86,36.42,20.49,11.85,1.25,0.71
Long-Term Investments,-,3.12,9.22,6.43,15.61,1.28,2.4,3.15,1.65,0.5,-
Other Intangible Assets,58.13,58.93,16.46,8.4,9.66,9.44,8.8,0.32,0.02,0.01,0
Other Long-Term Assets,3.24,3.77,2.43,3.6,26.52,24.02,15.06,8.88,5.5,3.06,-
Total Assets,"1,159","1,186","1,036","1,220","1,610","1,298",355.15,301.99,249.63,88.91,13.94
Accounts Payable,99.71,100.91,112.99,65.97,126.16,62.64,22.66,37.43,8.97,0.52,1.45
Accrued Expenses,43.55,46.77,58.16,44.21,45.01,23.89,10.36,5.26,2.32,0.6,0.35
Short-Term Debt,203.03,131.71,-,-,-,-,6.45,3.64,-,-,-
Current Portion of Leases,5.5,8.05,7.1,7.05,5.93,5.21,4.35,-,-,-,-
Current Income Taxes Payable,4.73,5.15,16.99,13.28,8.82,0.95,-,-,-,-,-
Other Current Liabilities,3.26,6.8,7.83,9.32,6.99,5.36,2.81,2.5,0.78,4.05,2.14
Total Current Liabilities,359.77,299.39,203.07,139.84,192.9,98.04,46.64,48.84,12.07,5.17,3.94
Long-Term Leases,10.84,13.71,8.05,13.34,9.61,13.39,10.98,-,-,-,-
Long-Term Unearned Revenue,28.06,31.43,28.74,21.36,27.49,16.86,2.88,2.06,2.39,0.78,0.06
Other Long-Term Liabilities,0.33,0.33,0.33,-,-,-,-,-,-,-,-
Total Liabilities,399,344.86,240.18,174.55,230,128.29,60.49,50.91,14.46,5.95,4
Common Stock,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0
Additional Paid-In Capital,"3,328","3,264","2,975","2,893","2,826","1,897",734.73,498.04,345.27,9.31,4.39
Retained Earnings,"-2,578","-2,453","-2,196","-1,861","-1,418",-713.6,-444.7,-249.63,-110.55,-60.17,-22.66
Treasury Stock,-29.05,-20.84,-20.84,-11.86,-4.28,-,-,-,-,-,-
Comprehensive Income & Other,39.65,50.52,37.63,25.69,-23.65,-14.52,4.62,2.66,0.45,-0.7,-0.1
Total Common Equity,759.95,840.9,796.12,"1,046","1,380","1,169",294.66,251.08,235.17,-51.55,-18.37
Shareholders' Equity,759.95,840.9,796.12,"1,046","1,380","1,169",294.66,251.08,235.17,82.96,9.94
Total Liabilities & Equity,"1,159","1,186","1,036","1,220","1,610","1,298",355.15,301.99,249.63,88.91,13.94
Total Debt,219.36,153.47,15.15,20.39,15.54,18.6,21.78,3.64,-,-,-
Net Cash (Debt),497.79,626.2,791.3,988.08,"1,394","1,168",254.15,259.66,229.66,83.95,13.16
Net Cash Growth,1.51%,-20.87%,-19.91%,-29.10%,19.29%,359.64%,-2.12%,13.06%,173.57%,537.88%,-
Net Cash Per Share,4.63,6.33,8.19,10.31,14.99,15.04,3.95,4.94,10.56,8.89,1.51
Filing Date Shares Outstanding,110.59,107.58,98.72,96.02,96.41,88.59,74.68,58.36,50.56,9.66,8.89
Total Common Shares Outstanding,110.59,107.77,97.22,96.02,95.5,87.81,68.24,58.01,49.91,9.66,8.89
Working Capital,673.18,751.1,736.54,984.49,"1,308","1,118",245.83,220.3,218.55,78.92,9.29
Book Value Per Share,6.87,7.80,8.19,10.89,14.45,13.32,4.32,4.33,4.71,-5.34,-2.07
Tangible Book Value,701.82,781.96,779.66,"1,037","1,370","1,160",285.86,250.76,235.15,-51.56,-18.37
Tangible Book Value Per Share,6.35,7.26,8.02,10.80,14.35,13.21,4.19,4.32,4.71,-5.34,-2.07
Machinery,49.71,48.65,48.23,44.38,37.76,27.35,18.86,14.35,5.03,0.79,0.57
Construction In Progress,0.75,25.13,24.27,24.25,11.33,2.42,0.43,3.75,4.25,0.25,-
Leasehold Improvements,14.67,11.31,11.37,11.3,10.43,9.64,7.53,4.61,3.23,0.47,0.21
