Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,266","2,853","2,688","2,946","6,059","11,913","2,753","1,349","1,047",-,-
Market Cap Growth,-24.72%,6.14%,-8.77%,-51.38%,-49.14%,332.70%,104.06%,28.89%,-,-,-
Enterprise Value,"1,775","2,363","1,884","1,848","4,508","11,468","2,373","1,172","1,119",-,-
Last Close Price,20.92,26.19,27.33,30.70,62.85,135.34,41.59,23.22,21.23,-,-
PS Ratio,5.09,7.15,10.08,13.70,41.99,243.34,212.03,10459.06,-,-,-
PB Ratio,3.04,3.39,3.38,2.82,4.39,10.19,9.34,5.37,4.45,-,-
P/TBV Ratio,3.24,3.65,3.45,2.84,4.42,10.27,9.63,5.38,4.45,-,-
EV/Sales Ratio,4.02,5.92,7.06,8.59,31.24,234.25,182.78,9087.28,-,-,-
Debt / Equity Ratio,0.29,0.18,0.02,0.02,0.01,0.02,0.07,0.02,-,-,-
Asset Turnover,0.41,0.36,0.24,0.15,0.10,0.06,0.04,0,-,-,-
Inventory Turnover,7.52,9.03,9.46,14.25,38.98,25.01,48.58,-,-,-,-
Quick Ratio,2.29,2.90,4.29,7.56,7.59,12.16,6.00,5.39,19.03,16.23,3.34
Current Ratio,2.87,3.51,4.63,8.04,7.78,12.40,6.27,5.51,19.11,16.26,3.36
Return on Equity (ROE),-28.97%,-31.41%,-36.34%,-36.55%,-55.27%,-36.74%,-71.49%,-57.20%,-31.67%,-80.77%,-
Return on Assets (ROA),-13.29%,-15.87%,-20.86%,-17.86%,-30.10%,-22.82%,-38.65%,-32.13%,-18.98%,-46.83%,-
Return on Capital (ROIC),-16.07%,-19.53%,-25.07%,-20.53%,-33.87%,-25.08%,-44.47%,-36.17%,-20.19%,-51.85%,-
Return on Capital Employed (ROCE),-28.50%,-31.80%,-45.20%,-37.40%,-49.40%,-25.20%,-65.90%,-56.00%,-21.60%,-46.00%,-163.50%
Earnings Yield,-9.10%,-9.01%,-12.45%,-15.04%,-11.63%,-2.26%,-7.08%,-10.31%,-4.81%,-,-
FCF Yield,-8.38%,-7.73%,-7.64%,-13.31%,-9.37%,-1.90%,-7.16%,-7.97%,-3.96%,-,-
Buyback Yield / Dilution,-10.28%,-2.39%,-0.87%,-3.03%,-19.73%,-20.66%,-22.35%,-141.85%,-130.46%,-8.57%,-
