Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"8,011","5,551","8,186","4,336","3,823","1,471",628,346,439,493,406
Market Cap Growth,30.28%,-32.19%,88.80%,13.41%,159.96%,134.31%,81.53%,-21.27%,-11.01%,21.44%,38.57%
Enterprise Value,"8,399","5,448","8,396","4,210","3,612","1,201",514,177,162,445,308
Last Close Price,65.52,47.04,83.49,45.82,45.58,20.78,10.61,6.32,8.15,12.15,10.46
PE Ratio,-,-,-,-,-,-,-,-,-,29.99,-
PS Ratio,89.42,300.50,1087.18,45.84,54.29,26.35,23.36,10.98,32.85,4.64,14.18
PB Ratio,-,-41.01,-21.19,-40.18,15.68,12.97,-57.39,13.33,4.00,5.23,5.92
P/TBV Ratio,-,-,-,-,15.68,12.97,-,13.33,4.00,5.23,5.92
P/FCF Ratio,-,-,-,-,-,-,-,-,-,13.95,94.04
P/OCF Ratio,-,-,-,-,-,164.46,-,-,-,13.34,83.22
EV/Sales Ratio,96.30,294.90,1115.03,44.50,51.29,21.51,19.14,5.63,12.11,4.18,10.76
EV/EBITDA Ratio,-,-,-,-,-,-,-,-,-,29.78,-
EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,31.34,-
EV/FCF Ratio,-,-,-,-,-,-,-,-,-,12.57,71.36
Debt / Equity Ratio,-2.59,-6.82,-1.96,-6.95,1.11,1.23,-12.44,1.67,0.29,0.32,0.21
Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,-,2.00,-
Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,0.84,3.39
Asset Turnover,0.06,0.02,0.01,0.10,0.10,0.14,0.11,0.13,0.06,0.75,0.23
Quick Ratio,6.78,6.08,6.00,9.25,7.35,15.10,8.85,9.26,8.32,4.70,3.53
Current Ratio,6.88,6.17,6.12,9.40,7.45,15.20,8.98,9.36,8.45,4.77,3.57
Return on Equity (ROE),-,-,-,-572.15%,-120.54%,-248.50%,-1622.88%,-156.56%,-125.16%,20.19%,-46.69%
Return on Assets (ROA),-24.93%,-30.11%,-33.73%,-21.83%,-16.94%,-14.26%,-24.67%,-21.97%,-30.49%,6.21%,-18.84%
Return on Capital (ROIC),-41.55%,-57.92%,-61.30%,-35.05%,-30.40%,-31.11%,-63.62%,-52.74%,-53.31%,8.55%,-26.67%
Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,10.40%,-
Earnings Yield,-9.39%,-10.62%,-6.43%,-8.97%,-5.63%,-8.65%,-19.39%,-30.74%,-29.10%,3.33%,-9.23%
FCF Yield,-5.66%,-7.20%,-5.08%,-7.17%,-5.01%,-0.14%,-14.90%,-29.53%,-23.83%,7.17%,1.06%
Buyback Yield / Dilution,-11.00%,-16.01%,-7.46%,-16.83%,-19.16%,-12.07%,-5.80%,-10.15%,-16.08%,-9.65%,-8.70%
