Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
Revenue,"2,361","2,099","1,615","1,247"
Revenue Growth (YoY),-,29.94%,29.57%,-
Cost of Revenue,"1,860","1,668","1,300","1,013"
Gross Profit,501.38,430.77,315.15,233.71
"Selling, General & Admin",287.31,239.34,184.45,141.03
Operating Expenses,389.34,336.49,264.69,223.54
Operating Income,112.04,94.27,50.46,10.17
Interest Expense,-114.45,-91.61,-68.2,-50.84
Interest & Investment Income,3.7,5.46,4.25,0.24
Earnings From Equity Investments,0.78,3.06,1.33,-
Other Non Operating Income (Expenses),-6.37,-7.33,-0.56,-0.51
EBT Excluding Unusual Items,-9.98,3.86,-12.72,-40.94
Merger & Restructuring Charges,-4.56,-9.18,-5.4,-6.66
Impairment of Goodwill,-17.8,-17.8,-5.05,-23.44
Other Unusual Items,-,-,-30.77,-3.62
Pretax Income,-32.15,-23.12,-53.94,-74.66
Income Tax Expense,8.68,4.52,-7.92,7.61
Earnings From Continuing Operations,-40.83,-27.64,-46.03,-82.27
Minority Interest in Earnings,-4.94,-0.91,-,-
Net Income,-45.76,-28.56,-46.03,-82.27
Net Income to Common,-45.76,-28.56,-46.03,-82.27
Free Cash Flow,137.2,10.26,16.84,0.68
Gross Margin,21.23%,20.53%,19.51%,18.75%
Operating Margin,4.75%,4.49%,3.12%,0.82%
Profit Margin,-1.94%,-1.36%,-2.85%,-6.60%
Free Cash Flow Margin,5.81%,0.49%,1.04%,0.06%
EBITDA,227.51,205.12,143.26,103.19
EBITDA Margin,9.64%,9.77%,8.87%,8.28%
D&A For EBITDA,115.47,110.85,92.8,93.02
EBIT,112.04,94.27,50.46,10.17
EBIT Margin,4.75%,4.49%,3.12%,0.82%
