Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
Cash & Equivalents,176.03,81.17,88.92,-
Trading Asset Securities,-,5.86,22.05,-
Cash & Short-Term Investments,176.03,87.03,110.97,-
Cash Growth,-,-21.58%,-,-
Accounts Receivable,822.74,629.24,540.25,-
Other Receivables,-,7.5,7.82,-
Receivables,822.74,636.74,548.07,-
Inventory,-,10.25,10,-
Prepaid Expenses,39.04,18.91,17.85,-
Other Current Assets,-,3.49,1.78,-
Total Current Assets,"1,038",756.42,688.67,-
"Property, Plant & Equipment",187.56,164.3,138.02,-
Long-Term Investments,-,3.39,1.3,-
Goodwill,782.93,781.19,676.03,-
Other Intangible Assets,562.36,624.25,618.15,-
Long-Term Accounts Receivable,-,2.04,1.77,-
Long-Term Deferred Charges,-,3.7,-,-
Other Long-Term Assets,29.61,17.21,2.2,-
Total Assets,"2,600","2,353","2,126",-
Accounts Payable,224.26,126.5,107.39,-
Accrued Expenses,115.49,83.09,76.44,-
Current Portion of Long-Term Debt,16.3,20.44,13.89,-
Current Portion of Leases,18.05,16.95,11.54,-
Current Unearned Revenue,285.89,164.13,164.6,-
Other Current Liabilities,-,-,65.7,-
Total Current Liabilities,659.99,411.11,439.56,-
Long-Term Debt,812.63,"1,581","1,033",-
Long-Term Leases,94.57,85.34,61.2,-
Long-Term Deferred Tax Liabilities,41.54,35.43,48.67,-
Other Long-Term Liabilities,164.06,35.72,20.48,-
Total Liabilities,"1,773","2,149","1,603",-
Common Stock,1.05,443.74,722.38,-
Retained Earnings,-277.23,-250.17,-221.61,-
Comprehensive Income & Other,-0.25,9.11,22.17,-
Total Common Equity,387.88,202.68,522.93,-
Minority Interest,439.6,0.91,-,-
Shareholders' Equity,827.47,203.59,522.93,-
Total Liabilities & Equity,"2,600","2,353","2,126",-
Total Debt,941.55,"1,704","1,120",-
Net Cash (Debt),-765.51,"-1,617","-1,009",-
Working Capital,377.81,345.31,249.11,-
Tangible Book Value,-957.42,"-1,203",-771.25,-
Machinery,-,108.77,90.49,-
Construction In Progress,-,0.56,0.94,-
Leasehold Improvements,-,22.49,15.09,-
Order Backlog,-,"1,730","1,308","1,038"
