Period Ending,"Nov '25Nov 20, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,159","2,734","2,921","2,641","2,917","1,947","1,746","1,271","1,634","1,481","1,198"
Market Cap Growth,-20.12%,-6.38%,10.57%,-9.46%,49.84%,11.52%,37.40%,-22.25%,10.30%,23.66%,-15.90%
Enterprise Value,"2,546","3,073","3,075","2,859","2,990","2,036","1,989","1,315","1,914","1,505","1,138"
Last Close Price,34.74,44.10,44.99,38.90,41.22,27.89,25.10,18.14,23.44,21.41,16.12
PE Ratio,19.97,26.29,17.43,7.40,17.01,26.47,16.29,6.30,12.09,19.80,16.89
Forward PE,17.53,20.42,17.77,9.58,17.12,19.93,15.98,11.82,24.81,20.93,15.46
PS Ratio,0.56,0.69,0.70,0.50,0.69,0.56,0.48,0.35,0.52,0.54,0.34
PB Ratio,1.25,1.62,1.79,1.65,2.18,1.68,1.62,1.30,2.12,2.36,1.85
P/TBV Ratio,3.43,4.97,5.00,3.47,5.26,4.13,3.83,3.61,4.24,4.18,3.22
P/FCF Ratio,36.12,19.05,10.35,11.05,24.33,32.64,10.93,115.00,32.24,-,13.51
P/OCF Ratio,13.52,14.06,6.92,5.77,11.54,11.13,6.86,6.03,13.05,14.46,6.98
PEG Ratio,1.12,1.09,-,0.60,0.44,0.80,0.80,1.14,1.65,1.57,1.19
EV/Sales Ratio,0.68,0.78,0.73,0.54,0.71,0.58,0.54,0.36,0.61,0.55,0.32
EV/EBITDA Ratio,7.65,9.19,7.85,4.68,8.55,8.83,7.26,6.26,14.19,10.65,7.38
EV/EBIT Ratio,17.55,21.67,14.82,6.26,13.64,19.06,12.65,10.41,26.34,15.58,9.72
EV/FCF Ratio,42.43,21.41,10.90,11.96,24.94,34.14,12.46,119.02,37.76,-,12.83
Debt / Equity Ratio,0.28,0.30,0.35,0.28,0.24,0.28,0.30,0.35,0.39,0.28,0.23
Debt / EBITDA Ratio,1.24,1.29,1.31,0.72,0.89,1.32,1.14,1.61,2.24,1.23,0.97
Debt / FCF Ratio,8.31,3.54,2.04,1.89,2.69,5.34,2.03,30.63,5.97,-,1.68
Asset Turnover,1.30,1.36,1.46,2.04,1.86,1.71,1.87,2.05,2.06,2.07,2.81
Quick Ratio,1.36,1.19,1.20,1.46,1.26,1.22,1.21,1.06,0.88,1.45,1.67
Current Ratio,1.47,1.33,1.29,1.53,1.30,1.27,1.26,1.12,1.26,1.49,1.74
Return on Equity (ROE),6.24%,6.25%,10.36%,24.28%,13.73%,6.59%,10.42%,10.01%,17.17%,9.04%,11.36%
Return on Assets (ROA),3.16%,3.05%,4.51%,10.87%,6.03%,3.26%,5.02%,4.39%,3.00%,4.54%,5.82%
Return on Capital (ROIC),4.12%,4.02%,6.08%,15.36%,8.73%,4.64%,7.23%,6.60%,4.85%,7.55%,9.70%
Return on Capital Employed (ROCE),6.10%,6.20%,9.10%,21.50%,12.50%,6.80%,10.60%,9.00%,6.30%,10.20%,12.40%
Earnings Yield,4.84%,3.80%,5.74%,13.51%,5.88%,3.78%,6.14%,15.88%,8.27%,5.05%,5.92%
FCF Yield,2.77%,5.25%,9.66%,9.05%,4.11%,3.06%,9.15%,0.87%,3.10%,-0.33%,7.40%
Dividend Yield,1.44%,1.13%,-,-,-,-,-,-,-,-,-
Payout Ratio,28.74%,29.09%,-,-,-,-,-,-,-,-,-
Buyback Yield / Dilution,1.88%,4.46%,4.71%,0.98%,-1.04%,-0.19%,0.24%,-0.63%,1.76%,5.61%,2.08%
Total Shareholder Return,3.29%,5.59%,4.71%,0.98%,-1.04%,-0.19%,0.24%,-0.63%,1.76%,5.61%,2.08%
