Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"7,100","8,389","6,970","8,531","8,385","7,695","7,655","6,287","6,245","5,863","4,146"
Market Cap Growth,-11.81%,20.36%,-18.29%,1.74%,8.97%,0.51%,21.76%,0.68%,6.52%,41.41%,-0.99%
Last Close Price,53.62,61.49,49.30,58.63,55.54,49.84,48.25,37.48,34.86,33.82,23.28
PE Ratio,12.81,16.09,14.74,17.63,15.94,22.71,18.75,14.97,20.37,22.32,16.51
PS Ratio,4.23,5.15,4.50,5.76,5.62,6.36,5.89,4.90,5.32,5.38,3.91
PB Ratio,1.89,2.52,2.35,3.44,2.43,2.26,2.44,2.14,2.30,2.34,1.75
P/FCF Ratio,-,15.78,17.40,17.26,15.50,13.02,16.28,12.11,15.78,13.62,15.99
P/OCF Ratio,29.32,14.52,14.26,15.25,14.03,12.33,14.93,11.38,14.64,12.89,14.24
Debt / Equity Ratio,0.65,0.90,1.00,1.17,0.88,0.63,0.59,0.67,0.56,0.74,0.88
Debt / FCF Ratio,-,5.61,7.43,5.88,5.63,3.63,3.96,3.81,3.83,4.27,8.02
Return on Equity (ROE),15.60%,16.97%,17.82%,16.86%,15.79%,10.82%,13.91%,15.50%,12.26%,11.37%,11.36%
Return on Assets (ROA),1.77%,1.68%,1.53%,1.46%,1.55%,1.20%,1.64%,1.74%,1.27%,1.10%,1.10%
Earnings Yield,7.84%,6.27%,6.84%,5.73%,6.33%,4.60%,5.50%,6.89%,5.11%,4.70%,6.36%
FCF Yield,-,6.34%,5.75%,5.79%,6.45%,7.68%,6.14%,8.26%,6.34%,7.34%,6.25%
Dividend Yield,1.95%,1.67%,1.99%,1.56%,1.55%,1.70%,1.61%,1.78%,1.75%,1.71%,2.37%
Payout Ratio,26.28%,27.57%,28.24%,26.10%,23.12%,36.03%,29.07%,25.20%,31.50%,34.88%,35.63%
Buyback Yield / Dilution,1.63%,1.38%,1.34%,1.93%,0.39%,2.66%,2.27%,0.06%,-0.38%,2.61%,3.89%
Total Shareholder Return,3.60%,3.06%,3.33%,3.50%,1.94%,4.36%,3.88%,1.84%,1.36%,4.32%,6.26%
