Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,476.44,"3,376","2,687",891.14,"4,280","2,185",887.47,"1,201",511.85,782.44,502.72
Investment Securities,"12,607","6,085","5,265","7,735","9,184","6,343","4,772","5,065","5,585","6,685","7,220"
Trading Asset Securities,56.28,100.68,145.71,104.02,88.08,125.21,133.84,68.27,26.62,35.79,24.66
Mortgage-Backed Securities,-,"4,014","5,059","5,520","7,049","7,073","4,748","4,263","3,947","3,742","3,498"
Total Investments,"12,663","10,199","10,470","13,359","16,322","13,541","9,654","9,396","9,558","10,463","10,743"
Gross Loans,"17,787","17,220","17,205","16,303","15,176","16,330","14,738","14,140","13,984","13,413","12,437"
Allowance for Loan Losses,-175.67,-162.74,-162.4,-150.14,-150.04,-220.83,-160.68,-159.93,-159.53,-155.93,-151.53
Net Loans,"17,611","17,057","17,043","16,153","15,026","16,109","14,577","13,980","13,824","13,257","12,285"
"Property, Plant & Equipment",483,475.28,469.06,418.91,388.74,384.78,385.34,349.22,352.51,356.71,369.48
Goodwill,146.54,146.54,146.54,138.92,138.92,138.92,138.92,138.92,138.92,138.92,138.92
Other Intangible Assets,13.33,3.86,4.06,4.31,4.6,4.96,1.79,2.32,2.97,3.84,5.03
Loans Held for Sale,2.54,3.24,4.18,4.96,8.62,45.09,13.81,20.69,21.4,14.46,7.61
Accrued Interest Receivable,-,105.6,100.8,94.3,65.4,41.5,-,-,-,-,-
Restricted Cash,-,0.08,0.1,6.7,17.4,23.4,20.3,8.2,12.5,-,-
Other Real Estate Owned & Foreclosed,-,0.34,0.27,0.1,0.12,0.09,0.37,1.41,0.68,0.37,2.82
Other Long-Term Assets,892.59,619.53,765.32,793.73,427.45,438.99,376.88,355.25,400.05,611.27,536.41
Total Assets,"32,289","31,997","31,701","31,876","36,689","32,923","26,066","25,464","24,833","25,641","24,605"
Interest Bearing Deposits,"16,554","15,751","15,443","15,514","17,034","15,134","12,248","12,271","12,134","12,144","11,620"
Institutional Deposits,"1,414","1,392","1,945",606.77,"1,007","1,315","1,382","1,072","1,132","1,528","1,213"
Non-Interest Bearing Deposits,"7,490","8,151","7,976","10,066","11,772","10,498","6,891","6,980","7,159","7,429","7,146"
Total Deposits,"25,458","25,294","25,364","26,187","29,813","26,947","20,520","20,324","20,425","21,101","19,979"
Short-Term Borrowings,"2,473","2,954","2,947","2,897","3,035","2,117","1,861","1,970","1,515","1,737","1,976"
Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,100,-
Current Portion of Leases,-,6.1,-,-,-,-,-,-,-,-,-
Long-Term Debt,9.27,0.06,1.4,9.67,12.56,0.8,2.42,8.7,1.76,2.05,-
"Federal Home Loan Bank Debt, Long-Term",-,-,-,-,-,-,-,-,-,-,103.82
Long-Term Leases,-,25.08,26.9,-,-,29.2,-,-,-,-,-
Other Long-Term Liabilities,555.26,385.56,397.92,300.52,380.06,429.2,543.49,224.52,172.82,199.9,178.59
Total Liabilities,"28,496","28,664","28,737","29,394","33,241","29,523","22,927","22,527","22,115","23,140","22,238"
"Preferred Stock, Non-Redeemable",-,-,-,-,-,-,144.78,144.78,144.78,144.78,144.78
Total Preferred Equity,-,-,-,-,-,-,144.78,144.78,144.78,144.78,144.78
Common Stock,676.05,676.05,655.32,629.32,610.8,589.35,563.98,559.43,535.41,510.02,489.86
Additional Paid-In Capital,"3,391","3,396","3,163","2,933","2,690","2,436","2,151","2,085","1,815","1,552","1,338"
Retained Earnings,360.72,45.49,53.18,31.62,92.49,73,201.56,241.16,221.37,292.85,383.31
Treasury Stock,-121.97,-48.4,-35.6,-41.74,-32.97,-32.97,-37.55,-34.24,-14.47,-15.29,-26.12
Comprehensive Income & Other,-533.67,-758.91,-891.41,"-1,087",77.08,331.38,110.44,-64.67,14.11,10.98,32.47
Total Common Equity,"3,772","3,310","2,944","2,465","3,437","3,397","2,990","2,787","2,572","2,351","2,217"
Minority Interest,21.38,22.59,20.11,16.29,11.03,2.93,3.79,5.85,1.62,5.35,5.43
Shareholders' Equity,"3,793","3,332","2,964","2,482","3,448","3,400","3,138","2,937","2,718","2,501","2,367"
Total Liabilities & Equity,"32,289","31,997","31,701","31,876","36,689","32,923","26,066","25,464","24,833","25,641","24,605"
Total Debt,"2,482","2,985","2,975","2,906","3,048","2,147","1,863","1,979","1,517","1,839","2,080"
Net Cash (Debt),"1,378","1,117",307.87,"-1,086","2,945","1,013",7.89,-9.16,-278.51,-296.07,-677.72
Net Cash Growth,-10.99%,262.70%,-,-,190.70%,12738.37%,-,-,-,-,-
Net Cash Per Share,10.35,8.29,2.25,-7.85,20.86,7.15,0.05,-0.06,-1.87,-1.99,-4.45
Filing Date Shares Outstanding,133.02,133.88,136.37,137.59,140.2,142.31,143.05,148.62,150.15,150.13,150.08
Total Common Shares Outstanding,133.02,134.43,136.98,138.1,140.86,142.67,143.11,149.19,150.28,150.17,151.05
Book Value Per Share,28.35,24.62,21.49,17.85,24.40,23.81,20.89,18.68,17.11,15.66,14.68
Tangible Book Value,"3,612","3,159","2,794","2,322","3,294","3,253","2,849","2,645","2,430","2,208","2,073"
Tangible Book Value Per Share,27.15,23.50,20.39,16.81,23.38,22.80,19.91,17.73,16.17,14.71,13.73
