Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,178.59,233.32,226.44,214.75,262.31,423.37,296.32,217.03,569.73,546.48,551.56
Short-Term Investments,4.82,22.3,14.36,23.01,5.42,27.16,140.38,169.41,152.54,177.02,4.55
Cash & Short-Term Investments,183.4,255.62,240.79,237.76,267.74,450.54,436.71,386.44,722.27,723.5,556.1
Cash Growth,-8.34%,6.16%,1.27%,-11.20%,-40.57%,3.17%,13.01%,-46.50%,-0.17%,30.10%,11.80%
Receivables,384.67,295.34,321.81,276.49,249.79,284.93,235.41,213.54,231.12,211.59,195.97
Inventory,499.24,436.5,402.47,404.36,316.27,226.29,248.94,225.28,216.77,189.31,174.7
Prepaid Expenses,101.15,49.86,32.66,26.04,39.18,17.58,29.32,25.67,14.4,30.59,57.24
Restricted Cash,-,-,-,4,-,-,-,-,-,-,-
Total Current Assets,"1,168","1,037",997.74,948.65,872.98,979.33,950.38,850.93,"1,185","1,155",984.01
"Property, Plant & Equipment",799.5,728.48,652.88,550.03,464.12,468.14,498.32,498.47,492.48,465.82,412.72
Long-Term Investments,247.36,339.6,299.08,202.33,207.69,162.03,139.91,137.98,57.78,49.89,95.16
Goodwill,356.91,340.67,340.11,313.81,313.96,311.92,307.37,307.37,307.37,307.37,307.37
Other Intangible Assets,202.44,261.58,280.52,286.88,267.84,276.52,272.84,290.69,309.86,331.55,349.42
Long-Term Deferred Tax Assets,92.66,53.15,41.11,25.53,4.8,-,-,-,-,-,-
Total Assets,"2,939","2,761","2,611","2,327","2,131","2,198","2,169","2,085","2,352","2,310","2,149"
Accounts Payable,252.04,168.31,184.4,151.74,98.34,84.78,97.55,92.81,89.9,79.96,66.35
Accrued Expenses,134.85,54.77,58.74,51.99,54.74,59.92,45.37,43.53,47.36,34.08,29.3
Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,78,9.34,10.45
Current Portion of Leases,3.44,1.9,-,-,-,-,-,-,-,-,-
Current Income Taxes Payable,-,0.44,0.69,18.73,0.2,3.79,0.02,4.29,0.36,0.57,0.15
Other Current Liabilities,-,27.26,27.77,28.1,28.37,29.24,28.9,28.53,28.03,25.9,24.76
Total Current Liabilities,394.46,252.69,271.61,250.55,181.66,177.74,171.85,169.16,243.65,149.86,131.01
Long-Term Debt,-,-,-,-,-,-,-,-,-,178.13,225.63
Long-Term Leases,5.46,2.78,-,-,-,-,-,-,-,-,-
Long-Term Deferred Tax Liabilities,1.67,-,-,-,-,38.96,51.45,54.52,58.89,71.21,69.52
Other Long-Term Liabilities,39.64,33.25,27.31,10.88,11.75,17.3,7.41,-,-,-,-
Total Liabilities,441.22,288.72,298.92,261.44,193.4,234,230.72,223.68,302.54,399.2,426.16
Common Stock,13.14,13.63,13.89,14.05,14.19,14.62,15.08,15.56,16.82,17.26,17.48
Additional Paid-In Capital,"1,013","1,010",968.25,917.5,879.41,852.77,807.93,745.32,723.51,683.45,596.78
Retained Earnings,"1,472","1,450","1,337","1,148","1,042","1,090","1,116","1,102","1,302","1,211","1,109"
Comprehensive Income & Other,-2.65,-6.41,-6.56,-14.14,1.93,6.85,-1.29,-1.6,7.19,-1.27,-1.13
Total Common Equity,"2,495","2,468","2,313","2,066","1,938","1,964","1,938","1,862","2,050","1,910","1,723"
Minority Interest,2.32,4.15,-,-,-,-,-,-,-,-,-
Shareholders' Equity,"2,498","2,472","2,313","2,066","1,938","1,964","1,938","1,862","2,050","1,910","1,723"
Total Liabilities & Equity,"2,939","2,761","2,611","2,327","2,131","2,198","2,169","2,085","2,352","2,310","2,149"
Total Debt,13.03,4.68,-,-,-,-,-,-,78,187.47,236.07
Net Cash (Debt),170.37,250.94,240.79,237.76,267.74,450.54,436.71,386.44,644.27,536.03,320.03
Net Cash Growth,-12.51%,4.21%,1.27%,-11.20%,-40.57%,3.17%,13.01%,-40.02%,20.19%,67.49%,38.95%
Net Cash Per Share,0.77,1.11,1.05,1.03,1.13,1.85,1.72,1.43,2.24,1.84,1.08
Filing Date Shares Outstanding,218.94,227.2,231.49,234.18,236.42,243.67,251.27,259.23,274.42,287.3,288.89
Total Common Shares Outstanding,218.95,227.21,231.46,234.17,236.44,243.69,251.28,259.33,280.28,287.74,291.34
Working Capital,774.02,784.64,726.13,698.1,691.32,801.59,778.53,681.77,940.92,"1,005",853
Book Value Per Share,11.40,10.86,9.99,8.82,8.20,8.06,7.71,7.18,7.31,6.64,5.91
Tangible Book Value,"1,936","1,866","1,692","1,465","1,356","1,375","1,358","1,264","1,432","1,272","1,066"
Tangible Book Value Per Share,8.84,8.21,7.31,6.26,5.74,5.64,5.40,4.87,5.11,4.42,3.66
Land,-,531.26,472.11,376.93,363.65,350.57,344.23,340.91,317.6,294.7,232.67
Machinery,-,"1,065","1,012",935.85,883.24,857.58,843.44,838.89,790.83,721.71,616.34
Construction In Progress,-,177.91,158.33,165.57,77.59,49.05,39.46,18.16,35.83,30.64,84.98
