Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"5,012","6,534","7,618","6,397","8,243","8,315","7,331","5,297","5,948","5,641","4,667"
Market Cap Growth,-30.03%,-14.23%,19.09%,-22.39%,-0.87%,13.42%,38.39%,-10.94%,5.43%,20.87%,-11.76%
Enterprise Value,"4,841","6,339","7,343","6,160","7,968","7,890","6,865","4,960","5,208","5,153","4,335"
Last Close Price,22.89,28.16,31.54,25.91,32.56,31.26,26.22,17.92,18.22,16.80,13.36
PE Ratio,13.48,16.38,18.05,20.38,23.21,24.27,17.47,12.10,14.62,16.23,14.66
Forward PE,11.98,14.48,16.22,16.20,19.69,17.42,17.01,11.63,15.52,15.28,14.08
PS Ratio,2.07,2.83,3.31,3.33,4.76,4.93,3.94,2.89,3.31,3.36,3.02
PB Ratio,2.01,2.64,3.29,3.10,4.25,4.23,3.78,2.85,2.90,2.95,2.71
P/TBV Ratio,2.59,3.50,4.50,4.37,6.08,6.05,5.40,4.19,4.15,4.44,4.38
P/FCF Ratio,10.64,18.48,21.55,33.36,28.10,20.14,17.40,11.36,14.98,15.84,18.20
P/OCF Ratio,8.14,13.12,14.18,18.92,22.76,17.90,14.49,9.59,11.87,11.83,13.17
PEG Ratio,-,0.95,0.78,0.98,1.29,2.55,3.90,0.93,1.19,1.19,1.05
EV/Sales Ratio,1.99,2.74,3.19,3.21,4.60,4.67,3.69,2.70,2.90,3.07,2.81
EV/EBITDA Ratio,8.56,11.25,12.47,13.20,15.66,15.65,11.57,8.13,8.36,8.58,8.04
EV/EBIT Ratio,10.46,13.53,14.81,16.65,19.44,19.75,14.05,9.76,9.95,10.07,9.45
EV/FCF Ratio,10.28,17.93,20.77,32.12,27.16,19.11,16.29,10.63,13.12,14.47,16.90
Debt / Equity Ratio,0.01,0.00,-,-,-,-,-,-,0.04,0.10,0.14
Debt / EBITDA Ratio,0.02,0.01,-,-,-,-,-,-,0.13,0.31,0.44
Debt / FCF Ratio,0.03,0.01,-,-,-,-,-,-,0.20,0.53,0.92
Asset Turnover,0.86,0.86,0.93,0.86,0.80,0.77,0.87,0.83,0.77,0.75,0.74
Inventory Turnover,3.40,3.68,3.81,3.63,4.10,4.56,4.94,5.17,5.42,5.55,5.94
Quick Ratio,1.44,2.18,2.07,2.05,2.85,4.14,3.91,3.55,3.91,6.24,5.74
Current Ratio,2.96,4.11,3.67,3.79,4.81,5.51,5.53,5.03,4.86,7.71,7.51
Return on Equity (ROE),15.43%,16.91%,19.57%,15.92%,18.49%,17.81%,22.35%,22.39%,20.54%,19.14%,19.34%
Return on Assets (ROA),10.19%,10.90%,12.55%,10.37%,11.83%,11.44%,14.35%,14.31%,14.03%,14.35%,13.75%
Return on Capital (ROIC),11.72%,12.23%,14.15%,11.55%,13.13%,12.80%,16.07%,15.92%,15.48%,15.77%,15.10%
Return on Capital Employed (ROCE),18.20%,18.70%,21.20%,17.80%,21.00%,19.80%,24.50%,26.50%,24.80%,23.70%,22.70%
Earnings Yield,7.46%,6.19%,5.62%,4.98%,4.38%,4.18%,5.79%,8.27%,6.84%,6.16%,6.82%
FCF Yield,9.40%,5.41%,4.64%,3.00%,3.56%,4.96%,5.75%,8.80%,6.67%,6.31%,5.50%
Dividend Yield,2.10%,1.70%,1.52%,1.85%,1.47%,1.54%,1.75%,2.46%,2.14%,2.11%,2.51%
Payout Ratio,28.27%,27.30%,26.18%,35.48%,31.95%,33.72%,27.39%,26.62%,26.75%,29.09%,30.45%
Buyback Yield / Dilution,3.11%,1.61%,0.65%,2.28%,2.90%,3.79%,6.15%,6.37%,0.98%,1.74%,-0.66%
Total Shareholder Return,5.20%,3.31%,2.17%,4.13%,4.38%,5.32%,7.91%,8.82%,3.12%,3.86%,1.85%
