Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Revenue,"13,301","11,266","8,826","7,721","6,698","5,580","4,525","2,536"
Revenue Growth (YoY),37.13%,27.65%,14.32%,15.27%,20.03%,23.32%,78.44%,-
Cost of Revenue,"11,535","9,678","7,392","6,366","5,450","4,532","3,691","2,160"
Gross Profit,"1,766","1,588","1,434","1,354","1,248","1,049",833.91,375.91
"Selling, General & Admin","1,295","1,249","1,173","1,148","1,023",879.35,722.29,302.54
Operating Expenses,"1,295","1,249","1,173","1,148","1,027",879.35,722.29,302.54
Operating Income,471,339.07,260.88,206.29,221.38,169.39,111.61,73.37
Interest Expense,-202.8,-228.39,-324.59,-233.58,-165.32,-138.95,-166.89,-74.61
Other Non Operating Income (Expenses),-5,-5.7,-12.7,-4.9,-4.1,-4.2,-2.8,-1.5
EBT Excluding Unusual Items,263.2,104.99,-76.41,-32.2,51.96,26.24,-58.08,-2.75
Merger & Restructuring Charges,-1.3,-3.4,-2.5,-,-,-,-45.5,-8.09
Impairment of Goodwill,-,-,-,-40.86,-,-,-,-
Asset Writedown,-3.6,-3.6,-2.3,-2.5,-3.4,-,-,-
Legal Settlements,-120,-120,-115,-,-,-,-,-
Other Unusual Items,-,-12.73,18.8,29.8,20.3,-,-,-
Pretax Income,138.3,-34.74,-177.41,-45.75,68.86,26.24,-103.58,-10.83
Income Tax Expense,30.37,-14.22,-20.58,8.47,17.6,5.09,-32.49,-3.21
Earnings From Continuing Operations,107.94,-20.52,-156.84,-54.22,51.26,21.15,-71.09,-7.62
Minority Interest in Earnings,2.39,2.46,2.23,0.31,-1.46,-0.34,-1.29,-
Net Income,129.59,-18.06,-154.6,-53.91,49.8,20.81,-72.38,-7.62
Net Income to Common,129.59,-18.06,-154.6,-53.91,49.8,20.81,-72.38,-7.62
Net Income Growth,-,-,-,-,139.30%,-,-,-
Shares Outstanding (Basic),202,193,118,118,118,117,111,76
Shares Outstanding (Diluted),214,193,118,118,122,118,111,76
Shares Change (YoY),24.14%,63.74%,0.02%,-3.24%,3.53%,6.18%,45.55%,-
EPS (Basic),0.64,-0.09,-1.31,-0.46,0.42,0.18,-0.65,-0.10
EPS (Diluted),0.60,-0.09,-1.31,-0.46,0.41,0.18,-0.65,-0.10
EPS Growth,-,-,-,-,130.54%,-,-,-
Free Cash Flow,276.09,-57.14,137.26,-74.77,210.9,170.73,59.69,43.25
Free Cash Flow Per Share,1.29,-0.30,1.16,-0.63,1.73,1.45,0.54,0.57
Gross Margin,13.28%,14.10%,16.25%,17.54%,18.63%,18.79%,18.43%,14.82%
Operating Margin,3.54%,3.01%,2.96%,2.67%,3.31%,3.03%,2.47%,2.89%
Profit Margin,0.97%,-0.16%,-1.75%,-0.70%,0.74%,0.37%,-1.60%,-0.30%
Free Cash Flow Margin,2.08%,-0.51%,1.55%,-0.97%,3.15%,3.06%,1.32%,1.71%
EBITDA,650.63,543.56,463.22,410.26,420.54,350.89,266.48,154.54
EBITDA Margin,4.89%,4.83%,5.25%,5.31%,6.28%,6.29%,5.89%,6.09%
D&A For EBITDA,179.63,204.48,202.34,203.97,199.16,181.5,154.87,81.17
EBIT,471,339.07,260.88,206.29,221.38,169.39,111.61,73.37
EBIT Margin,3.54%,3.01%,2.96%,2.67%,3.31%,3.03%,2.47%,2.89%
Effective Tax Rate,21.96%,-,-,-,25.56%,19.39%,-,-
Revenue as Reported,"13,301","11,266","8,826","7,721","6,698","5,580","4,525","2,536"
