Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Market Capitalization,"6,609","3,466",-,-,-,-,-,-
Enterprise Value,"9,168","6,387",-,-,-,-,-,-
Last Close Price,32.00,17.03,-,-,-,-,-,-
Forward PE,25.84,23.69,-,-,-,-,-,-
PS Ratio,0.49,0.31,-,-,-,-,-,-
PB Ratio,3.64,2.10,-,-,-,-,-,-
P/OCF Ratio,18.93,145.80,-,-,-,-,-,-
PEG Ratio,0.48,1.93,-,-,-,-,-,-
EV/Sales Ratio,0.69,0.57,-,-,-,-,-,-
EV/EBITDA Ratio,14.09,11.75,-,-,-,-,-,-
EV/EBIT Ratio,19.47,18.84,-,-,-,-,-,-
Debt / Equity Ratio,1.48,1.76,5.99,4.69,4.71,4.05,3.44,-
Debt / EBITDA Ratio,3.49,4.38,6.33,6.81,6.74,6.44,6.90,-
Debt / FCF Ratio,9.78,-,26.74,-,17.88,17.42,40.94,-
Asset Turnover,2.25,1.97,1.61,1.41,1.33,1.34,-,-
Inventory Turnover,20.64,18.55,17.74,17.45,18.19,18.18,-,-
Quick Ratio,0.80,0.86,0.82,0.95,0.96,1.30,1.03,-
Current Ratio,1.79,1.33,1.17,1.44,1.32,1.74,1.40,-
Return on Equity (ROE),6.28%,-1.81%,-22.46%,-6.84%,6.68%,2.93%,-,-
Return on Assets (ROA),4.97%,3.70%,2.97%,2.35%,2.75%,2.53%,-,-
Return on Capital (ROIC),6.47%,4.79%,3.73%,2.85%,3.34%,3.08%,-,-
Return on Capital Employed (ROCE),10.50%,7.50%,6.10%,4.60%,4.80%,4.50%,3.50%,-
Earnings Yield,1.96%,-0.52%,-,-,-,-,-,-
FCF Yield,4.18%,-1.65%,-,-,-,-,-,-
Buyback Yield / Dilution,-24.14%,-63.74%,-0.02%,3.24%,-3.53%,-6.18%,-45.55%,-
