Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Cash & Equivalents,140.34,61.25,13.07,13.63,46.74,262.01,18.3,-
Trading Asset Securities,-,10.63,-,-,-,-,-,-
Cash & Short-Term Investments,140.34,71.89,13.07,13.63,46.74,262.01,18.3,-
Cash Growth,222.30%,449.97%,-4.09%,-70.84%,-82.16%,1332.11%,-,-
Accounts Receivable,"1,013","1,029",881.63,775.84,730.27,625.64,567.13,-
Other Receivables,87.48,120.43,129.15,92.51,74.72,75.2,55.15,-
Receivables,"1,100","1,149","1,011",868.35,805,700.84,622.28,-
Inventory,639.2,640.57,402.78,430.52,299.22,300.06,198.47,-
Prepaid Expenses,36.5,31.52,30.02,31.76,29.66,27.48,31.63,-
Total Current Assets,"2,780","1,893","1,457","1,344","1,181","1,290",870.68,-
"Property, Plant & Equipment",335.08,500.03,513.35,475.28,524.64,450.71,432.55,-
Long-Term Investments,6.86,0.67,0.72,0.74,2.66,2.48,2.37,-
Goodwill,"2,371","2,672","2,608","2,576","2,658","1,669","1,411",-
Other Intangible Assets,521.61,811.48,881.48,975.86,"1,112","1,096","1,066",-
Long-Term Deferred Tax Assets,-,5.58,-,-,-,-,-,-
Long-Term Deferred Charges,6.45,2.47,7.2,2.02,8.95,5.21,6.06,-
Other Long-Term Assets,21.95,32.75,57.08,65.93,26.76,25.5,19.7,-
Total Assets,"6,049","5,926","5,533","5,441","5,513","4,541","3,817",-
Accounts Payable,954.5,941.29,641.61,526.92,408.11,355.75,252.76,-
Accrued Expenses,252.93,292.45,312.43,222.88,227.15,230.44,240.26,-
Current Portion of Long-Term Debt,51.87,48.73,32.27,30.41,40.54,22.5,18.48,-
Current Portion of Leases,42.94,81.78,82.19,77.45,84.68,68.51,71.02,-
Current Unearned Revenue,8.3,11,30.85,29.04,10.49,22.76,3.31,-
Other Current Liabilities,239.43,53.09,149.08,45.81,121.2,42.83,36.15,-
Total Current Liabilities,"1,550","1,428","1,248",932.51,892.16,742.79,621.97,-
Long-Term Debt,"2,465","2,562","3,332","3,364","3,393","2,671","2,164",-
Long-Term Leases,139.17,212.61,224.18,204.91,252.09,211.95,190.15,-
Long-Term Unearned Revenue,4.51,0.76,1.35,1.49,1.72,1.2,1.32,-
Long-Term Deferred Tax Liabilities,10.44,-,23.67,79.39,98.16,88.28,65.68,-
Other Long-Term Liabilities,59.06,71,90.6,74.45,75.32,90.14,64.13,-
Total Liabilities,"4,228","4,275","4,920","4,657","4,713","3,806","3,107",-
Common Stock,1.81,1.74,1.18,1.18,1.18,745.18,745.88,-
Additional Paid-In Capital,"1,932","1,867",771.34,778.12,772.45,11.38,5.15,-
Retained Earnings,-108.57,-222.16,-200.32,-45.72,0.97,-51.75,-94.28,-
Comprehensive Income & Other,-6.29,1.42,12.54,21.19,0.22,0.19,0.13,-
Total Common Equity,"1,819","1,648",584.74,754.78,774.82,704.98,656.87,-
Minority Interest,2.46,3.73,27.81,29.31,25.65,30.39,53.36,-
Shareholders' Equity,"1,821","1,652",612.55,784.08,800.46,735.38,710.23,-
Total Liabilities & Equity,"6,049","5,926","5,533","5,441","5,513","4,541","3,817",-
Total Debt,"2,699","2,905","3,671","3,677","3,771","2,974","2,443",-
Net Cash (Debt),"-2,559","-2,833","-3,658","-3,663","-3,724","-2,712","-2,425",-
Net Cash Per Share,-11.96,-14.68,-31.03,-31.09,-30.58,-23.06,-21.89,-
Filing Date Shares Outstanding,206.54,201.16,197.38,171.19,117.59,117.01,110.79,76.12
Total Common Shares Outstanding,206.87,200.43,117.86,117.86,117.59,117.01,110.79,76.12
Working Capital,"1,230",464.72,208.2,411.75,288.45,547.59,248.71,-
Book Value Per Share,8.79,8.22,4.96,6.40,6.59,6.02,5.93,-
Tangible Book Value,"-1,074","-1,835","-2,905","-2,797","-2,995","-2,060","-1,820",-
Tangible Book Value Per Share,-5.19,-9.16,-24.65,-23.73,-25.47,-17.61,-16.43,-
Land,-,8.36,8.4,8.79,7.1,7.6,7.36,-
Buildings,-,37.6,36.21,36.87,37.71,30.3,23.59,-
Machinery,-,237.03,202.29,167.31,142.39,110.67,101.94,-
Construction In Progress,-,0.89,1.55,2.33,8.8,20.48,8.08,-
Leasehold Improvements,-,105.76,91.87,80.63,64.84,45.32,30.88,-
