Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Jan '24Jan 2, 2024","Jan '23Jan 3, 2023","Dec '21Dec 28, 2021","Dec '20Dec 29, 2020","Dec '19Dec 31, 2019","Jan '19Jan 1, 2019","Jan '18Jan 2, 2018","Jan '17Jan 3, 2017","Dec '15Dec 29, 2015"
Revenue,"3,711","3,582","3,440","3,303","2,928","1,983","2,483","2,332","2,261","2,276","2,101"
Revenue Growth (YoY),4.90%,4.13%,4.13%,12.83%,47.62%,-20.12%,6.45%,3.18%,-0.67%,8.34%,6.27%
Cost of Revenue,"2,218","2,174","2,131","2,112","1,726","1,237","1,461","1,367","1,297","1,287","1,189"
Gross Profit,"1,493","1,407","1,309","1,191","1,202",746.31,"1,021",965.32,963.52,989.09,911.76
"Selling, General & Admin",493.6,473.81,450.41,427.81,392.16,346.35,339.3,258.92,244.48,284.98,268.15
Other Operating Expenses,642.66,609.95,589.65,570.15,585.97,427.05,452.23,462.39,449.6,401.18,369.63
Operating Expenses,"1,275","1,213","1,159","1,107","1,082",875.58,893.09,828.51,800.33,787.99,740.5
Operating Income,218.46,194.39,149.72,83.69,119.97,-129.28,128.15,136.81,163.19,201.11,171.26
Interest Expense,-9.59,-10.11,-10.16,-7.49,-10.7,-8.6,-2.5,-6.78,-5.9,-5.6,-3.5
Earnings From Equity Investments,-,-,-,-,-,-,39.23,-4.75,-0.48,-,-
Other Non Operating Income (Expenses),2.32,2.84,1.61,1.45,-,-,-,-,-,-3.63,-0.29
EBT Excluding Unusual Items,211.2,187.12,141.16,77.65,109.27,-137.88,164.88,125.27,156.81,191.88,167.46
Merger & Restructuring Charges,-,-,-,-,-,-2.7,-5.27,-,-,-0.11,-
Impairment of Goodwill,-,-,-,-,-,-79.4,-,-,-,-,-
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-2.1
Asset Writedown,-15.72,-13.65,-29.46,-31.39,-18.14,-139.93,-18.25,-17.86,-10.34,-,-6.01
Other Unusual Items,-17.95,-2.43,-11.69,-13.37,-19.51,3.87,-1.03,-,-,-,-
Pretax Income,177.53,171.05,100.01,32.89,71.62,-356.04,140.33,107.41,146.47,191.77,159.35
Income Tax Expense,16.72,14.26,-1.34,-10.23,-0.75,-102.67,13.04,8.38,-10.93,52.27,42.83
Net Income,160.81,156.78,101.35,43.12,72.37,-253.37,127.29,99.04,157.39,139.49,116.52
Preferred Dividends & Other Adjustments,-,-,-,-,23.24,23.74,-,-,-,-,-
Net Income to Common,160.81,156.78,101.35,43.12,49.13,-277.11,127.29,99.04,157.39,139.49,116.52
Net Income Growth,25.33%,54.69%,135.03%,-40.42%,-,-,28.53%,-37.08%,12.83%,19.71%,15.05%
Shares Outstanding (Basic),47,48,48,50,48,44,44,45,47,48,49
Shares Outstanding (Diluted),49,49,49,50,49,44,45,46,48,49,51
Shares Change (YoY),0.35%,-0.15%,-2.71%,3.92%,10.58%,-1.52%,-3.61%,-4.02%,-2.47%,-2.44%,-1.90%
EPS (Basic),3.41,3.28,2.10,0.87,1.03,-6.32,2.90,2.19,3.35,2.91,2.39
EPS (Diluted),3.29,3.20,2.07,0.86,1.01,-6.32,2.86,2.14,3.27,2.83,2.30
EPS Growth,24.69%,54.59%,140.70%,-15.23%,-,-,33.65%,-34.56%,15.55%,23.04%,17.35%
Free Cash Flow,159.48,107.96,66.84,49.46,146.06,-47.42,145,188.41,118.02,200.56,93.79
Free Cash Flow Per Share,3.26,2.20,1.36,0.98,3.01,-1.08,3.25,4.08,2.45,4.06,1.85
Dividend Per Share,1.080,1.080,1.080,0.810,-,0.360,1.380,1.240,1.060,0.880,0.730
Dividend Growth,-,-,33.33%,-,-,-73.91%,11.29%,16.98%,20.46%,20.55%,19.67%
Gross Margin,40.24%,39.30%,38.05%,36.06%,41.05%,37.63%,41.13%,41.39%,42.62%,43.46%,43.41%
Operating Margin,5.89%,5.43%,4.35%,2.53%,4.10%,-6.52%,5.16%,5.87%,7.22%,8.84%,8.15%
Profit Margin,4.33%,4.38%,2.95%,1.31%,1.68%,-13.97%,5.13%,4.25%,6.96%,6.13%,5.55%
Free Cash Flow Margin,4.30%,3.01%,1.94%,1.50%,4.99%,-2.39%,5.84%,8.08%,5.22%,8.81%,4.46%
EBITDA,324.86,295.44,243.25,174.47,208.52,-38.46,215.38,230.69,253.42,289.72,256.82
EBITDA Margin,8.75%,8.25%,7.07%,5.28%,7.12%,-1.94%,8.67%,9.89%,11.21%,12.73%,12.23%
D&A For EBITDA,106.4,101.05,93.54,90.78,88.55,90.82,87.23,93.88,90.23,88.61,85.56
EBIT,218.46,194.39,149.72,83.69,119.97,-129.28,128.15,136.81,163.19,201.11,171.26
EBIT Margin,5.89%,5.43%,4.35%,2.53%,4.10%,-6.52%,5.16%,5.87%,7.22%,8.84%,8.15%
Effective Tax Rate,9.42%,8.34%,-,-,-,-,9.29%,7.80%,-,27.26%,26.88%
Advertising Expenses,-,36.5,34.7,24,19.9,16,10.6,6.1,6.1,7.4,5
