Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Jan '24Jan 2, 2024","Jan '23Jan 3, 2023","Dec '21Dec 28, 2021","Dec '20Dec 29, 2020","Dec '19Dec 31, 2019","Jan '19Jan 1, 2019","Jan '18Jan 2, 2018","Jan '17Jan 3, 2017","Dec '15Dec 29, 2015"
Market Capitalization,"2,242","2,421","1,745","1,663","2,069","1,686","1,734","1,973","2,258","2,819","2,303"
Market Cap Growth,-4.65%,38.79%,4.88%,-19.60%,22.74%,-2.81%,-12.07%,-12.64%,-19.90%,22.37%,-7.93%
Enterprise Value,"4,192","4,258","3,541","3,360","3,764","3,393","2,813","2,105","2,382","2,851","2,359"
Last Close Price,44.35,46.48,32.74,29.85,35.72,33.31,34.60,37.54,41.51,48.98,37.94
PE Ratio,13.67,15.44,17.21,38.57,42.11,-,13.63,19.92,14.35,20.21,19.77
Forward PE,11.43,13.31,11.68,11.76,13.75,32.21,14.25,16.47,19.06,19.59,18.84
PS Ratio,0.56,0.68,0.51,0.50,0.71,0.85,0.70,0.85,1.00,1.24,1.10
PB Ratio,5.19,5.46,5.49,5.70,6.27,3.33,3.03,3.45,3.68,4.67,3.91
P/TBV Ratio,12.95,12.63,26.30,41.09,26.37,47.44,12.89,3.62,3.83,4.86,4.07
P/FCF Ratio,14.07,22.43,26.10,33.63,14.17,-,11.96,10.47,19.13,14.05,24.56
P/OCF Ratio,7.00,9.02,7.99,10.27,9.71,579.68,7.93,6.77,9.46,8.91,9.30
PEG Ratio,1.21,1.20,0.66,1.22,2.75,2.74,1.04,1.16,1.44,1.43,1.36
EV/Sales Ratio,1.13,1.19,1.03,1.02,1.29,1.71,1.13,0.90,1.05,1.25,1.12
EV/EBITDA Ratio,12.90,14.41,14.56,19.26,18.05,-,13.06,9.13,9.40,9.84,9.19
EV/EBIT Ratio,19.19,21.90,23.65,40.15,31.37,-,21.95,15.39,14.60,14.18,13.78
EV/FCF Ratio,26.29,39.44,52.99,67.94,25.77,-,19.40,11.18,20.18,14.22,25.15
Debt / Equity Ratio,5.03,4.30,5.85,6.30,5.50,3.23,2.81,0.22,0.19,0.17,0.15
Debt / EBITDA Ratio,3.67,3.53,3.91,4.64,4.38,10.89,4.08,0.53,0.47,0.35,0.34
Debt / FCF Ratio,13.41,17.68,27.83,37.21,12.43,-,11.09,0.65,1.00,0.50,0.94
Asset Turnover,1.20,1.22,1.23,1.19,1.06,0.71,1.20,1.76,1.72,1.80,1.75
Inventory Turnover,33.30,35.59,37.64,42.93,42.03,28.60,33.94,33.57,33.48,37.33,35.35
Quick Ratio,0.39,0.30,0.27,0.37,0.51,0.46,0.25,0.28,0.27,0.36,0.43
Current Ratio,0.55,0.47,0.46,0.53,0.64,0.58,0.40,0.47,0.52,0.59,0.64
Return on Equity (ROE),39.14%,41.18%,33.23%,13.86%,17.29%,-46.98%,22.28%,16.72%,25.87%,23.41%,20.35%
Return on Assets (ROA),4.42%,4.13%,3.33%,1.88%,2.70%,-2.89%,3.85%,6.46%,7.77%,9.95%,8.94%
Return on Capital (ROIC),5.63%,5.36%,4.34%,2.44%,3.50%,-3.74%,5.57%,11.99%,14.21%,18.21%,16.34%
Return on Capital Employed (ROCE),8.80%,8.30%,6.90%,4.00%,5.50%,-,5.80%,15.20%,17.50%,21.90%,19.40%
Earnings Yield,7.17%,6.48%,5.81%,2.59%,3.50%,-15.03%,7.34%,5.02%,6.97%,4.95%,5.06%
FCF Yield,7.11%,4.46%,3.83%,2.97%,7.06%,-2.81%,8.36%,9.55%,5.23%,7.12%,4.07%
Dividend Yield,2.40%,2.32%,3.30%,2.71%,-,1.08%,3.99%,3.30%,2.55%,1.80%,1.92%
Payout Ratio,32.83%,33.83%,52.50%,98.03%,26.25%,-,47.70%,56.80%,31.70%,30.38%,30.87%
Buyback Yield / Dilution,-0.35%,0.15%,2.71%,-3.92%,-10.58%,1.52%,3.61%,4.02%,2.47%,2.44%,1.90%
Total Shareholder Return,2.05%,2.48%,6.00%,-1.21%,-10.58%,2.60%,7.60%,7.33%,5.03%,4.23%,3.82%
