Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Jan '24Jan 2, 2024","Jan '23Jan 3, 2023","Dec '21Dec 28, 2021","Dec '20Dec 29, 2020","Dec '19Dec 31, 2019","Jan '19Jan 1, 2019","Jan '18Jan 2, 2018","Jan '17Jan 3, 2017","Dec '15Dec 29, 2015"
Cash & Equivalents,189.98,84.18,56.29,114.78,189.63,154.09,58.42,26.58,6.01,53.84,43.85
Cash & Short-Term Investments,189.98,84.18,56.29,114.78,189.63,154.09,58.42,26.58,6.01,53.84,43.85
Cash Growth,263.84%,49.54%,-50.96%,-39.47%,23.07%,163.77%,119.79%,342.38%,-88.84%,22.77%,-24.41%
Accounts Receivable,93.17,89.42,79.43,82.3,75.9,75.79,90.3,20.93,19.87,15.63,14.16
Other Receivables,18.09,40.5,44.34,44.74,60.78,36.89,4.63,68.19,82.53,64.59,91.4
Receivables,111.26,129.92,123.76,127.03,136.68,112.68,94.93,89.12,102.4,80.22,105.56
Inventory,63.41,64.53,57.65,55.56,42.84,39.29,47.23,38.89,42.56,34.93,34.01
Prepaid Expenses,59.29,54.69,63.09,48.4,36.45,35.31,43.95,40.65,57.67,52.44,41.98
Total Current Assets,423.94,333.31,300.8,345.77,405.59,341.36,244.52,195.23,208.63,221.43,225.4
"Property, Plant & Equipment","2,339","2,241","2,093","2,015","1,983","2,025","2,073",913.28,935.05,910.13,892.19
Long-Term Investments,-,-,-,-,-,-,-,79.77,59.52,42,-
Goodwill,-,1.45,1.45,1.45,1.45,1.45,78.36,-,-,-,-
Other Intangible Assets,252.11,250.34,250.28,250.07,250.25,251.71,358.85,26.21,24.07,23.05,21.97
Long-Term Deferred Tax Assets,-,97.85,91.94,76.25,57.63,37.89,3.38,1.6,-,-,-
Other Long-Term Assets,226,117.68,102.67,86.65,100.22,89.49,82.92,98.06,105.8,96.7,93.79
Total Assets,"3,241","3,042","2,840","2,775","2,798","2,747","2,841","1,314","1,333","1,293","1,233"
Accounts Payable,55.55,62.09,63.15,66.64,54.09,58.43,61.95,49.07,50.98,41.56,47.77
Accrued Expenses,291.88,245.23,214.2,220.38,227.94,193.72,219.84,194.38,183.02,179.03,158.31
Current Portion of Leases,165.91,157.14,134.91,139.1,131.82,132.52,128.08,-,-,-,-
Current Income Taxes Payable,-,-,-,-,-,-,-,0.71,-,2.3,-
Current Unearned Revenue,189.35,226.81,222.92,219.81,211.18,184.66,187.98,172.34,163.95,153.63,144.14
Other Current Liabilities,-,20.16,25.5,10.75,11.25,16.74,16.74,-,-,-,-
Total Current Liabilities,771.4,711.42,660.67,656.68,636.27,586.07,614.59,416.5,397.95,376.53,350.23
Long-Term Debt,560.44,452.06,470.05,468.03,466.02,280,290,123.1,118.63,100.58,87.84
Long-Term Leases,"1,344","1,299","1,255","1,233","1,218","1,224","1,190",-,-,-,-
Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,33.85,52.12,57.22,82.4,82.52
Other Long-Term Liabilities,140.13,135.8,136.65,125.01,147.4,149.73,140.55,151.36,145.74,130.61,124.22
Total Liabilities,"2,816","2,598","2,522","2,483","2,468","2,240","2,269",743.07,719.53,690.11,644.81
Common Stock,1.1,1.08,1.07,1.06,1.05,0.99,0.98,0.97,0.95,0.95,0.93
Additional Paid-In Capital,"1,001",956.11,913.44,887.49,862.76,878.15,855.99,828.68,799.86,774.14,710.24
Retained Earnings,"1,398","1,318","1,216","1,170","1,169","1,110","1,408","1,384","1,346","1,238","1,141"
Treasury Stock,"-1,973","-1,830","-1,812","-1,766","-1,703","-1,697","-1,693","-1,642","-1,533","-1,410","-1,263"
Comprehensive Income & Other,-1.24,-1.61,-0.69,-0.98,-0.29,-3.79,-0.44,-0.94,-0.09,-,-
Total Common Equity,425.35,443.46,318.06,292,330.17,288.69,571.74,571.06,613.53,603.21,588.54
Shareholders' Equity,425.35,443.46,318.06,292,330.17,506.94,571.74,571.06,613.53,603.21,588.54
Total Liabilities & Equity,"3,241","3,042","2,840","2,775","2,798","2,747","2,841","1,314","1,333","1,293","1,233"
Total Debt,"2,139","1,908","1,860","1,841","1,816","1,637","1,608",123.1,118.63,100.58,87.84
Net Cash (Debt),"-1,949","-1,824","-1,804","-1,726","-1,626","-1,483","-1,550",-96.52,-112.62,-46.74,-43.99
Net Cash Per Share,-39.87,-37.25,-36.77,-34.23,-33.53,-33.80,-34.79,-2.09,-2.34,-0.95,-0.87
Filing Date Shares Outstanding,49.84,51.64,51.12,51.65,52.74,45.83,44.96,45.12,45.9,47.73,48.49
Total Common Shares Outstanding,49.82,51.33,50.65,51.17,52.23,45.62,44.77,44.83,45.88,47.69,49.06
Working Capital,-347.46,-378.11,-359.87,-310.91,-230.68,-244.71,-370.07,-221.27,-189.32,-155.1,-124.83
Book Value Per Share,8.54,8.64,6.28,5.71,6.32,6.33,12.77,12.74,13.37,12.65,12.00
Tangible Book Value,173.24,191.67,66.34,40.48,78.47,35.53,134.54,544.85,589.47,580.15,566.57
Tangible Book Value Per Share,3.48,3.73,1.31,0.79,1.50,0.78,3.01,12.15,12.85,12.16,11.55
Land,-,17.3,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85
Buildings,-,44.53,44.18,44.14,44.05,44.05,44.05,44.04,37.63,37.61,20.61
Machinery,-,658.06,625.93,584.92,550.42,530.61,548.08,467.05,456.06,428.65,387.78
Construction In Progress,-,75.43,58.07,36.68,35.07,46.49,23.73,27.98,23.45,20.84,28.73
Leasehold Improvements,-,"1,331","1,291","1,226","1,189","1,154","1,158","1,283","1,258","1,187","1,127"
