Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,219.92,227.6,187.62,136.22,165.67,184.3,121.2,66.34,57.19,43.38,45.56
Cash & Short-Term Investments,219.92,227.6,187.62,136.22,165.67,184.3,121.2,66.34,57.19,43.38,45.56
Cash Growth,1.03%,21.31%,37.73%,-17.77%,-10.11%,52.06%,82.69%,16.00%,31.82%,-4.78%,-31.79%
Accounts Receivable,958.61,947.52,842.24,635.94,551.56,418.89,393.73,239.93,185.76,164.07,114.52
Other Receivables,17.11,9.43,8.81,20.89,6.84,7.4,4.15,9.34,4.4,2.58,9.63
Receivables,975.71,956.95,851.05,656.84,558.41,426.29,397.88,249.26,190.16,166.66,124.15
Inventory,291.4,279.63,246.19,242.34,161.39,141.98,94.51,48.23,37.96,29.71,16.16
Prepaid Expenses,88.74,79.09,56.89,50.35,50.6,42.11,41.46,37.74,31.37,25.85,21.75
Restricted Cash,25.6,16.09,19.26,23.13,28.61,24.64,13.09,13.5,9.71,13.45,3.77
Total Current Assets,"1,601","1,559","1,361","1,109",964.66,819.32,668.14,415.07,326.38,303.79,230.22
"Property, Plant & Equipment",561.8,494.51,422.49,372.56,297.8,279.75,264.44,98.1,85.42,73.08,57.58
Goodwill,"1,473","1,395","1,180",886.09,843.36,703.74,644.85,335.16,291.92,266.17,220.65
Other Intangible Assets,718.09,715.48,628.01,368.45,382.11,378.76,366.22,148.8,133.84,121.12,79.48
Long-Term Deferred Tax Assets,2.13,2.11,1.75,1.7,1.76,2.05,2.84,-,0.78,1.69,6.55
Other Long-Term Assets,28.94,28.01,32.67,36.85,19.34,12.92,8.99,10.35,9.92,5.12,6.01
Total Assets,"4,385","4,195","3,626","2,775","2,509","2,197","1,955","1,007",848.27,770.96,600.48
Accounts Payable,171.97,174.07,143.35,115.99,100.13,98.5,76.23,41.71,41.1,32.36,24.14
Accrued Expenses,382.09,360.7,320.59,275.93,280.91,248.46,163.99,131.21,116.72,102.41,77.66
Current Portion of Long-Term Debt,-0,30,37.13,35.67,57.44,56.48,5.55,3.92,2.75,1.04,4.04
Current Portion of Leases,71.83,64.68,50.9,49.15,48.05,35.32,30.62,-,-,-,-
Current Income Taxes Payable,7.07,8.38,1.47,2.79,2.55,7.89,-,-,-,5.12,1.55
Current Unearned Revenue,217.24,190.89,178.59,125.54,116.42,90.13,74.1,36.75,39.02,28.87,18.47
Other Current Liabilities,57.75,22.05,38.75,31.93,12.98,6.97,7.72,13.37,14.11,3.38,2.45
Total Current Liabilities,907.94,850.77,770.77,636.99,618.47,543.75,358.21,226.95,213.7,175.12,130.1
Long-Term Debt,"1,168","1,240","1,125",698.8,595.37,533.13,761.08,330.61,266.87,249.87,197.16
Long-Term Leases,272.12,231.45,203.97,168.56,122.34,128.79,111.25,-,-,-,-
Long-Term Unearned Revenue,25.37,23.28,21.38,17.86,15.08,13.94,12.59,13.45,15.55,-,-
Long-Term Deferred Tax Liabilities,100.8,84.9,53.02,51.1,42.07,41.35,58.24,6.58,0.95,31.17,13.97
Other Long-Term Liabilities,99.41,127.27,94.56,60.31,96.84,82.15,53.56,42.08,41.2,31.43,14.67
Total Liabilities,"2,574","2,558","2,269","1,634","1,490","1,343","1,355",619.66,538.27,487.58,355.9
Common Stock,"1,005",929.91,855.82,813.03,797.43,770.03,605.43,148.71,143.77,138.19,136.07
Additional Paid-In Capital,111.29,104.79,95.22,83.01,68.25,59.3,50.79,45.1,41.46,46.24,43.98
Retained Earnings,233.98,165.47,77.48,17.35,-67.92,-171.09,-229.87,45.54,7.55,-0.99,-10.15
Comprehensive Income & Other,-10.58,-12.43,-4.37,-5.92,1.97,2.15,-0.46,-3.12,-0.49,-2.41,-2.87
Total Common Equity,"1,339","1,188","1,024",907.47,799.72,660.4,425.89,236.23,192.29,181.03,167.03
Minority Interest,472.17,449.34,332.96,233.43,219.14,193.03,174.66,151.59,117.71,102.35,77.56
Shareholders' Equity,"1,812","1,637","1,357","1,141","1,019",853.43,600.55,387.81,309.99,283.38,244.59
Total Liabilities & Equity,"4,385","4,195","3,626","2,775","2,509","2,197","1,955","1,007",848.27,770.96,600.48
Total Debt,"1,512","1,566","1,417",952.17,823.19,753.71,908.49,334.52,269.63,250.91,201.2
