Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"5,479","5,217","4,335","3,746","3,249","2,772","2,407","1,931","1,729","1,483","1,264"
Revenue Growth (YoY),11.13%,20.36%,15.72%,15.29%,17.19%,15.16%,24.64%,11.71%,16.60%,17.31%,11.67%
Cost of Revenue,"3,649","3,499","2,947","2,566","2,203","1,872","1,634","1,320","1,189","1,050",883.96
Gross Profit,"1,831","1,718","1,388","1,180","1,046",900.62,773.31,611.22,540.22,432.8,380.11
"Selling, General & Admin","1,294","1,230",993.2,846.43,733.6,628.52,546.26,426.38,385.04,305.22,279.24
Amortization of Goodwill & Intangibles,79.38,72.4,54.24,48.73,43.89,46.46,38.7,17.52,14.35,14.2,10.15
Operating Expenses,"1,479","1,395","1,121",956.57,832.57,726.91,625.81,479.15,427.09,342.19,308.22
Operating Income,352.3,323.11,266.41,223.55,213.67,173.71,147.5,132.07,113.13,90.61,71.9
Interest Expense,-77.76,-82.85,-47.36,-25.19,-16.04,-24.32,-32.08,-12.62,-9.87,-9.15,-9.08
Other Non Operating Income (Expenses),3.08,3.24,1.46,0.15,3.59,0.36,-0.07,0.25,1.52,0.23,-0.06
EBT Excluding Unusual Items,277.63,243.5,220.5,198.5,201.22,149.76,115.35,119.71,104.78,81.69,62.76
Merger & Restructuring Charges,-10.52,14.4,-21.52,-4.52,-12.02,-4.3,-7.54,-4.5,-2.02,-0.06,-0.41
Impairment of Goodwill,-,-,-,-,-,-,-,-,-6.15,-,-
Gain (Loss) on Sale of Assets,-,-,4.35,-,19.81,-,6.08,-,-,-,-
Other Unusual Items,-,-,-,-,-,-,-314.38,-,-,-,-0.74
Pretax Income,267.11,257.9,203.34,193.98,209.01,145.46,-200.48,115.2,96.62,81.63,61.61
Income Tax Expense,76.53,70.12,56.32,48.97,52.88,35.87,27.15,24.92,21.57,27.39,23.41
Earnings From Continuing Operations,190.58,187.77,147.02,145.01,156.13,109.59,-227.63,90.28,75.05,54.24,38.2
Minority Interest in Earnings,-52.03,-53.4,-46.63,-23.93,-20.92,-22.33,-23.98,-24.42,-23.6,-20.65,-16.8
Net Income,138.55,134.38,100.39,121.07,135.21,87.26,-251.61,65.87,51.45,33.6,21.4
Net Income to Common,138.55,134.38,100.39,121.07,135.21,87.26,-251.61,65.87,51.45,33.6,21.4
Net Income Growth,28.09%,33.85%,-17.08%,-10.46%,54.95%,-,-,28.01%,53.14%,57.03%,64.96%
Shares Outstanding (Basic),45,45,45,44,44,43,38,36,36,36,36
Shares Outstanding (Diluted),46,45,45,44,44,43,38,37,37,36,36
Shares Change (YoY),1.37%,1.08%,0.68%,0.21%,2.82%,12.97%,4.52%,0.03%,0.53%,-0.16%,0.17%
EPS (Basic),3.05,2.98,2.25,2.74,3.08,2.04,-6.58,1.83,1.43,0.93,0.59
EPS (Diluted),3.03,2.97,2.24,2.72,3.05,2.02,-6.58,1.80,1.41,0.92,0.59
EPS Growth,26.06%,32.59%,-17.65%,-10.82%,50.99%,-,-,27.66%,53.26%,55.93%,63.89%
Free Cash Flow,288.65,172.88,187.63,28.28,109.07,252.35,61.18,58.86,79.38,79.88,67.4
Free Cash Flow Per Share,6.32,3.82,4.19,0.64,2.46,5.84,1.60,1.61,2.17,2.20,1.85
Dividend Per Share,1.075,1.000,0.900,0.810,0.730,0.660,0.600,0.540,0.490,0.440,0.300
Dividend Growth,10.26%,11.11%,11.11%,10.96%,10.61%,10.00%,11.11%,10.20%,11.36%,46.67%,-
Gross Margin,33.41%,32.93%,32.01%,31.50%,32.20%,32.48%,32.12%,31.64%,31.24%,29.19%,30.07%
Operating Margin,6.43%,6.19%,6.15%,5.97%,6.58%,6.27%,6.13%,6.84%,6.54%,6.11%,5.69%
Profit Margin,2.53%,2.58%,2.32%,3.23%,4.16%,3.15%,-10.45%,3.41%,2.98%,2.27%,1.69%
Free Cash Flow Margin,5.27%,3.31%,4.33%,0.76%,3.36%,9.10%,2.54%,3.05%,4.59%,5.39%,5.33%
EBITDA,536.57,488.38,394.34,333.69,312.63,272.09,227.06,184.84,155.18,127.58,100.88
EBITDA Margin,9.79%,9.36%,9.10%,8.91%,9.62%,9.81%,9.43%,9.57%,8.97%,8.60%,7.98%
D&A For EBITDA,184.27,165.27,127.93,110.14,98.97,98.38,79.56,52.77,42.05,36.97,28.98
EBIT,352.3,323.11,266.41,223.55,213.67,173.71,147.5,132.07,113.13,90.61,71.9
EBIT Margin,6.43%,6.19%,6.15%,5.97%,6.58%,6.27%,6.13%,6.84%,6.54%,6.11%,5.69%
Effective Tax Rate,28.65%,27.19%,27.70%,25.25%,25.30%,24.66%,-,21.63%,22.32%,33.55%,38.00%
