Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
Revenue,"13,600","12,406","4,640",491.65
Revenue Growth (YoY),50.77%,167.35%,843.79%,-
Cost of Revenue,"6,907","6,480","2,569",346.13
Gross Profit,"6,694","5,925","2,071",145.52
"Selling, General & Admin","3,633","2,466",724.53,185.59
Other Operating Expenses,695.24,572.6,272.72,75.76
Operating Expenses,"4,328","3,039",997.3,261.36
Operating Income,"2,365","2,887","1,074",-115.84
Interest & Investment Income,86.63,37.31,17.02,1.92
Other Non Operating Income (Expenses),98.5,118.19,-84.79,1.55
Pretax Income,"2,550","3,042","1,006",-112.38
Income Tax Expense,504.94,527.51,203.76,-21.66
Earnings From Continuing Operations,"2,045","2,515",802.57,-90.72
Minority Interest in Earnings,3.08,1.52,-1.66,-
Net Income,"2,048","2,516",800.9,-90.72
Preferred Dividends & Other Adjustments,"1,060","1,081",273.96,54.6
Net Income to Common,988.55,"1,435",526.94,-145.32
Net Income Growth,12.31%,214.16%,-,-
Shares Outstanding (Basic),116,101,104,100
Shares Outstanding (Diluted),134,101,153,100
Shares Change (YoY),-7.02%,-34.11%,52.73%,-
EPS (Basic),8.50,14.26,5.04,-1.45
EPS (Diluted),8.50,14.26,4.98,-1.45
EPS Growth,-19.95%,186.29%,-,-
Free Cash Flow,"2,073","2,612","1,902",32.3
Free Cash Flow Per Share,15.44,25.96,12.45,0.32
Gross Margin,49.22%,47.76%,44.64%,29.60%
Operating Margin,17.39%,23.27%,23.15%,-23.56%
Profit Margin,7.27%,11.57%,11.36%,-29.56%
Free Cash Flow Margin,15.24%,21.06%,40.98%,6.57%
EBITDA,"2,439","2,948","1,084",-110.93
EBITDA Margin,17.93%,23.76%,23.37%,-22.56%
D&A For EBITDA,73.81,60.9,10.37,4.91
EBIT,"2,365","2,887","1,074",-115.84
EBIT Margin,17.39%,23.27%,23.15%,-23.56%
Effective Tax Rate,19.80%,17.34%,20.25%,-
Revenue as Reported,"13,600","12,406","4,640",491.65
Advertising Expenses,-,781.2,140.42,39.9
