Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
Market Capitalization,"2,712",-,-,-
Enterprise Value,"1,582",-,-,-
Debt / Equity Ratio,0.09,0.15,0.08,1.41
Debt / EBITDA Ratio,0.29,0.18,0.10,-
Debt / FCF Ratio,0.36,0.21,0.06,1.96
Asset Turnover,1.69,2.60,2.78,-
Inventory Turnover,35.02,41.68,47.74,-
Quick Ratio,4.22,2.20,1.74,0.75
Current Ratio,4.46,2.37,1.82,0.93
Return on Equity (ROE),38.71%,100.90%,119.70%,-
Return on Assets (ROA),18.41%,37.82%,40.23%,-
Return on Capital (ROIC),25.21%,63.96%,88.72%,-
Return on Capital Employed (ROCE),26.50%,67.20%,72.20%,-120.30%
Buyback Yield / Dilution,7.02%,34.11%,-52.73%,-
