Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
Cash & Equivalents,"8,600","4,755","2,323",200.75
Short-Term Investments,259,100,100,-
Cash & Short-Term Investments,"8,859","4,855","2,423",200.75
Cash Growth,135.95%,100.39%,1106.84%,-
Accounts Receivable,163.88,123.51,92.77,19
Other Receivables,-,72.53,13,2.11
Receivables,163.88,196.51,126.14,26.09
Inventory,147.47,240.24,70.75,36.87
Restricted Cash,27.6,13.9,-,-
Other Current Assets,325.17,134.23,28.66,11.98
Total Current Assets,"9,523","5,440","2,648",275.69
"Property, Plant & Equipment","1,089",791.21,147.64,77.61
Long-Term Investments,2.82,2.4,2,0.95
Goodwill,11.84,11.84,-,-
Other Intangible Assets,10.54,8.44,-,-
Long-Term Deferred Tax Assets,262.16,253.21,126.34,30.57
Other Long-Term Assets,167.02,89.34,18.95,9.16
Total Assets,"11,067","6,596","2,943",393.96
Accounts Payable,533.67,597.09,448.32,64.3
Accrued Expenses,940.35,745.8,448.14,96.99
Current Portion of Leases,241.67,195.44,52.59,32.4
Current Income Taxes Payable,186.97,189.72,157.52,16.56
Current Unearned Revenue,234.3,265.34,205.82,26.29
Other Current Liabilities,-,304.54,142.51,61.11
Total Current Liabilities,"2,137","2,298","1,455",297.65
Long-Term Leases,507.77,352.62,56.25,31.06
Long-Term Unearned Revenue,226.69,257.31,136.09,20.23
Total Liabilities,"2,871","2,908","1,647",348.94
Common Stock,0.14,0.08,0.08,0.08
Additional Paid-In Capital,"4,727",90.85,82.66,98.67
Retained Earnings,"3,499","2,770",335.24,-406.16
Treasury Stock,-210.08,-210.08,-,-
Comprehensive Income & Other,-38.53,2.6,-9.16,-
Total Common Equity,"7,977","2,654",408.81,-307.42
Minority Interest,218.41,100.57,15.33,0.07
Shareholders' Equity,"8,196","3,688","1,296",45.03
Total Liabilities & Equity,"11,067","6,596","2,943",393.96
Total Debt,749.44,548.06,108.84,63.45
Net Cash (Debt),"8,110","4,307","2,314",137.29
Net Cash Growth,142.55%,86.13%,1585.33%,-
Net Cash Per Share,60.39,42.80,15.15,1.37
Filing Date Shares Outstanding,168.59,98.74,104.44,107.1
Total Common Shares Outstanding,168.59,98.74,104.44,107.1
Working Capital,"7,386","3,142","1,193",-21.97
Book Value Per Share,47.32,26.88,3.91,-2.87
Tangible Book Value,"7,955","2,634",408.81,-307.42
Tangible Book Value Per Share,47.18,26.67,3.91,-2.87
Machinery,-,104.68,18.19,2.55
Construction In Progress,-,4.18,-,-
Leasehold Improvements,-,212.24,28.84,13.55
