Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
"Selling, General & Admin",30.31,32.54,23.34,29.52,51.18,7.72,2.84
Operating Expenses,111.7,81.29,72.39,174.12,144.19,56.6,42.08
Operating Income,-111.7,-81.29,-72.39,-174.12,-144.19,-56.6,-42.08
Interest Expense,-,-,-,-,-1,-,-
Interest & Investment Income,1.56,0.18,1.3,1.11,-,0.05,0.3
Earnings From Equity Investments,-0.47,-0.23,-0.57,-,-,-,-
Currency Exchange Gain (Loss),-1.82,1.19,-0.31,-0.02,-0.08,-0.08,-0.07
Other Non Operating Income (Expenses),-185.68,-1.55,-1.77,2.14,9.38,-,-1.22
EBT Excluding Unusual Items,-298.1,-81.7,-73.74,-170.89,-135.9,-56.63,-43.07
Merger & Restructuring Charges,-,-,-,-,-5.4,-,-
Other Unusual Items,-0.2,-0.2,-,-,-,-,-
Pretax Income,-295.34,-81.9,-73.74,-170.89,-141.3,-56.63,-43.07
Income Tax Expense,0.17,0.05,0.04,0.08,-,-,-
Net Income,-295.51,-81.94,-73.78,-170.96,-141.3,-56.63,-43.07
Net Income to Common,-295.51,-81.94,-73.78,-170.96,-141.3,-56.63,-43.07
Shares Outstanding (Basic),362,322,289,240,205,179,131
Shares Outstanding (Diluted),362,322,289,240,205,179,131
Shares Change (YoY),14.82%,11.51%,20.34%,17.05%,14.76%,35.99%,-
EPS (Basic),-0.82,-0.25,-0.26,-0.71,-0.69,-0.32,-0.33
EPS (Diluted),-0.82,-0.25,-0.26,-0.71,-0.69,-0.32,-0.33
Free Cash Flow,-45.4,-43.98,-60.15,-67.77,-56.49,-27.14,-17.2
Free Cash Flow Per Share,-0.13,-0.14,-0.21,-0.28,-0.28,-0.15,-0.13
EBITDA,-111.44,-80.93,-72.03,-173.7,-143.74,-56.04,-41.74
D&A For EBITDA,0.26,0.36,0.36,0.42,0.45,0.56,0.34
EBIT,-111.7,-81.29,-72.39,-174.12,-144.19,-56.6,-42.08
