Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Market Capitalization,"2,101",383,337,204,469,404,-
Market Cap Growth,565.02%,13.58%,64.83%,-56.36%,16.12%,-,-
Enterprise Value,"1,985",392,314,138,356,-,-
Last Close Price,5.08,1.12,1.10,0.77,2.08,10.76,-
PB Ratio,-,-22.36,30.87,4.93,5.05,11.13,-
P/TBV Ratio,-,-,36.34,4.93,5.05,11.30,-
Debt / Equity Ratio,-,-0.69,-,-,-,-,-
Quick Ratio,2.50,0.07,0.23,1.13,3.20,1.31,8.86
Current Ratio,2.50,0.10,0.28,1.19,3.33,1.32,8.89
Return on Equity (ROE),-,-,-281.48%,-254.68%,-219.06%,-254.86%,-
Return on Assets (ROA),-58.93%,-77.04%,-55.28%,-95.50%,-95.97%,-96.91%,-
Return on Capital (ROIC),-,-1822.58%,-172.61%,-162.11%,-139.71%,-159.21%,-
Return on Capital Employed (ROCE),-86.70%,-959.80%,-192.70%,-327.50%,-135.30%,-120.60%,-254.70%
Earnings Yield,-14.07%,-21.41%,-21.89%,-83.62%,-30.16%,-14.04%,-
FCF Yield,-2.16%,-11.49%,-17.85%,-33.15%,-12.06%,-6.73%,-
Buyback Yield / Dilution,-14.82%,-11.51%,-20.34%,-17.05%,-14.76%,-35.99%,-
