Period Ending,"Nov '25Nov 18, 2025","Sep '25Sep 30, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020","Sep '19Sep 30, 2019","Sep '18Sep 30, 2018","Sep '17Sep 30, 2017","Sep '16Sep 30, 2016"
Market Capitalization,"3,760","3,672","3,579","3,280","3,605","5,278","4,055","4,963","4,135","4,459","4,990"
Market Cap Growth,1.25%,2.60%,9.12%,-9.02%,-31.70%,30.18%,-18.30%,20.04%,-7.28%,-10.63%,1.01%
Last Close Price,13.29,13.18,11.81,9.94,10.03,13.70,9.98,11.52,9.04,9.25,9.87
PE Ratio,41.97,40.37,45.79,44.52,49.35,66.44,49.61,63.05,49.11,50.69,62.54
PS Ratio,11.61,11.51,11.75,10.70,12.42,17.84,13.86,16.77,13.19,14.12,16.45
PB Ratio,1.96,1.94,1.92,1.70,1.96,3.05,2.42,2.93,2.35,2.64,3.01
P/FCF Ratio,-,-,41.85,38.31,99.52,64.52,34.19,50.02,49.38,45.96,65.84
P/OCF Ratio,-,-,40.40,36.16,92.61,63.48,33.29,48.19,44.89,44.08,58.76
Debt / Equity Ratio,2.59,2.59,2.60,2.76,2.62,1.82,2.14,2.32,2.13,2.19,1.67
Debt / FCF Ratio,-,-,56.58,62.15,133.57,38.52,30.22,39.67,44.82,38.22,36.56
Return on Equity (ROE),4.84%,4.84%,4.20%,3.99%,4.17%,4.76%,4.95%,4.64%,4.95%,5.30%,4.75%
Return on Assets (ROA),0.53%,0.53%,0.47%,0.46%,0.50%,0.56%,0.57%,0.56%,0.61%,0.67%,0.64%
Earnings Yield,2.46%,2.48%,2.22%,2.29%,2.07%,1.54%,2.05%,1.62%,2.07%,1.99%,1.61%
FCF Yield,-,-,2.39%,2.61%,1.00%,1.55%,2.93%,2.00%,2.02%,2.18%,1.52%
Dividend Yield,8.41%,8.58%,9.57%,11.36%,11.26%,8.19%,11.12%,8.85%,8.41%,5.90%,4.30%
Payout Ratio,353.13%,-,74.07%,77.47%,78.18%,69.92%,66.57%,62.90%,44.06%,31.18%,29.07%
Buyback Yield / Dilution,-0.22%,-0.22%,-0.20%,0.04%,-0.04%,-0.28%,-0.15%,-0.03%,0.71%,1.59%,2.88%
Total Shareholder Return,8.28%,8.36%,9.37%,11.40%,11.22%,7.91%,10.96%,8.83%,9.12%,7.49%,7.19%
