Period Ending,"Sep '25Sep 30, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020","Sep '19Sep 30, 2019","Sep '18Sep 30, 2018","Sep '17Sep 30, 2017","Sep '16Sep 30, 2016"
Interest Income on Loans,706.48,663.69,565.61,395.69,381.89,440.7,458.78,422.95,394.45,375.62
Interest Income on Investments,56.7,70.39,46.31,13.64,7.46,14.6,23.31,20.09,14.55,12.82
Total Interest Income,763.18,734.07,611.92,409.33,389.35,455.3,482.09,443.05,409,388.44
Interest Paid on Deposits,308.76,292.73,174.2,76.94,97.32,140.24,143.35,102.26,87.42,90
Interest Paid on Borrowings,161.73,162.89,154.15,64.99,60.4,72.79,73.31,59.85,42.68,28.03
Total Interest Expense,470.49,455.62,328.35,141.94,157.72,213.03,216.67,162.1,130.1,118.03
Net Interest Income,292.69,278.46,283.57,267.4,231.63,242.27,265.42,280.94,278.9,270.42
Net Interest Income Growth (YoY),5.11%,-1.80%,6.05%,15.44%,-4.39%,-8.72%,-5.52%,0.73%,3.14%,0.11%
Gain (Loss) on Sale of Assets,-,-,-,-,-,4.67,-,-,-,-
Other Non-Interest Income,23.44,21.96,20.93,22.67,22.22,20.14,18.6,18.15,17.67,18.79
Total Non-Interest Income,28.78,24.7,21.43,23.8,55.3,53.25,20.46,21.54,19.85,24.95
Non-Interest Income Growth (YoY),16.51%,15.27%,-9.98%,-56.95%,3.85%,160.22%,-4.98%,8.50%,-20.45%,2.85%
Revenues Before Loan Losses,321.47,303.16,305,291.2,286.93,295.52,285.89,302.48,298.75,295.37
Provision for Loan Losses,2.5,-1.5,-1.5,1,-9,3,-10,-11,-17,-8
Revenue,318.97,304.66,306.5,290.2,295.93,292.52,295.89,313.48,315.75,303.37
Revenue Growth (YoY),4.70%,-0.60%,5.62%,-1.94%,1.17%,-1.14%,-5.61%,-0.72%,4.08%,2.01%
Salaries and Employee Benefits,109.5,98.28,102.78,98.33,95.16,91.89,92.21,89.96,83.37,82.13
Occupancy Expenses,29.35,28.31,27.73,26.78,25.71,25.3,26.43,19.83,17.6,17.15
Federal Deposit Insurance,14.17,14.57,13.45,9.36,9.09,10.63,10.43,11.19,10.06,10.38
"Selling, General & Administrative",18.63,29.23,35.29,32.27,32.89,28.63,31.14,37.68,37.89,37.1
Other Non-Interest Expense,32.61,33.95,33.87,31.4,33,35.83,33.45,33.66,33.48,28.48
Total Non-Interest Expense,204.26,204.35,213.13,198.15,195.84,192.27,193.67,192.31,182.4,181
EBT Excluding Unusual Items,114.72,100.31,93.37,92.05,100.09,100.25,102.21,121.16,133.34,122.36
Pretax Income,114.72,100.31,93.37,92.05,100.09,100.25,102.21,121.16,133.34,122.36
Income Tax Expense,23.76,20.73,18.12,17.49,19.09,16.93,21.98,35.76,44.46,41.81
Net Income,90.96,79.59,75.25,74.57,81.01,83.32,80.24,85.41,88.88,80.55
Preferred Dividends & Other Adjustments,-,1.43,1.57,1.51,1.56,1.58,1.52,1.21,0.9,0.76
Net Income to Common,90.96,78.16,73.68,73.06,79.45,81.74,78.72,84.2,87.98,79.79
Net Income Growth,14.29%,5.76%,0.92%,-7.95%,-2.77%,3.84%,-6.05%,-3.90%,10.33%,10.97%
Basic Shares Outstanding,279,278,277,277,277,276,275,276,277,282
Diluted Shares Outstanding,280,279,279,279,279,278,277,277,279,284
Shares Change (YoY),0.22%,0.20%,-0.04%,0.04%,0.28%,0.15%,0.03%,-0.71%,-1.59%,-2.88%
EPS (Basic),0.33,0.28,0.27,0.26,0.29,0.30,0.29,0.31,0.32,0.28
EPS (Diluted),0.32,0.28,0.26,0.26,0.29,0.29,0.28,0.30,0.32,0.28
EPS Growth,14.29%,7.69%,0%,-9.45%,-0.98%,3.57%,-6.67%,-5.47%,13.34%,12.81%
Dividend Per Share,1.130,1.130,1.130,1.130,1.123,1.110,1.020,0.760,0.545,0.425
Dividend Growth,-,-,-,0.67%,1.13%,8.82%,34.21%,39.45%,28.23%,37.10%
Effective Tax Rate,20.71%,20.66%,19.40%,19.00%,19.07%,16.89%,21.50%,29.51%,33.35%,34.17%
