Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,115.74,126.73,123.55,38.17,69.53,22.74,37.12,51.49,12.92,16.44,15.14
Trading Asset Securities,-,-,-,46.93,7.77,-,-,-,-,5.66,3.11
Cash & Short-Term Investments,115.74,126.73,123.55,85.1,77.31,22.74,37.12,51.49,12.92,22.1,18.26
Cash Growth,-38.52%,2.58%,45.17%,10.08%,239.90%,-38.73%,-27.91%,298.51%,-41.53%,21.04%,-
Accounts Receivable,168.49,99.32,86.13,82.73,97.76,84.93,93.63,41.13,46.19,48.2,30.35
Other Receivables,8.5,1.35,1.44,4.75,6.55,3.25,1.46,2.99,9.73,35.67,6.65
Receivables,176.99,100.67,87.57,87.47,104.31,88.18,95.09,44.12,55.92,83.87,37
Prepaid Expenses,12.75,8.63,5.79,8.44,6.65,6.08,4.85,2.66,5.44,4.21,3.65
Other Current Assets,-,-,-,-,-,-,18.31,12.72,10.66,-,-
Total Current Assets,305.48,236.03,216.9,181.02,188.27,117.01,155.37,110.99,84.94,110.18,58.9
"Property, Plant & Equipment",76.6,31.71,29.24,34.54,25.3,18.75,13.24,8.78,8.84,9.54,6.59
Long-Term Investments,97.86,0.61,0.53,0.47,2.01,2.32,0.77,8.5,5.28,3.53,0.53
Goodwill,"1,236",981.81,981.81,981.81,981.81,404.75,404.75,284.11,284.11,284.11,219.73
Other Intangible Assets,"2,496","1,261","1,282","1,315","1,350","1,163","1,175",387.68,408,434.35,329.4
Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,-,7.45,4.31
Long-Term Deferred Charges,-,0.8,0.2,0.7,1.2,1.7,2.2,0.8,0.4,-,0.9
Other Long-Term Assets,0.33,36.02,32.1,27.73,31.37,23.56,1.51,0.65,1.06,1.8,0.02
Total Assets,"4,212","2,548","2,543","2,541","2,580","1,731","1,753",801.51,792.62,850.95,620.39
Accounts Payable,69.14,51.86,50.44,44.72,55.11,35.17,0.27,0.61,0.33,3.71,1.41
Accrued Expenses,78.85,51.65,55.46,58.46,54.81,47.28,140.87,49.87,50.87,58.79,38.8
Short-Term Debt,-,-,-,-,-,-,-,-,-,3.5,-
Current Portion of Long-Term Debt,-,-,-,-,-,10.01,-,-,-,-,-
Current Portion of Leases,7.36,2.93,4.68,5.06,-,-,-,-,-,-,-
Other Current Liabilities,10.33,6.09,6.04,6.14,7,6.98,2.9,0.1,0.1,9.28,2.7
Total Current Liabilities,165.67,112.53,116.61,114.38,116.91,99.43,144.05,50.58,51.3,75.29,42.91
Long-Term Debt,971.99,963.86,989.27,985.51,"1,128",769.01,924.54,268.95,483.9,419.77,311.9
Long-Term Leases,39.73,17.94,6.49,10.23,-,-,-,-,-,-,-
Long-Term Deferred Tax Liabilities,477.87,157.12,128.71,108.14,63.12,37.68,5.49,6.21,4.07,-,-
Other Long-Term Liabilities,158.11,174.5,248.54,257.23,341.87,117.07,141.37,20.22,22.17,24.89,16.15
Total Liabilities,"1,813","1,426","1,490","1,475","1,650","1,023","1,215",345.96,561.44,519.95,370.96
Common Stock,0.88,0.84,0.82,0.81,0.77,0.74,0.72,0.71,0.57,0.57,0
Additional Paid-In Capital,"2,097",752.37,728.28,705.47,673.57,647.6,624.77,604.4,435.33,421.75,321.79
Retained Earnings,"1,026",924.6,736.85,609.12,402.81,161.58,-34.71,-119.71,-183.89,-74.53,-67.83
Treasury Stock,-734.64,-574.86,-444.29,-285.43,-153.2,-94.92,-52.91,-29.76,-20.9,-16.25,-3.99
Comprehensive Income & Other,9.33,18.68,31.33,35.44,5.97,-7.46,-,-0.09,0.06,-0.54,-0.54
Shareholders' Equity,"2,399","1,122","1,053","1,065",929.93,707.54,537.87,455.55,231.18,331,249.43
Total Liabilities & Equity,"4,212","2,548","2,543","2,541","2,580","1,731","1,753",801.51,792.62,850.95,620.39
Total Debt,"1,019",984.73,"1,000","1,001","1,128",779.02,924.54,268.95,483.9,423.27,311.9
Net Cash (Debt),-903.33,-858,-876.88,-915.7,"-1,051",-756.27,-887.42,-217.46,-470.98,-401.17,-293.64
Net Cash Per Share,-13.61,-13.01,-12.85,-12.67,-14.17,-10.26,-12.08,-3.08,-7.91,-8.02,-6.11
Filing Date Shares Outstanding,64.94,63.66,64.32,67.58,68.75,67.7,67.89,67.5,55.05,54.79,46.57
Total Common Shares Outstanding,65.08,63.65,64.25,67.33,68.66,67.54,67.7,67.56,55.12,54.79,46.57
Working Capital,139.8,123.5,100.29,66.64,71.36,17.58,11.33,60.42,33.64,34.89,15.99
Book Value Per Share,36.86,17.62,16.39,15.82,13.54,10.48,7.95,6.74,4.19,6.04,5.36
Tangible Book Value,"-1,333","-1,121","-1,211","-1,231","-1,402",-859.85,"-1,042",-216.24,-460.93,-387.46,-299.7
Tangible Book Value Per Share,-20.49,-17.61,-18.84,-18.28,-20.41,-12.73,-15.40,-3.20,-8.36,-7.07,-6.44
Machinery,51.69,44.5,43.77,36.96,34.58,24.45,24.18,18.61,16.19,12.36,9.52
Leasehold Improvements,19.36,4.28,4.38,4.38,4.49,3.16,2.85,3.21,2.72,4.27,0.84
