Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"4,081","4,257","2,273","1,838","1,885","1,674","1,417",693,-,-,-
Market Cap Growth,4.95%,87.32%,23.64%,-2.48%,12.59%,18.15%,104.52%,-,-,-,-
Enterprise Value,"4,909","5,073","3,114","2,742","2,452","2,446","2,344",936,-,-,-
Last Close Price,61.78,64.07,32.70,24.50,32.18,21.49,17.95,8.70,-,-,-
PE Ratio,16.13,14.74,10.66,6.67,6.77,7.88,15.32,10.88,-,-,-
Forward PE,9.22,11.09,7.44,6.31,7.06,6.28,5.49,4.89,-,-,-
PS Ratio,3.47,4.76,2.77,2.15,2.12,2.16,2.31,1.68,-,-,-
PB Ratio,1.68,3.80,2.16,1.73,2.03,2.37,2.63,1.52,-,-,-
P/FCF Ratio,12.19,12.57,6.99,5.57,5.19,6.90,6.38,5.26,-,-,-
P/OCF Ratio,12.06,12.52,6.88,5.48,5.01,6.68,6.23,5.16,-,-,-
PEG Ratio,0.54,0.59,0.59,0.59,0.59,0.41,0.14,0.12,-,-,-
EV/Sales Ratio,4.22,5.68,3.79,3.21,2.75,3.15,3.83,2.27,-,-,-
EV/EBITDA Ratio,8.35,11.04,7.79,6.63,5.74,6.78,9.56,6.54,-,-,-
EV/EBIT Ratio,9.28,11.82,8.70,7.40,6.00,7.11,10.59,7.81,-,-,-
EV/FCF Ratio,14.94,14.98,9.58,8.31,6.75,10.08,10.55,7.10,-,-,-
Debt / Equity Ratio,0.43,0.88,0.95,0.94,1.21,1.10,1.72,0.59,2.09,1.28,1.25
Debt / EBITDA Ratio,1.70,2.12,2.46,2.38,2.64,2.16,3.77,1.88,3.71,5.46,4.21
Debt / FCF Ratio,3.10,2.91,3.08,3.03,3.10,3.21,4.16,2.04,5.31,11.03,8.05
Asset Turnover,0.34,0.35,0.32,0.33,0.41,0.45,0.48,0.52,0.50,0.41,-
Quick Ratio,1.77,2.02,1.81,1.51,1.55,1.12,0.92,1.89,1.34,1.41,1.29
Current Ratio,1.84,2.10,1.86,1.58,1.61,1.18,1.08,2.19,1.66,1.46,1.37
Return on Equity (ROE),16.46%,26.57%,20.12%,27.62%,34.00%,34.13%,18.62%,18.55%,9.19%,-2.09%,-
Return on Assets (ROA),9.69%,10.54%,8.80%,9.04%,11.84%,12.35%,10.83%,9.40%,7.64%,4.00%,-
Return on Capital (ROIC),11.81%,12.90%,10.86%,11.23%,14.40%,14.59%,12.65%,10.41%,8.55%,4.48%,-
Return on Capital Employed (ROCE),13.10%,17.60%,14.80%,15.30%,16.60%,21.10%,13.80%,16.00%,13.60%,6.10%,8.10%
Earnings Yield,6.46%,6.78%,9.38%,14.99%,14.77%,12.69%,6.53%,9.20%,-,-,-
FCF Yield,8.20%,7.96%,14.31%,17.95%,19.29%,14.49%,15.68%,19.02%,-,-,-
Dividend Yield,3.11%,2.43%,3.91%,4.08%,1.65%,1.07%,0.56%,-,-,-,-
Payout Ratio,49.72%,35.00%,40.08%,25.12%,13.35%,7.64%,8.04%,1.30%,-,-,-
Buyback Yield / Dilution,-0.14%,3.35%,5.61%,2.54%,-0.59%,-0.34%,-4.19%,-18.35%,-19.11%,-4.01%,-
Total Shareholder Return,3.04%,5.78%,9.52%,6.62%,1.06%,0.73%,-3.63%,-18.35%,-19.11%,-4.01%,-
