Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Interest and Dividend Income,232.32,213.83,167.34,79.57,-,42.94,30.23
Total Interest Expense,44.37,39.16,28.15,23.24,27.17,1.47,1.26
Net Interest Income,187.96,174.67,139.2,56.33,-27.17,41.47,28.97
Trading & Principal Transactions,284.18,197.98,242.75,612.01,972.6,470.85,200.94
Other Revenue,"15,196","12,147","3,431","5,596",-,-,-
Revenue,"15,668","12,520","3,813","6,264",945.43,512.31,229.92
Revenue Growth (YoY),-,228.33%,-39.13%,562.59%,84.54%,122.83%,-
Salaries & Employee Benefits,1.41,1.41,2.3,-,-,0.68,0.56
Cost of Services Provided,"15,495","12,351","3,826","6,511","1,213",462.26,250.5
Other Operating Expenses,-2.95,-2.95,4.77,0.52,-,-,-
Total Operating Expenses,"15,493","12,349","3,833","6,512","1,213",462.94,251.05
Operating Income,175.03,170.58,-20.27,-247.42,-267.82,49.38,-21.14
Currency Exchange Gains,92.48,76.32,48.01,40.96,-,35.56,17.5
Other Non-Operating Income (Expenses),-,-,-,-,1.52,0.8,2.21
EBT Excluding Unusual Items,267.51,246.9,27.73,-206.46,-266.3,85.73,-1.42
Merger & Restructuring Charges,-,-,-,-8.41,-,-,-
Other Unusual Items,-1.28,-1.28,-,-,-,-,-
Pretax Income,266.23,245.62,27.73,-214.87,-266.3,85.73,-1.42
Income Tax Expense,60.09,53.24,12.47,0.12,-0.59,2.88,-4.17
Net Income,206.14,192.38,15.26,-214.98,-265.7,82.86,2.75
Net Income to Common,206.14,192.38,15.26,-214.98,-265.7,82.86,2.75
Net Income Growth,-,1160.77%,-,-,-,2914.04%,-
Shares Outstanding (Basic),23,20,19,19,18,17,17
Shares Outstanding (Diluted),28,22,21,19,18,19,18
Shares Change (YoY),-64.09%,2.91%,13.63%,7.25%,-6.86%,2.35%,-
EPS (Basic),8.82,9.85,0.80,-11.45,-15.18,4.80,0.16
EPS (Diluted),7.36,8.76,0.72,-11.45,-15.18,4.41,0.15
EPS Growth,-,1116.67%,-,-,-,2840.00%,-
Free Cash Flow,254.86,266.21,111.41,343.61,-,-63.31,-93.08
Free Cash Flow Per Share,9.13,12.13,5.22,18.30,-,-3.37,-5.07
Operating Margin,1.12%,1.36%,-0.53%,-3.95%,-28.33%,9.64%,-9.19%
Profit Margin,1.32%,1.54%,0.40%,-3.43%,-28.10%,16.17%,1.20%
Free Cash Flow Margin,1.63%,2.13%,2.92%,5.49%,-,-12.36%,-40.48%
Effective Tax Rate,22.57%,21.68%,44.98%,-,-,3.36%,-
Revenue as Reported,"15,810","12,641","3,886","6,334",-,-,-
