Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Cash & Equivalents,"1,093",575.4,388.33,284.58,259.59,71.12,137.19
Other Receivables,74.07,80.58,41.9,32.72,126.07,132.04,45.93
"Property, Plant & Equipment",46.9,49.41,38.22,44.02,37.25,25.87,26.19
Goodwill,-,18.68,7.44,7.44,-,1.6,1.8
Other Intangible Assets,44.42,27.67,23.38,25.91,6.14,4.93,5.97
Investments in Debt & Equity Securities,131,65,-,-,-,-,-
Restricted Cash,0.33,0.31,0.32,2.45,2.27,6.16,4.98
Other Current Assets,388.49,354.04,280.6,"1,983",688.93,287.54,130.92
Long-Term Deferred Tax Assets,10.32,8.65,9.42,9.93,12.53,1.89,3.68
Other Long-Term Assets,11.59,11.63,10.55,10.18,2.16,0.21,1.93
Total Assets,"1,801","1,191",800.16,"2,400","1,135",531.37,358.58
Accounts Payable,5.76,4.2,1.25,8.62,8.21,4.76,2.73
Accrued Expenses,209.19,142.2,102.1,75.86,175.2,80.1,30.92
Short-Term Debt,-,-,-,7,295.88,-,-
Current Portion of Leases,5.69,4.76,3.25,3.33,2.53,2.18,1.45
Other Current Liabilities,143.94,103.49,41.24,"1,747",38.72,24.91,2.38
Long-Term Leases,45.33,43.55,33.21,35.54,31.93,22.24,21.78
Long-Term Deferred Tax Liabilities,2.19,2.97,2.68,3.31,-,-,-
Other Long-Term Liabilities,9.62,5.65,-,-,-,-,-
Total Liabilities,422.58,358.99,202.61,"1,885",553.55,145.29,60.58
Additional Paid-In Capital,"1,264",474.47,433.9,364.41,232.91,21.74,16.5
Retained Earnings,99.51,-47.45,-239.83,-255.09,-57.64,208.24,125.38
Comprehensive Income & Other,14.71,10.96,9.09,250,-,-,-
Total Common Equity,"1,378",435.36,200.54,359.32,175.27,229.98,141.89
Shareholders' Equity,"1,378",832.38,597.56,515.43,581.38,386.09,298
Total Liabilities & Equity,"1,801","1,191",800.16,"2,400","1,135",531.37,358.58
Total Debt,51.01,48.3,36.46,45.86,330.34,24.43,23.24
Net Cash (Debt),"1,042",527.09,351.88,238.72,-70.75,46.69,113.96
Net Cash Growth,-,49.80%,47.40%,-,-,-59.03%,-
Net Cash Per Share,37.35,24.01,16.50,12.72,-4.04,2.48,6.21
Filing Date Shares Outstanding,86.65,6.05,19.06,18.77,15.73,17.25,17.13
Total Common Shares Outstanding,86.65,6.05,19.06,18.77,15.73,17.25,17.13
Working Capital,"1,192",704.76,546.26,458.8,556.32,374.89,281
Book Value Per Share,15.90,72.01,10.52,19.14,11.14,13.33,8.28
Tangible Book Value,"1,334",389.01,169.72,325.97,169.14,223.44,134.12
Tangible Book Value Per Share,15.39,64.34,8.90,17.36,10.75,12.96,7.83
