Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"4,006","6,384","5,658","6,695","7,545","4,229","2,874","1,735",881,505,754
Market Cap Growth,-36.25%,12.83%,-15.50%,-11.27%,78.41%,47.16%,65.60%,97.08%,74.54%,-33.11%,-26.80%
Enterprise Value,"5,557","7,972","7,817","9,448","7,998","4,446","3,160","1,718",885,536,768
Last Close Price,77.15,109.53,93.41,108.43,128.22,62.66,41.89,25.98,12.64,6.86,10.24
PE Ratio,23.66,6.72,7.14,12.40,10.40,13.52,24.05,-,-,-,-
Forward PE,6.64,8.66,7.81,10.24,14.91,20.22,20.99,30.93,72.94,54.88,45.65
PS Ratio,1.06,1.56,1.43,1.88,3.26,3.05,2.34,1.60,0.86,0.49,0.69
PB Ratio,2.96,3.48,3.89,8.19,535.82,14.55,21.79,11.55,2.39,1.26,1.79
P/TBV Ratio,-,-,-,-,-,16.83,34.53,16.85,6.89,3.45,4.67
P/FCF Ratio,5.59,6.92,6.94,13.42,14.76,18.81,53.84,16.98,10.34,28.73,-
P/OCF Ratio,5.14,6.43,6.08,11.10,13.30,15.85,31.95,15.20,8.96,12.69,77.78
PEG Ratio,8.53,1.90,4.31,-,1.34,1.34,1.31,3.09,7.29,5.49,0.94
EV/Sales Ratio,1.36,1.94,1.97,2.66,3.46,3.21,2.57,1.58,0.87,0.52,0.71
EV/EBITDA Ratio,5.46,7.14,7.10,10.22,11.18,16.89,20.69,16.58,16.11,17.00,-
EV/EBIT Ratio,5.90,7.61,7.47,10.67,11.70,18.87,24.59,23.11,40.56,-,-
EV/FCF Ratio,7.76,8.64,9.59,18.94,15.64,19.77,59.20,16.81,10.39,30.52,-
Debt / Equity Ratio,1.25,0.93,1.37,3.17,68.43,1.29,2.99,0.80,0.00,0.01,0.02
Debt / EBITDA Ratio,1.46,1.35,1.61,2.50,1.18,1.08,1.69,1.16,0.01,0.08,-
Debt / FCF Ratio,2.38,1.84,2.45,5.20,1.89,1.66,7.38,1.17,0.01,0.14,-
Asset Turnover,0.90,0.87,0.87,1.18,1.74,1.49,2.04,2.15,1.84,1.77,1.54
Inventory Turnover,4.36,4.56,4.09,4.95,4.60,3.66,4.14,4.14,3.65,3.40,3.42
Quick Ratio,0.74,0.63,0.69,0.81,1.11,1.02,0.88,1.26,1.72,1.63,1.51
Current Ratio,1.40,1.18,1.30,1.60,1.72,1.69,1.65,2.06,2.71,2.85,2.67
Return on Equity (ROE),11.82%,57.76%,69.77%,129.84%,476.31%,148.09%,84.69%,19.45%,2.67%,-4.02%,-15.90%
Return on Assets (ROA),13.07%,13.84%,14.30%,18.31%,32.07%,15.86%,13.30%,9.18%,2.46%,-0.27%,-4.14%
Return on Capital (ROIC),17.93%,18.73%,19.06%,25.21%,52.03%,24.76%,20.18%,14.54%,3.54%,-0.38%,-5.50%
Return on Capital Employed (ROCE),26.10%,25.70%,26.50%,22.90%,59.10%,28.50%,26.70%,26.10%,5.60%,-0.60%,-10.60%
Earnings Yield,4.56%,14.88%,14.01%,8.07%,9.62%,7.40%,4.16%,2.91%,1.16%,-3.27%,-11.03%
FCF Yield,17.88%,14.46%,14.40%,7.45%,6.78%,5.32%,1.86%,5.89%,9.67%,3.48%,-1.17%
Payout Ratio,-,-,-,-,-,-,2.50%,41.67%,117.21%,-,-
Buyback Yield / Dilution,7.74%,3.42%,0.09%,2.69%,7.04%,4.50%,-4.90%,5.31%,1.52%,2.95%,11.20%
